date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-11-16,ORL,False,False,W,2,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-5.0
2022-12-29,HOU,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-4.0
2023-01-05,BOS,True,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-6.0
2023-01-07,NOP,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2023-01-08,OKC,False,True,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-1.0
2023-01-10,LAC,False,False,L,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2023-01-14,POR,False,False,L,7,3.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,1.6,4.0
2023-01-15,POR,False,True,L,5,6.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.3,3.0
2023-01-20,MIA,True,False,W,4,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,3.2,-3.0
2023-01-28,UTA,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-04,GSW,False,False,L,11,5.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,4.2,4.0
2023-02-06,UTA,False,False,W,12,3.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,-1.6,1.0
2023-02-15,DEN,False,False,L,12,10.0,2.0,0.0,1.0,0.0,0.0,4.0,6.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,9.0,-9.0
2023-04-07,CHI,True,False,L,23,12.0,6.0,0.0,0.0,0.0,2.0,5.0,9.0,0.556,2.0,6.0,0.333,0.0,0.0,0.0,8.7,-19.0
2023-04-09,SAS,True,False,L,23,10.0,5.0,1.0,1.0,0.0,0.0,4.0,9.0,0.444,1.0,3.0,0.333,1.0,5.0,0.2,6.1,-13.0
2023-12-01,MEM,True,False,L,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.2,4.0
2023-12-02,OKC,True,True,L,19,12.0,0.0,2.0,0.0,1.0,0.0,4.0,10.0,0.4,3.0,7.0,0.429,1.0,2.0,0.5,7.9,9.0
2023-12-06,UTA,True,False,W,7,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,7.0
2023-12-08,POR,False,False,W,7,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.2,-4.0
2023-12-11,MEM,False,False,W,14,4.0,1.0,1.0,0.0,0.0,1.0,2.0,7.0,0.286,0.0,4.0,0.0,0.0,0.0,0.0,0.3,1.0
2023-12-12,LAL,True,True,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
