date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-22,HOU,True,False,W,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-2.0
2022-11-16,CLE,True,False,W,15,3.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,2.1,-11.0
2022-11-21,POR,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
2022-11-25,CLE,True,False,W,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-7.0
2022-11-27,DAL,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-5.0
2022-11-30,NYK,False,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-03,CHA,False,False,W,14,8.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,0.667,2.0,2.0,1.0,2.0,2.0,1.0,6.9,14.0
2022-12-05,ORL,False,False,W,10,12.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.667,3.0,5.0,0.6,1.0,1.0,1.0,8.6,-1.0
2022-12-07,SAC,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2022-12-13,GSW,True,False,W,3,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,-2.0
2022-12-15,MEM,False,False,L,14,10.0,1.0,0.0,0.0,0.0,1.0,4.0,6.0,0.667,2.0,4.0,0.5,0.0,0.0,0.0,6.7,3.0
2022-12-17,UTA,True,False,W,4,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.9,3.0
2022-12-30,MIN,True,False,W,22,7.0,3.0,1.0,1.0,0.0,0.0,2.0,6.0,0.333,2.0,5.0,0.4,1.0,1.0,1.0,5.0,9.0
2023-01-01,WAS,True,False,L,19,10.0,3.0,0.0,1.0,0.0,1.0,4.0,7.0,0.571,2.0,5.0,0.4,0.0,0.0,0.0,7.2,-9.0
2023-01-03,WAS,True,False,W,9,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-2.1,-8.0
2023-01-04,TOR,False,True,W,13,5.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,4.2,21.0
2023-01-06,CHA,True,False,L,18,13.0,3.0,2.0,0.0,0.0,0.0,5.0,8.0,0.625,3.0,6.0,0.5,0.0,0.0,0.0,11.3,6.0
2023-01-11,ATL,False,False,W,6,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.9,-9.0
2023-01-12,MIA,False,True,L,19,15.0,3.0,0.0,0.0,0.0,0.0,5.0,10.0,0.5,5.0,10.0,0.5,0.0,0.0,0.0,10.9,-1.0
2023-01-14,MIA,False,False,L,17,9.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,0.429,3.0,6.0,0.5,0.0,0.0,0.0,5.6,-5.0
2023-01-16,IND,True,False,W,12,6.0,0.0,1.0,1.0,0.0,0.0,2.0,7.0,0.286,2.0,6.0,0.333,0.0,0.0,0.0,2.8,-8.0
2023-01-17,TOR,True,True,W,6,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-1.0
2023-01-21,CLE,False,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,-9.0
2023-01-23,DET,False,False,W,5,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-4.2,-13.0
2023-02-10,LAC,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
