date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-10-23,PHI,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
2024-10-25,CHI,True,False,L,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,2.0
2024-10-27,BKN,False,False,L,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,4.0
2024-11-12,TOR,True,False,W,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-1.0
2024-12-03,DET,False,False,W,2,5.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0
2025-01-23,MIA,True,False,W,4,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2025-02-03,OKC,False,False,L,29,13.0,4.0,4.0,1.0,0.0,2.0,5.0,12.0,0.417,2.0,4.0,0.5,1.0,2.0,0.5,9.2,0.0
2025-02-07,CLE,True,False,L,9,2.0,1.0,4.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,2.3,-4.0
2025-02-08,ATL,True,True,L,7,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.4,-4.0
2025-02-12,IND,True,False,L,10,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,10.0
2025-03-03,MIA,False,False,L,4,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.7,6.0
2025-03-10,TOR,False,False,L,23,3.0,3.0,6.0,0.0,0.0,0.0,1.0,7.0,0.143,0.0,4.0,0.0,1.0,1.0,1.0,3.6,-10.0
2025-03-15,DEN,False,False,W,18,9.0,2.0,4.0,2.0,0.0,1.0,3.0,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,11.4,7.0
2025-03-17,POR,False,False,L,35,8.0,7.0,4.0,0.0,1.0,6.0,3.0,8.0,0.375,1.0,4.0,0.25,1.0,2.0,0.5,2.4,-3.0
2025-03-19,UTA,False,False,L,28,12.0,1.0,6.0,2.0,0.0,1.0,5.0,10.0,0.5,1.0,5.0,0.2,1.0,1.0,1.0,11.3,2.0
2025-03-21,ORL,True,False,L,23,14.0,2.0,3.0,0.0,0.0,1.0,6.0,9.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,11.8,10.0
2025-03-22,NYK,False,True,L,28,9.0,2.0,3.0,1.0,0.0,1.0,3.0,10.0,0.3,2.0,5.0,0.4,1.0,2.0,0.5,5.9,2.0
2025-03-24,TOR,True,False,L,28,17.0,6.0,3.0,1.0,0.0,1.0,5.0,9.0,0.556,1.0,2.0,0.5,6.0,6.0,1.0,15.8,-15.0
2025-03-26,PHI,False,False,W,34,9.0,5.0,6.0,0.0,0.0,1.0,4.0,13.0,0.308,1.0,7.0,0.143,0.0,0.0,0.0,5.8,10.0
2025-03-27,IND,True,True,L,27,2.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,0.143,0.0,2.0,0.0,0.0,0.0,0.0,-1.2,-41.0
2025-03-29,BKN,True,False,L,42,20.0,1.0,4.0,0.0,1.0,2.0,6.0,14.0,0.429,3.0,7.0,0.429,5.0,6.0,0.833,13.6,-8.0
2025-03-31,MIA,True,False,L,37,8.0,3.0,1.0,1.0,0.0,4.0,3.0,9.0,0.333,0.0,4.0,0.0,2.0,2.0,1.0,1.1,-17.0
2025-04-02,SAC,True,False,W,37,19.0,2.0,6.0,1.0,0.0,3.0,7.0,14.0,0.5,2.0,6.0,0.333,3.0,4.0,0.75,12.0,-10.0
2025-04-03,ORL,True,True,L,29,11.0,4.0,2.0,0.0,1.0,3.0,4.0,10.0,0.4,1.0,2.0,0.5,2.0,2.0,1.0,4.3,-3.0
2025-04-06,BOS,False,False,L,34,12.0,0.0,4.0,0.0,0.0,0.0,5.0,12.0,0.417,2.0,8.0,0.25,0.0,0.0,0.0,7.2,-24.0
2025-04-08,IND,False,False,L,25,8.0,1.0,0.0,0.0,0.0,1.0,4.0,9.0,0.444,0.0,3.0,0.0,0.0,0.0,0.0,0.6,-21.0
2025-04-09,PHI,True,True,L,36,7.0,4.0,3.0,0.0,0.0,0.0,1.0,11.0,0.091,1.0,7.0,0.143,4.0,4.0,1.0,1.0,-19.0
2025-04-11,CHI,False,False,L,34,8.0,3.0,1.0,1.0,0.0,3.0,3.0,13.0,0.231,0.0,4.0,0.0,2.0,2.0,1.0,-1.9,-34.0
2025-04-13,MIA,False,False,W,48,14.0,1.0,8.0,1.0,0.0,2.0,6.0,16.0,0.375,2.0,5.0,0.4,0.0,0.0,0.0,9.3,1.0
