date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2014-10-28,NOP,False,False,L,28,11.0,3.0,0.0,1.0,1.0,3.0,5.0,8.0,0.625,1.0,2.0,0.5,0.0,0.0,0.0,6.6,-18.0
2014-10-30,WAS,True,False,L,18,4.0,4.0,1.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,2.1,-15.0
2014-11-01,TOR,True,False,L,7,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-2.0
2014-11-04,CHI,False,False,L,14,6.0,1.0,0.0,0.0,1.0,0.0,3.0,6.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,3.6,-2.0
2014-11-05,PHI,False,True,W,7,2.0,5.0,0.0,0.0,0.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-6.0
2014-11-07,MIN,True,False,W,22,17.0,6.0,1.0,0.0,2.0,0.0,6.0,9.0,0.667,2.0,2.0,1.0,3.0,3.0,1.0,17.4,7.0
2014-11-09,BKN,False,False,L,16,2.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0
2014-11-11,TOR,False,False,L,10,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-0.2,-13.0
2014-11-12,NYK,False,True,W,14,7.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,5.2,-5.0
2014-11-14,MIL,True,False,W,15,8.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,11.8,20.0
2014-11-15,WAS,False,True,L,14,6.0,3.0,0.0,0.0,0.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,2.0,0.0,3.5,-7.0
2015-01-18,OKC,True,False,L,12,8.0,3.0,1.0,0.0,0.0,1.0,2.0,4.0,0.5,1.0,1.0,1.0,3.0,5.0,0.6,5.0,-11.0
2015-01-21,DET,False,False,L,12,4.0,3.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,9.0
2015-01-23,NYK,False,False,L,13,5.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,5.1,1.0
2015-01-25,IND,True,False,L,21,9.0,4.0,0.0,0.0,1.0,0.0,3.0,5.0,0.6,1.0,2.0,0.5,2.0,2.0,1.0,8.6,2.0
2015-01-26,MEM,False,True,L,21,7.0,2.0,1.0,0.0,0.0,0.0,3.0,7.0,0.429,0.0,1.0,0.0,1.0,2.0,0.5,3.4,-5.0
2015-01-29,MIL,True,False,L,20,4.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,3.0,-8.0
