date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2020-12-25,BKN,True,False,L,9,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,-6.0
2020-12-30,MEM,True,False,W,20,5.0,3.0,1.0,0.0,1.0,1.0,2.0,7.0,0.286,1.0,5.0,0.2,0.0,0.0,0.0,1.4,-7.0
2021-01-04,TOR,False,False,W,10,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-3.1,-4.0
2021-01-15,ORL,True,False,W,18,5.0,0.0,2.0,0.0,1.0,1.0,2.0,7.0,0.286,1.0,5.0,0.2,0.0,0.0,0.0,0.8,-4.0
2021-01-17,NYK,True,False,L,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.9,-6.0
2021-01-24,CLE,True,False,W,17,11.0,6.0,1.0,0.0,0.0,0.0,4.0,6.0,0.667,3.0,5.0,0.6,0.0,0.0,0.0,10.9,5.0
2021-01-25,CHI,False,True,W,19,9.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,0.6,3.0,5.0,0.6,0.0,0.0,0.0,5.6,4.0
2021-01-27,SAS,False,False,L,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,2.0
2021-01-30,LAL,True,False,L,8,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-3.9,-5.0
2021-02-11,TOR,True,False,W,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-4.0
2021-02-14,WAS,False,False,L,29,5.0,5.0,0.0,0.0,0.0,1.0,1.0,4.0,0.25,1.0,4.0,0.25,2.0,3.0,0.667,1.5,10.0
2021-02-16,DEN,True,False,W,24,9.0,4.0,0.0,0.0,1.0,0.0,2.0,4.0,0.5,2.0,4.0,0.5,3.0,4.0,0.75,8.1,20.0
2021-02-17,ATL,True,True,L,21,2.0,6.0,2.0,0.0,1.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,3.9,2.0
2021-02-19,ATL,True,False,W,20,3.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,1.0,10.0
2021-02-21,NOP,False,False,L,27,10.0,4.0,0.0,2.0,0.0,0.0,3.0,4.0,0.75,1.0,2.0,0.5,3.0,3.0,1.0,10.0,-8.0
2021-02-23,DAL,False,False,L,22,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,5.0
2021-02-24,ATL,False,True,L,14,13.0,3.0,0.0,1.0,0.0,1.0,5.0,7.0,0.714,3.0,4.0,0.75,0.0,2.0,0.0,9.8,4.0
2021-02-26,IND,True,False,W,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,7.0
2021-03-14,HOU,False,False,W,9,3.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,3.0,-5.0
2021-03-19,SAC,True,False,L,14,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.6,-3.0
2021-03-21,ORL,True,False,W,15,3.0,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,2.0,5.0
2021-03-22,MEM,False,True,L,17,5.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,4.5,-3.0
2021-03-26,MIL,False,False,W,14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-2.5,-9.0
2021-03-27,OKC,False,True,W,16,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,3.0,24.0
2021-03-29,NOP,True,False,L,8,5.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.0,-6.0
2021-03-31,DAL,True,False,L,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-4.0
2021-04-02,HOU,True,False,W,4,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,1.6,-5.0
2021-04-04,CHA,True,False,W,12,0.0,6.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.7,2.0
2021-04-06,PHI,True,False,L,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
2021-04-11,DEN,False,False,W,2,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.7,3.0
2021-04-15,LAL,False,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-17.0
2021-04-19,CHI,True,False,L,4,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,2.0
2021-04-22,PHX,True,False,W,9,6.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,3.2,0.0
