date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2017-10-19,LAC,True,False,L,12,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,-10.0
2017-10-20,PHX,False,True,W,7,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2017-12-20,HOU,False,False,W,3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.0
2017-12-22,GSW,False,False,L,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,8.0
2017-12-23,POR,True,True,L,12,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-11.0
2017-12-25,MIN,True,False,L,10,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-7.0
2017-12-27,MEM,True,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-9.0
2017-12-29,LAC,True,False,L,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-2.0
2017-12-31,HOU,False,False,L,9,4.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.7,2.0
2018-01-01,MIN,False,True,L,18,1.0,1.0,1.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,-2.0,2.0
