date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-10-24,BOS,True,False,L,22,2.0,5.0,1.0,0.0,2.0,0.0,1.0,7.0,0.143,0.0,5.0,0.0,0.0,0.0,0.0,0.7,-24.0
2024-10-26,CLE,True,False,L,25,12.0,6.0,1.0,1.0,2.0,0.0,4.0,10.0,0.4,2.0,6.0,0.333,2.0,2.0,1.0,11.1,-18.0
2024-10-28,ATL,False,False,W,27,7.0,9.0,1.0,1.0,2.0,1.0,3.0,11.0,0.273,1.0,5.0,0.2,0.0,0.0,0.0,5.3,-11.0
2024-10-30,ATL,True,False,W,23,11.0,5.0,2.0,1.0,4.0,1.0,3.0,9.0,0.333,2.0,5.0,0.4,3.0,4.0,0.75,10.4,17.0
2024-11-02,MIA,True,False,L,27,17.0,6.0,3.0,0.0,4.0,1.0,7.0,11.0,0.636,1.0,4.0,0.25,2.0,2.0,1.0,17.4,-9.0
2024-11-04,GSW,True,False,L,27,10.0,11.0,2.0,0.0,3.0,1.0,3.0,10.0,0.3,0.0,4.0,0.0,4.0,6.0,0.667,9.2,-11.0
2024-11-08,MEM,False,False,L,25,8.0,5.0,5.0,1.0,1.0,4.0,3.0,11.0,0.273,0.0,5.0,0.0,2.0,2.0,1.0,3.4,-7.0
2024-11-10,ORL,False,False,L,25,11.0,3.0,4.0,1.0,2.0,1.0,3.0,10.0,0.3,2.0,6.0,0.333,3.0,4.0,0.75,9.1,-19.0
2024-11-11,HOU,False,True,L,28,5.0,6.0,1.0,0.0,2.0,0.0,2.0,9.0,0.222,0.0,3.0,0.0,1.0,4.0,0.25,1.8,-12.0
2024-11-13,SAS,False,False,L,26,12.0,2.0,2.0,1.0,1.0,2.0,6.0,14.0,0.429,0.0,5.0,0.0,0.0,0.0,0.0,5.9,-17.0
2024-11-15,ATL,False,False,L,31,20.0,7.0,2.0,4.0,3.0,2.0,7.0,13.0,0.538,3.0,4.0,0.75,3.0,4.0,0.75,20.9,10.0
2024-11-17,DET,True,False,L,24,4.0,3.0,3.0,0.0,1.0,2.0,1.0,7.0,0.143,1.0,3.0,0.333,1.0,2.0,0.5,0.0,-22.0
