date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-12-07,BOS,True,False,L,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,6.0
2025-12-09,NYK,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-03,ATL,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,BOS,False,False,L,15,7.0,1.0,3.0,0.0,1.0,1.0,3.0,7.0,0.429,1.0,5.0,0.2,0.0,0.0,0.0,5.4,3.0
2026-01-11,PHI,True,False,W,30,9.0,8.0,1.0,4.0,2.0,1.0,3.0,11.0,0.273,0.0,3.0,0.0,3.0,4.0,0.75,9.2,-8.0
2026-01-12,PHI,True,True,L,13,6.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,4.0,4.0,1.0,6.7,-8.0
2026-01-14,IND,False,False,W,7,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-0.1,1.0
2026-01-16,LAC,True,False,L,11,5.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,3.2,-5.0
2026-01-18,LAL,False,False,L,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-01-20,GSW,False,False,W,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0
2026-02-05,CHI,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-08,IND,True,False,W,4,2.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.5,-4.0
2026-02-11,DET,True,False,L,4,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.0
2026-03-03,NYK,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,0.0
2026-03-10,HOU,False,False,L,3,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0
2026-03-11,NOP,False,True,L,1,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,4.3,6.0
2026-03-27,NOP,True,False,W,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-7.0
2026-03-29,ORL,True,False,W,13,8.0,4.0,1.0,1.0,1.0,0.0,3.0,7.0,0.429,1.0,4.0,0.25,1.0,2.0,0.5,8.3,18.0
2026-04-01,SAC,True,False,L,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-10.0
2026-04-03,MEM,False,False,W,8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,0.0
2026-04-05,BOS,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2026-04-09,MIA,True,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-11.0
2026-04-10,NYK,False,True,L,12,3.0,0.0,2.0,0.0,0.0,3.0,1.0,5.0,0.2,0.0,1.0,0.0,1.0,1.0,1.0,-2.5,-7.0
