date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-10-20,MIN,False,False,L,19,11.0,6.0,2.0,3.0,0.0,3.0,3.0,4.0,0.75,0.0,0.0,0.0,5.0,5.0,1.0,12.2,-8.0
2021-10-22,OKC,True,False,W,18,6.0,4.0,1.0,1.0,2.0,6.0,3.0,5.0,0.6,0.0,2.0,0.0,0.0,1.0,0.0,0.4,14.0
2021-10-24,BOS,True,False,L,19,7.0,4.0,4.0,3.0,1.0,1.0,1.0,5.0,0.2,0.0,1.0,0.0,5.0,6.0,0.833,8.2,-3.0
2021-10-26,DAL,False,False,L,14,5.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,0.25,1.0,2.0,0.5,2.0,4.0,0.5,4.1,4.0
2021-10-28,UTA,True,False,L,24,14.0,5.0,0.0,3.0,0.0,1.0,5.0,12.0,0.417,1.0,1.0,1.0,3.0,4.0,0.75,10.3,-8.0
2021-10-31,LAL,False,False,L,20,11.0,7.0,2.0,3.0,0.0,4.0,3.0,7.0,0.429,0.0,1.0,0.0,5.0,6.0,0.833,9.0,-3.0
2021-11-02,LAL,False,False,L,26,6.0,4.0,4.0,1.0,0.0,5.0,3.0,7.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,1.5,-2.0
2021-11-04,PHX,False,False,L,23,10.0,4.0,5.0,1.0,0.0,2.0,4.0,10.0,0.4,1.0,2.0,0.5,1.0,2.0,0.5,6.3,-19.0
2021-11-06,DEN,False,False,L,14,9.0,4.0,3.0,0.0,1.0,0.0,3.0,4.0,0.75,1.0,1.0,1.0,2.0,2.0,1.0,9.8,8.0
2021-11-07,GSW,False,True,L,16,12.0,5.0,1.0,0.0,1.0,3.0,3.0,4.0,0.75,1.0,1.0,1.0,5.0,12.0,0.417,7.5,-4.0
2021-11-12,POR,True,False,L,19,12.0,4.0,0.0,0.0,1.0,1.0,4.0,6.0,0.667,1.0,1.0,1.0,3.0,4.0,0.75,9.5,-18.0
2021-11-14,PHX,True,False,L,22,10.0,10.0,4.0,0.0,1.0,2.0,4.0,6.0,0.667,0.0,1.0,0.0,2.0,3.0,0.667,11.5,-1.0
2021-11-15,MEM,False,True,L,18,9.0,5.0,1.0,1.0,1.0,0.0,3.0,9.0,0.333,0.0,2.0,0.0,3.0,5.0,0.6,7.0,-22.0
2021-11-17,OKC,False,False,L,5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-5.0
2021-11-20,NYK,False,False,L,24,10.0,6.0,3.0,0.0,0.0,0.0,4.0,8.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,9.1,7.0
2021-11-22,BOS,False,False,L,21,8.0,6.0,7.0,2.0,0.0,2.0,3.0,6.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,10.1,9.0
2021-11-24,CHI,True,False,W,16,13.0,4.0,2.0,1.0,0.0,1.0,4.0,7.0,0.571,2.0,3.0,0.667,3.0,5.0,0.6,10.7,7.0
2021-11-27,CHA,True,False,W,12,5.0,5.0,4.0,0.0,2.0,4.0,2.0,3.0,0.667,0.0,1.0,0.0,1.0,2.0,0.5,5.0,-13.0
2021-11-29,OKC,True,False,W,17,4.0,5.0,3.0,1.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,5.9,-11.0
2021-12-01,OKC,False,False,W,13,5.0,2.0,4.0,2.0,2.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,8.2,-6.0
2021-12-03,ORL,True,False,W,19,13.0,3.0,5.0,0.0,1.0,1.0,3.0,6.0,0.5,1.0,3.0,0.333,6.0,7.0,0.857,13.7,4.0
2021-12-05,NOP,True,False,W,17,10.0,4.0,1.0,1.0,1.0,1.0,3.0,7.0,0.429,0.0,2.0,0.0,4.0,4.0,1.0,8.1,2.0
2021-12-08,BKN,True,False,W,14,6.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,4.2,4.0
2021-12-10,MIL,True,False,L,16,15.0,5.0,0.0,1.0,0.0,1.0,6.0,8.0,0.75,0.0,0.0,0.0,3.0,6.0,0.5,11.3,11.0
2021-12-11,MEM,False,True,L,23,15.0,6.0,6.0,1.0,3.0,3.0,5.0,8.0,0.625,0.0,0.0,0.0,5.0,5.0,1.0,16.7,3.0
2021-12-13,ATL,False,False,W,25,11.0,6.0,4.0,1.0,2.0,1.0,4.0,10.0,0.4,0.0,2.0,0.0,3.0,4.0,0.75,10.4,15.0
2021-12-15,CLE,False,False,L,28,19.0,11.0,5.0,2.0,1.0,2.0,7.0,14.0,0.5,0.0,2.0,0.0,5.0,6.0,0.833,20.3,-12.0
2021-12-16,NYK,True,True,L,15,1.0,2.0,1.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,-4.0,-23.0
2021-12-18,DET,False,False,W,22,9.0,5.0,4.0,0.0,2.0,1.0,3.0,8.0,0.375,0.0,2.0,0.0,3.0,3.0,1.0,9.3,13.0
2021-12-20,CHI,False,False,L,19,8.0,5.0,2.0,1.0,0.0,5.0,3.0,5.0,0.6,1.0,1.0,1.0,1.0,2.0,0.5,3.8,-10.0
2021-12-22,MIL,False,False,L,24,10.0,8.0,4.0,0.0,0.0,4.0,4.0,6.0,0.667,0.0,0.0,0.0,2.0,4.0,0.5,8.2,-23.0
2021-12-23,IND,False,True,L,20,10.0,8.0,3.0,1.0,2.0,1.0,5.0,10.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,11.3,-16.0
2021-12-27,CHA,False,False,L,21,5.0,6.0,3.0,0.0,2.0,4.0,2.0,5.0,0.4,0.0,0.0,0.0,1.0,2.0,0.5,2.4,-12.0
2021-12-28,LAL,True,True,L,15,10.0,2.0,0.0,0.0,1.0,1.0,5.0,8.0,0.625,0.0,0.0,0.0,0.0,1.0,0.0,5.1,2.0
2021-12-31,MIA,True,False,L,7,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,0.75,5.2,-11.0
2022-01-14,SAC,False,False,L,14,9.0,4.0,2.0,0.0,1.0,2.0,4.0,6.0,0.667,0.0,2.0,0.0,1.0,2.0,0.5,7.3,-10.0
2022-01-16,SAC,False,False,W,15,6.0,0.0,2.0,0.0,1.0,3.0,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,2.7,3.0
2022-01-19,UTA,False,False,W,16,7.0,2.0,2.0,0.0,1.0,2.0,2.0,6.0,0.333,1.0,1.0,1.0,2.0,2.0,1.0,3.9,2.0
2022-01-21,GSW,False,False,L,14,5.0,6.0,2.0,0.0,0.0,2.0,2.0,7.0,0.286,0.0,2.0,0.0,1.0,2.0,0.5,2.5,1.0
2022-01-25,SAS,True,False,L,24,14.0,5.0,1.0,1.0,3.0,3.0,5.0,13.0,0.385,0.0,2.0,0.0,4.0,6.0,0.667,9.2,-11.0
2022-01-28,POR,True,False,L,11,4.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,3.5,-11.0
2022-01-31,GSW,True,False,L,12,2.0,4.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,-1.7,0.0
2022-02-02,CLE,True,False,W,25,9.0,8.0,3.0,0.0,1.0,4.0,2.0,4.0,0.5,0.0,0.0,0.0,5.0,6.0,0.833,7.4,20.0
2022-02-04,SAS,False,False,L,29,18.0,2.0,1.0,2.0,3.0,2.0,7.0,15.0,0.467,1.0,4.0,0.25,3.0,3.0,1.0,12.9,-16.0
2022-02-06,NOP,True,False,L,25,5.0,6.0,4.0,1.0,2.0,0.0,2.0,6.0,0.333,1.0,5.0,0.2,0.0,0.0,0.0,7.4,-9.0
2022-02-08,NOP,False,False,L,28,11.0,9.0,2.0,0.0,2.0,4.0,5.0,10.0,0.5,0.0,2.0,0.0,1.0,2.0,0.5,6.3,-9.0
2022-02-10,TOR,True,False,L,21,0.0,4.0,4.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.6,-22.0
2022-02-14,UTA,False,False,L,16,9.0,3.0,2.0,1.0,0.0,2.0,3.0,6.0,0.5,0.0,2.0,0.0,3.0,5.0,0.6,5.7,-17.0
2022-02-16,PHX,False,False,L,28,19.0,14.0,3.0,2.0,1.0,1.0,7.0,11.0,0.636,3.0,4.0,0.75,2.0,2.0,1.0,21.3,11.0
2022-02-17,LAC,False,True,L,14,4.0,3.0,4.0,0.0,1.0,3.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,2.7,-16.0
2022-02-25,ORL,False,False,L,18,6.0,6.0,4.0,1.0,2.0,4.0,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,6.3,-7.0
2022-02-27,LAC,True,False,L,16,15.0,3.0,0.0,0.0,0.0,2.0,5.0,8.0,0.625,1.0,3.0,0.333,4.0,6.0,0.667,9.1,-4.0
2022-03-01,LAC,True,False,L,22,13.0,9.0,1.0,2.0,2.0,1.0,6.0,15.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,11.1,0.0
2022-03-02,UTA,True,True,L,18,5.0,4.0,1.0,2.0,0.0,1.0,0.0,6.0,0.0,0.0,4.0,0.0,5.0,6.0,0.833,1.3,-2.0
2022-03-04,DEN,False,False,L,22,11.0,10.0,1.0,1.0,1.0,1.0,5.0,10.0,0.5,0.0,3.0,0.0,1.0,4.0,0.25,9.2,-14.0
2022-03-06,MEM,True,False,W,22,6.0,1.0,4.0,0.0,2.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,2.0,4.0,0.5,7.3,2.0
2022-03-07,MIA,False,True,L,30,13.0,8.0,3.0,0.0,1.0,2.0,5.0,11.0,0.455,0.0,1.0,0.0,3.0,6.0,0.5,8.9,-15.0
2022-03-09,LAL,True,False,W,40,21.0,14.0,2.0,2.0,2.0,3.0,9.0,20.0,0.45,1.0,3.0,0.333,2.0,2.0,1.0,17.0,6.0
2022-03-11,DAL,True,False,L,20,6.0,6.0,1.0,1.0,0.0,2.0,3.0,9.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.8,-8.0
2022-03-13,NOP,False,False,L,15,9.0,4.0,1.0,0.0,0.0,1.0,4.0,6.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,5.3,-4.0
2022-03-16,PHX,True,False,L,26,5.0,3.0,3.0,3.0,0.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,1.0,2.0,0.5,7.9,-6.0
2022-03-18,IND,True,False,L,21,15.0,4.0,0.0,0.0,3.0,2.0,4.0,9.0,0.444,0.0,3.0,0.0,7.0,8.0,0.875,11.2,1.0
2022-03-20,MEM,True,False,L,23,12.0,9.0,3.0,1.0,0.0,2.0,5.0,7.0,0.714,0.0,2.0,0.0,2.0,3.0,0.667,12.1,-7.0
2022-03-21,WAS,True,True,W,25,7.0,7.0,3.0,1.0,2.0,3.0,2.0,7.0,0.286,1.0,2.0,0.5,2.0,2.0,1.0,6.9,11.0
2022-03-23,DAL,False,False,L,22,14.0,11.0,2.0,2.0,0.0,0.0,6.0,12.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,14.7,-18.0
2022-03-25,POR,False,False,W,21,4.0,6.0,5.0,2.0,0.0,6.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,3.0,0.667,2.0,-5.0
2022-03-26,POR,False,True,W,26,27.0,7.0,3.0,0.0,1.0,1.0,10.0,16.0,0.625,2.0,4.0,0.5,5.0,8.0,0.625,22.9,13.0
2022-03-28,SAS,True,False,L,29,12.0,7.0,3.0,0.0,2.0,4.0,3.0,10.0,0.3,2.0,5.0,0.4,4.0,4.0,1.0,7.8,-5.0
2022-04-03,MIN,True,False,L,33,14.0,15.0,4.0,0.0,1.0,5.0,5.0,7.0,0.714,0.0,1.0,0.0,4.0,4.0,1.0,14.9,-6.0
2022-04-05,BKN,False,False,L,36,14.0,11.0,5.0,0.0,1.0,1.0,5.0,11.0,0.455,0.0,2.0,0.0,4.0,4.0,1.0,16.8,-12.0
2022-04-08,TOR,False,False,L,33,17.0,2.0,3.0,1.0,0.0,1.0,7.0,12.0,0.583,0.0,2.0,0.0,3.0,3.0,1.0,12.5,-1.0
2022-04-10,ATL,True,False,L,35,9.0,6.0,8.0,0.0,1.0,1.0,4.0,12.0,0.333,1.0,6.0,0.167,0.0,0.0,0.0,8.1,-17.0
2022-10-19,ATL,False,False,L,22,15.0,9.0,0.0,0.0,0.0,6.0,5.0,9.0,0.556,1.0,2.0,0.5,4.0,4.0,1.0,7.8,-6.0
2022-10-21,MEM,True,False,L,27,23.0,12.0,1.0,1.0,2.0,1.0,9.0,13.0,0.692,1.0,2.0,0.5,4.0,10.0,0.4,21.6,13.0
2022-10-22,MIL,False,True,L,23,9.0,9.0,2.0,1.0,1.0,1.0,4.0,9.0,0.444,0.0,3.0,0.0,1.0,2.0,0.5,9.1,-8.0
2022-10-28,POR,False,False,L,25,14.0,11.0,1.0,0.0,3.0,1.0,6.0,12.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,13.9,-8.0
2022-10-30,PHX,False,False,L,29,16.0,9.0,2.0,1.0,0.0,1.0,6.0,10.0,0.6,0.0,2.0,0.0,4.0,4.0,1.0,15.5,-1.0
2022-10-31,LAC,False,True,L,30,14.0,9.0,3.0,0.0,1.0,2.0,4.0,8.0,0.5,0.0,0.0,0.0,6.0,6.0,1.0,13.1,-8.0
2022-11-02,LAC,True,False,L,33,26.0,13.0,2.0,1.0,0.0,0.0,8.0,13.0,0.615,0.0,1.0,0.0,10.0,11.0,0.909,24.8,-13.0
2022-11-05,MIN,False,False,L,20,17.0,7.0,5.0,0.0,0.0,2.0,8.0,9.0,0.889,0.0,0.0,0.0,1.0,3.0,0.333,17.5,0.0
2022-11-07,ORL,False,False,W,29,20.0,10.0,4.0,2.0,1.0,3.0,6.0,14.0,0.429,0.0,1.0,0.0,8.0,10.0,0.8,19.3,6.0
2022-11-09,TOR,False,False,L,30,17.0,8.0,1.0,1.0,3.0,3.0,5.0,8.0,0.625,0.0,0.0,0.0,7.0,7.0,1.0,17.0,-13.0
2022-11-12,NOP,False,False,L,19,6.0,3.0,1.0,1.0,0.0,1.0,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.2,-5.0
