date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-12-31,SAC,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-01-04,MEM,True,False,L,4,5.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,4.0,-7.0
2020-02-08,MIN,False,False,L,10,4.0,2.0,1.0,0.0,0.0,0.0,2.0,6.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,2.7,-1.0
2020-02-09,CLE,False,True,W,25,10.0,4.0,1.0,1.0,1.0,2.0,5.0,7.0,0.714,0.0,2.0,0.0,0.0,1.0,0.0,7.5,16.0
2020-02-11,PHI,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-02-13,BOS,False,False,L,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.5,1.0
2020-02-22,SAC,True,False,L,14,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-0.0,-4.0
2020-02-24,MEM,True,False,W,8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0
2020-02-28,DEN,True,False,W,5,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,4.0
2020-03-03,OKC,False,False,W,3,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.3,-3.0
2020-03-05,HOU,False,False,W,5,2.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-11.0
2020-03-08,LAL,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-03-10,GSW,False,False,W,9,2.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,-0.9,-9.0
2020-07-30,LAL,False,False,L,5,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.7,-2.0
2020-08-01,NOP,True,False,W,4,3.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,-1.1,-7.0
2020-08-06,DAL,False,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-12,DEN,False,False,W,2,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.7,1.0
2020-08-14,OKC,True,False,W,50,21.0,2.0,4.0,4.0,1.0,2.0,7.0,17.0,0.412,2.0,8.0,0.25,5.0,8.0,0.625,14.4,11.0
2020-12-22,LAL,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2020-12-25,DEN,False,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,DAL,True,False,L,18,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,-1.2,-8.0
2020-12-29,MIN,True,False,W,11,5.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,4.7,-6.0
2020-12-30,POR,True,True,W,5,6.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,3.6,2.0
2021-01-01,UTA,False,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05,SAS,True,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2021-01-08,GSW,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-01-15,SAC,False,False,W,9,5.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,4.7,5.0
2021-01-17,IND,True,False,W,7,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,-0.8,2.0
2021-01-24,OKC,True,False,W,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2021-01-26,ATL,False,False,L,12,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,-0.8,-4.0
2021-01-28,MIA,False,False,W,16,5.0,3.0,0.0,3.0,0.0,1.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,4.4,-8.0
2021-01-29,ORL,False,True,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,0.0
2021-01-31,NYK,False,False,W,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.1,0.0
2021-02-03,CLE,False,False,W,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0
2021-02-14,CLE,True,False,W,4,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-6.0
2021-02-15,MIA,True,True,W,32,15.0,3.0,2.0,1.0,0.0,1.0,5.0,7.0,0.714,5.0,6.0,0.833,0.0,0.0,0.0,13.6,8.0
