date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2012-10-31,HOU,True,False,L,13,2.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0
2012-11-02,PHX,False,False,L,19,5.0,8.0,1.0,0.0,2.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,3.0,0.333,7.4,1.0
2012-11-04,LAL,False,False,L,22,5.0,7.0,0.0,0.0,2.0,1.0,2.0,6.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,4.5,2.0
2012-11-06,DEN,False,False,L,12,7.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8.1,-8.0
2012-11-07,SAC,False,True,L,6,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-4.0
2012-11-09,OKC,False,False,L,21,22.0,8.0,0.0,1.0,1.0,1.0,8.0,10.0,0.8,0.0,0.0,0.0,6.0,9.0,0.667,21.3,0.0
2012-11-10,HOU,False,True,L,20,7.0,7.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,6.0,0.5,8.7,-9.0
2012-11-12,OKC,True,False,L,13,4.0,6.0,1.0,2.0,1.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0
2012-11-14,PHI,False,False,W,11,6.0,2.0,1.0,1.0,1.0,1.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,3.8,2.0
2012-11-16,ORL,True,False,L,15,10.0,3.0,0.0,1.0,2.0,2.0,5.0,6.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,9.5,-9.0
2012-11-18,BOS,True,False,W,18,4.0,6.0,0.0,1.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,5.1,11.0
2012-11-21,ORL,False,False,L,19,4.0,3.0,1.0,0.0,2.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
