date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-10-29,ATL,True,False,L,7,0.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,5.0
2023-11-01,TOR,False,False,L,6,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,4.0
2023-11-08,DET,True,False,W,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0
2023-11-09,IND,False,True,L,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,7.0
2023-11-11,ORL,False,False,L,14,4.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,1.2,2.0
2023-11-13,CHI,True,False,W,13,5.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,4.3,2.0
2023-11-15,TOR,False,False,W,17,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,9.0
2023-11-17,CHA,False,False,W,8,6.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,5.7,2.0
2023-11-18,DAL,True,True,W,12,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-11.0
2023-11-20,WAS,False,False,W,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-5.0
2023-11-22,BOS,False,False,L,8,7.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,4.3,-2.0
2023-11-24,WAS,True,False,W,9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0
2023-11-26,POR,True,False,W,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-11.0
2023-11-28,MIA,False,False,W,3,6.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,6.1,-3.0
2023-11-30,CHI,False,False,L,12,4.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,4.7,-8.0
2023-12-05,NYK,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-07,IND,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-4.0
