date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-10-25,HOU,True,False,W,5,5.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,6.5,9.0
2023-10-31,LAC,False,False,L,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.0
2023-11-02,UTA,False,False,W,16,9.0,3.0,1.0,2.0,0.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,9.2,6.0
2023-11-04,LAL,True,False,W,30,11.0,4.0,2.0,1.0,0.0,0.0,4.0,6.0,0.667,2.0,3.0,0.667,1.0,1.0,1.0,11.6,32.0
2023-11-06,DAL,True,False,L,33,8.0,5.0,2.0,0.0,0.0,1.0,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,6.2,-13.0
2023-11-09,ATL,True,False,L,17,9.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,9.3,-3.0
2023-11-11,MIL,True,False,W,28,2.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.6,6.0
2023-11-14,BKN,False,False,L,19,2.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,-1.5,-4.0
2023-11-15,CHI,False,True,W,27,7.0,4.0,2.0,0.0,0.0,2.0,3.0,8.0,0.375,0.0,2.0,0.0,1.0,2.0,0.5,2.4,-2.0
2023-11-17,CHI,False,False,W,11,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,-2.4,-4.0
2023-11-19,IND,False,False,W,24,7.0,5.0,1.0,0.0,2.0,2.0,1.0,5.0,0.2,0.0,2.0,0.0,5.0,6.0,0.833,3.1,-6.0
2023-11-21,TOR,True,False,W,23,5.0,5.0,1.0,1.0,0.0,0.0,2.0,7.0,0.286,0.0,3.0,0.0,1.0,2.0,0.5,3.3,7.0
2023-11-22,DEN,True,True,W,15,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,4.0
2023-11-24,BOS,True,False,W,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-6.0
2023-11-26,CHA,True,False,W,15,2.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.5,-2.0
2023-11-29,WAS,True,False,W,27,7.0,5.0,3.0,0.0,1.0,2.0,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,6.6,4.0
2023-12-01,WAS,True,False,W,23,6.0,2.0,3.0,0.0,1.0,1.0,2.0,4.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,4.8,-5.0
2023-12-02,BKN,False,True,L,19,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,-5.0
2023-12-06,CLE,False,False,L,15,11.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,9.1,-7.0
2023-12-08,DET,True,False,W,25,6.0,5.0,3.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,1.0,0.0,2.0,4.0,0.5,5.4,7.0
2023-12-11,CLE,True,False,W,19,0.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,12.0
2023-12-15,BOS,False,False,L,28,13.0,9.0,4.0,0.0,0.0,0.0,5.0,8.0,0.625,3.0,5.0,0.6,0.0,0.0,0.0,15.3,0.0
2023-12-17,BOS,False,False,L,17,5.0,2.0,3.0,1.0,0.0,0.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,3.0,0.0,4.8,17.0
2023-12-20,MIA,True,False,L,22,4.0,2.0,4.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,4.6,2.0
2023-12-21,MIL,False,True,L,20,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,2.5,-20.0
2023-12-23,IND,False,False,W,28,8.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,0.667,0.0,0.0,0.0,4.0,4.0,1.0,7.9,-3.0
2023-12-26,WAS,False,False,W,33,23.0,6.0,1.0,4.0,0.0,5.0,9.0,13.0,0.692,4.0,6.0,0.667,1.0,1.0,1.0,17.8,-2.0
2023-12-27,PHI,True,True,L,23,3.0,4.0,4.0,1.0,1.0,0.0,1.0,6.0,0.167,1.0,3.0,0.333,0.0,0.0,0.0,4.5,-3.0
2023-12-29,NYK,True,False,W,29,4.0,6.0,5.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0
2023-12-31,PHX,False,False,L,22,2.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,-1.9,-19.0
2024-01-02,GSW,False,False,L,13,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.2,-1.0
2024-01-03,SAC,False,True,L,25,9.0,2.0,4.0,0.0,0.0,1.0,4.0,7.0,0.571,1.0,1.0,1.0,0.0,0.0,0.0,8.1,-1.0
2024-01-05,DEN,False,False,W,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-6.0
2024-01-07,ATL,True,False,W,12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.8,-10.0
2024-01-09,MIN,True,False,L,21,3.0,1.0,4.0,3.0,1.0,2.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,4.6,0.0
2024-01-12,MIA,False,False,L,9,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,2.5,4.0
2024-01-13,OKC,False,True,L,33,13.0,4.0,1.0,1.0,1.0,1.0,5.0,8.0,0.625,0.0,1.0,0.0,3.0,6.0,0.5,10.0,-9.0
2024-01-17,ATL,False,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-19,PHI,True,False,L,13,7.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,4.0,4.0,1.0,8.9,-2.0
2024-01-21,MIA,True,False,W,14,6.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,0.4,1.0,2.0,0.5,1.0,2.0,0.5,1.4,-3.0
2024-01-22,CLE,True,True,L,18,7.0,1.0,2.0,1.0,0.0,0.0,3.0,6.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,6.7,-18.0
2024-01-26,MEM,False,False,L,27,2.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,4.0,0.5,-1.5,1.0
2024-01-28,PHX,True,False,W,13,4.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,4.3,4.0
2024-01-29,DAL,False,True,L,30,20.0,3.0,1.0,0.0,1.0,1.0,7.0,9.0,0.778,4.0,4.0,1.0,2.0,2.0,1.0,16.6,-11.0
2024-01-31,SAS,False,False,W,17,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.9,4.0
2024-02-04,DET,False,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2024-02-06,MIA,False,False,L,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-2.0
2024-02-08,SAS,True,False,W,3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0
2024-02-13,OKC,True,False,L,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-0.4,3.0
2024-02-14,NYK,True,True,W,23,4.0,2.0,2.0,1.0,0.0,1.0,2.0,7.0,0.286,0.0,2.0,0.0,0.0,0.0,0.0,1.1,-1.0
2024-02-22,CLE,False,False,W,24,9.0,3.0,2.0,0.0,0.0,1.0,3.0,7.0,0.429,1.0,2.0,0.5,2.0,2.0,1.0,6.6,21.0
