date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2020-12-29,CHI,True,False,L,3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.7,-1.0
2021-01-01,MIN,False,False,W,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-13.0
2021-01-06,PHI,False,False,L,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,2.0
2021-01-11,PHX,True,False,W,3,4.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,3.2,-2.0
2021-01-24,SAS,False,False,L,10,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-12.0
2021-01-26,HOU,False,False,L,22,2.0,8.0,2.0,1.0,0.0,2.0,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,2.8,6.0
2021-01-27,NOP,False,True,L,12,0.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,-12.0
2021-01-29,ATL,True,False,L,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2021-02-07,CHA,False,False,L,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
2021-02-10,TOR,True,False,L,2,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,2.0,-3.0
2021-02-27,MIN,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2021-03-02,MEM,True,False,L,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-1.0
2021-03-23,NYK,False,False,L,5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2021-04-03,DAL,True,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-4.0
2021-04-05,TOR,False,False,L,10,2.0,6.0,0.0,1.0,0.0,1.0,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,1.9,-4.0
2021-04-07,ORL,False,False,W,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,-5.0
2021-04-10,PHX,False,False,L,4,6.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.1,-2.0
2021-04-17,DET,True,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,0.0
2021-04-23,OKC,False,False,W,20,9.0,10.0,1.0,1.0,0.0,1.0,4.0,5.0,0.8,1.0,2.0,0.5,0.0,0.0,0.0,11.6,21.0
2021-04-25,CLE,True,False,W,14,5.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,1.8,-16.0
2021-04-26,SAS,True,True,L,14,13.0,3.0,0.0,1.0,1.0,0.0,6.0,7.0,0.857,1.0,1.0,1.0,0.0,1.0,0.0,12.3,2.0
2021-04-30,CLE,False,False,W,19,10.0,1.0,4.0,2.0,0.0,0.0,4.0,5.0,0.8,1.0,2.0,0.5,1.0,2.0,0.5,11.6,20.0
2021-05-05,MIL,False,False,L,18,11.0,1.0,0.0,0.0,0.0,0.0,5.0,10.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,5.1,5.0
2021-05-06,TOR,False,True,W,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.9,-20.0
2021-05-14,CLE,True,False,W,22,12.0,5.0,1.0,2.0,1.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,8.0,8.0,1.0,13.9,16.0
2021-05-16,CHA,True,False,W,7,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,4.0
2021-11-13,ORL,False,False,W,10,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,14.0
2021-11-15,NOP,True,False,W,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2021-11-17,CHA,False,False,L,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0
2021-11-18,MIA,False,True,L,9,2.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.9,-9.0
2021-11-24,NOP,False,False,L,6,8.0,4.0,0.0,0.0,1.0,1.0,3.0,4.0,0.75,2.0,2.0,1.0,0.0,0.0,0.0,7.3,3.0
2021-11-29,SAS,False,False,L,2,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.7,-1.0
2021-12-03,CLE,True,False,L,5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.3,3.0
2021-12-05,TOR,False,False,L,4,5.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,5.2,4.0
2021-12-06,IND,False,True,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2021-12-08,DET,False,False,W,8,4.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,3.6,11.0
2021-12-11,UTA,True,False,L,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-5.0
2021-12-16,PHX,False,False,L,8,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,2.0
2021-12-23,NYK,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
2021-12-26,PHI,True,False,L,7,4.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.7,-4.0
2021-12-30,CLE,True,False,W,12,8.0,3.0,1.0,0.0,0.0,0.0,3.0,5.0,0.6,1.0,2.0,0.5,1.0,2.0,0.5,5.3,8.0
2022-01-01,CHI,True,False,L,25,9.0,3.0,3.0,1.0,0.0,1.0,3.0,6.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,7.0,3.0
2022-01-17,PHI,True,False,W,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-2.0
2022-01-23,BOS,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
2022-01-29,MEM,False,False,L,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,-2.0
2022-02-05,PHX,True,False,L,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,7.0
2022-02-07,MIA,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,BKN,True,False,W,26,15.0,2.0,0.0,1.0,0.0,0.0,6.0,7.0,0.857,0.0,1.0,0.0,3.0,5.0,0.6,12.1,6.0
2022-02-12,SAC,True,False,L,19,2.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,0.0,-1.1,-5.0
2022-02-14,DET,True,False,W,26,6.0,6.0,2.0,0.0,1.0,2.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,7.1,13.0
2022-02-16,IND,False,False,L,16,5.0,2.0,0.0,1.0,0.0,1.0,1.0,5.0,0.2,0.0,1.0,0.0,3.0,4.0,0.75,1.3,-8.0
2022-02-17,BKN,False,True,W,19,12.0,2.0,3.0,1.0,2.0,2.0,4.0,7.0,0.571,2.0,2.0,1.0,2.0,3.0,0.667,9.8,7.0
2022-02-25,SAS,True,False,L,8,4.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,2.0,3.0,0.667,3.3,-5.0
2022-03-01,DET,True,False,W,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-6.0
2022-03-06,IND,True,False,W,10,6.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,5.9,9.0
2022-03-11,LAL,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2022-03-12,POR,False,True,L,12,6.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,5.3,3.0
2022-03-14,GSW,False,False,L,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.0
2022-03-16,DEN,True,False,L,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2022-03-21,HOU,False,False,L,8,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0
2022-03-24,MIL,False,False,L,14,9.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8.8,21.0
2022-03-25,DET,False,True,W,23,4.0,5.0,1.0,0.0,1.0,1.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,3.8,9.0
2022-03-27,GSW,True,False,W,21,9.0,8.0,3.0,0.0,2.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,14.0,9.0
2022-03-29,CHI,True,False,L,17,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.5,-9.0
2022-03-30,ORL,True,True,W,19,7.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,4.9,-1.0
2022-04-01,DAL,True,False,W,19,10.0,5.0,1.0,0.0,1.0,2.0,3.0,4.0,0.75,1.0,2.0,0.5,3.0,3.0,1.0,8.9,21.0
2022-04-03,BOS,False,False,L,25,9.0,2.0,1.0,0.0,0.0,0.0,1.0,8.0,0.125,1.0,3.0,0.333,6.0,6.0,1.0,4.7,-27.0
2022-04-06,ATL,False,False,L,13,4.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,2.6,5.0
2022-04-08,NYK,True,False,L,16,4.0,2.0,2.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,-8.0
2022-04-10,CHA,False,False,L,19,9.0,8.0,2.0,0.0,0.0,1.0,3.0,10.0,0.3,1.0,2.0,0.5,2.0,2.0,1.0,7.2,-16.0
2022-10-19,IND,False,False,W,15,2.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0
2022-10-21,CHI,True,False,W,11,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,2.0
2022-10-23,CLE,False,False,L,10,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.5,-9.0
2022-10-25,DET,True,False,W,7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.3,7.0
2022-10-28,IND,True,False,L,4,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.7,3.0
2022-10-30,BOS,False,False,L,19,10.0,5.0,2.0,1.0,0.0,0.0,4.0,6.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,11.7,8.0
2022-10-31,PHI,True,True,L,26,11.0,4.0,2.0,0.0,0.0,2.0,5.0,10.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,7.4,7.0
2022-11-02,PHI,False,False,W,17,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0
2022-11-04,BKN,True,False,L,28,8.0,4.0,0.0,1.0,0.0,0.0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-16.0
2022-11-06,MEM,False,False,L,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,6.0
2022-11-07,CHA,False,True,W,17,6.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,4.9,-10.0
2022-11-10,DAL,True,False,W,15,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-7.0
2022-11-12,UTA,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2022-11-23,MIA,False,False,L,13,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.0
2022-11-25,MIA,False,False,L,13,2.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,-1.0
2022-11-27,BOS,False,False,L,15,5.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,3.0,5.0,0.6,3.7,13.0
2022-11-28,MIN,True,True,W,11,4.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.9,-13.0
2022-11-30,BKN,False,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-4.0
2022-12-02,CHA,False,False,L,5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.9,-4.0
2022-12-04,LAL,True,False,L,8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,-3.0
2022-12-07,CHI,False,False,L,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0
2022-12-09,IND,False,False,L,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0
2022-12-10,LAC,True,True,L,16,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,3.8,-8.0
2022-12-12,BKN,True,False,L,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-6.0
2022-12-14,DEN,False,False,L,12,6.0,2.0,1.0,1.0,0.0,0.0,3.0,4.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,6.7,13.0
2022-12-17,LAC,False,False,L,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-1.0
2022-12-22,UTA,False,False,L,3,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,2.6,8.0
2022-12-28,PHX,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-12-30,ORL,False,False,W,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2023-01-01,MIL,False,False,W,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0
2023-01-03,MIL,False,False,L,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,4.0
2023-01-06,OKC,False,False,L,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
2023-01-09,NOP,True,False,L,5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2023-01-11,CHI,True,False,W,23,18.0,4.0,1.0,0.0,0.0,0.0,7.0,11.0,0.636,0.0,2.0,0.0,4.0,5.0,0.8,14.6,-3.0
2023-01-21,ORL,True,False,W,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2023-01-24,DAL,False,False,W,19,6.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,5.4,-1.0
2023-02-06,CLE,True,False,L,21,6.0,2.0,1.0,0.0,0.0,1.0,2.0,4.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,3.9,0.0
2023-02-08,CHA,True,False,W,19,7.0,3.0,2.0,0.0,1.0,1.0,3.0,4.0,0.75,0.0,1.0,0.0,1.0,1.0,1.0,7.0,8.0
2023-02-11,IND,True,False,W,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-7.0
2023-02-13,GSW,False,False,L,12,6.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,5.8,0.0
2023-02-14,POR,False,True,W,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,8.0
2023-02-26,CHI,False,False,L,8,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,1.7,-12.0
2023-03-04,TOR,True,False,L,7,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,3.1,-4.0
2023-03-05,MIL,True,True,L,19,2.0,6.0,1.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.5,7.0
2023-03-12,PHI,False,False,L,9,5.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,3.0,4.0,0.75,5.3,-2.0
2023-03-14,DET,True,False,W,3,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.7,-3.0
2023-03-17,CLE,False,False,L,7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0
2023-03-18,SAC,True,True,L,14,6.0,6.0,0.0,1.0,2.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,4.0,4.0,1.0,7.7,-1.0
2023-03-21,ORL,False,False,L,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,2.0
2023-03-22,DEN,True,True,L,10,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.9,-1.0
2023-03-24,SAS,True,False,W,18,4.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,3.0,0.667,3.9,10.0
2023-03-26,TOR,False,False,L,8,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.9,-6.0
2023-03-28,BOS,True,False,W,12,4.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.1,7.0
2023-03-31,ORL,True,False,L,13,2.0,3.0,2.0,0.0,0.0,1.0,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.2,-10.0
2023-04-02,NYK,False,False,L,4,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,9.0
2023-04-04,MIL,True,False,L,22,8.0,3.0,1.0,0.0,0.0,1.0,2.0,4.0,0.5,1.0,1.0,1.0,3.0,5.0,0.6,5.4,-17.0
2023-04-05,ATL,False,True,L,20,4.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,2.0,0.0,2.7,-14.0
2023-04-07,MIA,True,False,W,19,4.0,3.0,2.0,0.0,0.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,2.2,25.0
2023-04-09,HOU,True,False,L,21,8.0,2.0,2.0,1.0,0.0,0.0,3.0,8.0,0.375,0.0,2.0,0.0,2.0,4.0,0.5,4.6,-1.0
2023-10-30,BOS,True,False,L,10,5.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,3.0,4.0,0.75,3.4,9.0
2023-11-01,ATL,False,False,L,7,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,17.0
2023-11-03,MIA,False,False,L,7,6.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,5.0,18.0
2023-11-06,PHI,False,False,L,8,5.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,1.0,2.0,0.5,6.4,6.0
2023-11-08,CHA,False,False,W,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-4.0
2023-11-15,DAL,True,False,L,5,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,9.0
2023-11-17,NYK,True,False,L,2,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,-1.0
2023-11-20,MIL,True,False,L,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2023-11-25,ATL,True,False,L,18,10.0,3.0,1.0,0.0,0.0,2.0,4.0,6.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,7.0,-8.0
2023-11-27,DET,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-29,ORL,False,False,L,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,3.0
2023-12-08,BKN,False,False,L,4,2.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.3,-2.0
2023-12-11,PHI,False,False,L,10,3.0,4.0,0.0,0.0,1.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,1.1,2.0
2023-12-13,NOP,True,False,L,10,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.2,-4.0
2023-12-15,IND,True,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0
2023-12-17,PHX,False,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-18,SAC,False,True,L,20,4.0,4.0,3.0,0.0,0.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,3.6,9.0
2023-12-21,POR,False,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2023-12-22,GSW,False,True,L,11,8.0,3.0,0.0,0.0,1.0,0.0,4.0,5.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,8.5,10.0
2023-12-27,TOR,True,False,L,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-3.0
