date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-10-23,CHI,True,False,W,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-3.1,-3.0
2024-10-27,POR,False,False,L,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.8,1.0
2024-11-03,ATL,True,False,L,4,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.3,4.0
2024-11-04,POR,True,True,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-08,ORL,False,False,L,18,3.0,3.0,1.0,1.0,0.0,0.0,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,2.1,-18.0
2024-11-11,BKN,True,False,L,8,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,-4.0
2024-11-13,OKC,False,False,L,8,6.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0
2024-11-19,DAL,False,False,L,7,9.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.6,2.0,2.0,1.0,1.0,1.0,1.0,4.3,-7.0
2024-11-20,CLE,False,True,L,40,34.0,5.0,3.0,0.0,0.0,0.0,14.0,25.0,0.56,4.0,12.0,0.333,2.0,2.0,1.0,25.7,-16.0
2024-11-22,GSW,True,False,L,13,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,2.0,0.5,-1.2,-8.0
2024-11-27,TOR,True,False,L,6,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,1.0
2024-12-01,NYK,False,False,L,19,2.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,-1.6,1.0
2024-12-08,SAS,False,False,L,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,2.0
2024-12-12,SAC,True,False,L,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3.0
2024-12-19,HOU,False,False,L,2,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.0,-1.0
2024-12-26,HOU,True,False,L,9,4.0,1.0,3.0,0.0,0.0,1.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,3.1,11.0
2025-01-08,POR,True,False,L,6,9.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.75,2.0,3.0,0.667,1.0,1.0,1.0,8.4,9.0
2025-01-25,CHA,False,False,L,12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-17.0
2025-02-03,DEN,False,False,L,5,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.7,2.0
2025-02-05,DEN,False,False,L,15,3.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,2.7,-5.0
2025-02-08,SAC,False,False,L,14,3.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,2.6,14.0
2025-02-10,OKC,False,False,L,25,4.0,1.0,1.0,2.0,1.0,3.0,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.3,-14.0
2025-02-12,SAC,True,False,L,18,8.0,6.0,2.0,1.0,0.0,0.0,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,10.3,8.0
2025-02-13,SAC,True,True,W,12,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.9,2.0
2025-02-21,DAL,False,False,L,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,2.0
2025-02-23,SAS,True,False,W,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-4.0
2025-02-25,SAS,True,False,W,4,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.7,4.0
2025-02-28,PHX,False,False,L,21,11.0,2.0,1.0,1.0,0.0,1.0,4.0,7.0,0.571,2.0,4.0,0.5,1.0,1.0,1.0,8.2,-12.0
2025-03-09,MEM,True,False,L,22,11.0,2.0,3.0,0.0,0.0,1.0,3.0,5.0,0.6,3.0,3.0,1.0,2.0,2.0,1.0,10.8,12.0
2025-03-13,ORL,True,False,L,10,3.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,1.2,-4.0
2025-03-15,SAS,False,False,L,6,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.4,-6.0
2025-03-17,DET,True,False,L,17,3.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,-3.2,-22.0
2025-03-21,MIN,False,False,L,12,11.0,0.0,0.0,1.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.5,-17.0
2025-03-23,DET,False,False,L,3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.3,-3.0
2025-03-24,PHI,True,True,W,24,17.0,2.0,1.0,1.0,1.0,0.0,6.0,10.0,0.6,5.0,7.0,0.714,0.0,0.0,0.0,15.0,14.0
2025-03-28,GSW,True,False,L,19,5.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,1.5,-17.0
2025-03-30,CHA,True,False,W,28,16.0,3.0,2.0,0.0,0.0,2.0,6.0,10.0,0.6,4.0,5.0,0.8,0.0,0.0,0.0,9.7,-2.0
2025-04-02,LAC,False,False,L,33,11.0,0.0,1.0,0.0,0.0,1.0,5.0,10.0,0.5,1.0,4.0,0.25,0.0,0.0,0.0,5.3,-9.0
2025-04-04,LAL,False,False,L,23,10.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,0.4,2.0,7.0,0.286,0.0,0.0,0.0,2.8,-8.0
2025-04-06,MIL,True,False,L,37,23.0,2.0,2.0,2.0,0.0,4.0,8.0,18.0,0.444,5.0,9.0,0.556,2.0,2.0,1.0,12.8,3.0
2025-04-08,BKN,False,False,L,30,17.0,3.0,2.0,2.0,0.0,1.0,5.0,14.0,0.357,4.0,10.0,0.4,3.0,3.0,1.0,12.1,1.0
2025-04-10,MIL,False,False,L,37,16.0,4.0,3.0,3.0,0.0,1.0,5.0,15.0,0.333,2.0,8.0,0.25,4.0,6.0,0.667,10.8,-13.0
2025-04-11,MIA,True,True,L,34,19.0,5.0,4.0,1.0,0.0,1.0,7.0,14.0,0.5,2.0,5.0,0.4,3.0,4.0,0.75,15.9,-18.0
2025-04-13,OKC,True,False,L,39,20.0,6.0,0.0,0.0,1.0,0.0,8.0,14.0,0.571,0.0,4.0,0.0,4.0,5.0,0.8,14.3,-18.0
2025-11-14,MIL,False,False,L,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2025-11-15,OKC,True,True,L,17,9.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,6.6,10.0
2025-12-01,BKN,False,False,L,15,10.0,2.0,1.0,0.0,0.0,0.0,4.0,5.0,0.8,2.0,3.0,0.667,0.0,0.0,0.0,9.0,9.0
2025-12-03,NYK,False,False,L,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8,-5.0
2025-12-05,TOR,False,False,W,4,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.3,1.0
2025-12-07,DEN,True,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2026-01-22,ORL,False,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2026-02-20,CLE,True,False,L,6,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.3,-3.0
2026-03-04,BOS,False,False,W,5,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0
2026-03-31,BKN,False,False,W,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.0
