date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-10-20,DET,False,False,W,11,7.0,2.0,0.0,0.0,1.0,1.0,3.0,8.0,0.375,1.0,3.0,0.333,0.0,0.0,0.0,2.5,7.0
2021-10-22,NOP,True,False,W,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-4.0
2021-10-23,DET,True,True,W,11,2.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,4.4,-1.0
2021-10-28,NYK,True,False,L,9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0
2021-10-30,UTA,True,False,W,21,4.0,3.0,1.0,0.0,0.0,0.0,1.0,6.0,0.167,1.0,2.0,0.5,1.0,2.0,0.5,1.0,17.0
2021-11-01,BOS,False,False,W,22,14.0,4.0,2.0,0.0,0.0,2.0,6.0,6.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,12.4,15.0
2021-11-03,PHI,False,False,L,13,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.3,-14.0
2021-11-06,PHI,True,False,L,13,2.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,-1.0
2021-11-08,BKN,True,False,W,20,15.0,7.0,0.0,0.0,0.0,1.0,6.0,10.0,0.6,1.0,4.0,0.25,2.0,3.0,0.667,11.9,22.0
2021-11-10,DAL,True,False,W,19,7.0,1.0,0.0,0.0,0.0,1.0,3.0,9.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.2,-15.0
2021-11-12,GSW,False,False,L,16,6.0,0.0,1.0,0.0,0.0,2.0,2.0,6.0,0.333,2.0,3.0,0.667,0.0,0.0,0.0,0.9,-19.0
2021-11-14,LAC,False,False,W,19,4.0,4.0,2.0,1.0,0.0,2.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.8,-8.0
2021-11-15,LAL,False,True,W,21,5.0,1.0,2.0,0.0,0.0,1.0,2.0,7.0,0.286,0.0,2.0,0.0,1.0,2.0,0.5,-0.4,-4.0
2021-11-17,POR,False,False,L,17,8.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,8.3,-9.0
2021-11-19,DEN,False,False,W,23,10.0,8.0,0.0,1.0,0.0,1.0,4.0,8.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,9.2,6.0
2021-11-21,NYK,True,False,W,20,5.0,2.0,1.0,1.0,0.0,0.0,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,3.5,-15.0
2021-11-22,IND,True,True,L,24,7.0,1.0,1.0,0.0,1.0,0.0,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,5.9,-17.0
2021-11-24,HOU,False,False,L,17,8.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,0.75,0.0,0.0,0.0,2.0,2.0,1.0,7.4,-12.0
2021-11-26,ORL,False,False,W,18,8.0,1.0,2.0,0.0,0.0,1.0,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,6.7,10.0
2021-11-27,MIA,True,True,L,9,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-2.0
2021-11-29,CHA,True,False,W,6,4.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,2.9,-1.0
2021-12-02,NYK,False,False,W,17,2.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.8,6.0
2021-12-04,BKN,False,False,W,23,11.0,3.0,0.0,0.0,2.0,1.0,5.0,6.0,0.833,0.0,1.0,0.0,1.0,4.0,0.25,8.5,16.0
2021-12-06,DEN,True,False,W,42,11.0,6.0,8.0,1.0,0.0,3.0,4.0,6.0,0.667,1.0,2.0,0.5,2.0,2.0,1.0,13.4,-2.0
2021-12-08,CLE,False,False,L,34,5.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,4.9,-14.0
2021-12-26,IND,True,False,W,23,6.0,2.0,0.0,0.0,1.0,2.0,3.0,4.0,0.75,0.0,1.0,0.0,0.0,2.0,0.0,2.5,6.0
2021-12-27,ATL,False,True,W,25,8.0,0.0,2.0,0.0,1.0,1.0,4.0,6.0,0.667,0.0,2.0,0.0,0.0,0.0,0.0,4.9,9.0
2021-12-29,ATL,True,False,W,20,14.0,2.0,1.0,1.0,2.0,3.0,6.0,7.0,0.857,1.0,1.0,1.0,1.0,2.0,0.5,11.0,1.0
2021-12-31,IND,False,False,W,22,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,3.6,-8.0
2022-01-01,WAS,False,True,W,21,4.0,5.0,1.0,1.0,1.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,4.6,-17.0
2022-01-03,ORL,True,False,W,19,3.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,8.0
2022-01-07,WAS,True,False,W,31,18.0,5.0,4.0,3.0,0.0,2.0,7.0,9.0,0.778,3.0,4.0,0.75,1.0,2.0,0.5,18.6,15.0
2022-01-09,DAL,False,False,L,23,6.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,4.9,-13.0
2022-01-11,DET,True,False,W,27,10.0,1.0,0.0,0.0,1.0,1.0,4.0,9.0,0.444,1.0,4.0,0.25,1.0,1.0,1.0,4.5,23.0
2022-01-12,BKN,True,True,L,23,5.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,0.333,0.0,2.0,0.0,3.0,4.0,0.75,1.4,-25.0
2022-01-14,GSW,True,False,L,32,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-4.9,-29.0
2022-01-15,BOS,False,True,L,40,21.0,4.0,10.0,0.0,0.0,1.0,9.0,10.0,0.9,3.0,3.0,1.0,0.0,0.0,0.0,24.4,-6.0
2022-01-17,MEM,False,False,L,38,15.0,10.0,6.0,4.0,2.0,4.0,7.0,12.0,0.583,1.0,3.0,0.333,0.0,0.0,0.0,17.2,1.0
2022-01-19,CLE,True,False,W,39,18.0,3.0,8.0,2.0,0.0,1.0,7.0,8.0,0.875,3.0,4.0,0.75,1.0,2.0,0.5,20.7,11.0
2022-01-21,MIL,False,False,L,39,5.0,5.0,6.0,1.0,0.0,2.0,2.0,9.0,0.222,1.0,5.0,0.2,0.0,0.0,0.0,3.0,3.0
2022-01-23,ORL,False,False,L,40,7.0,5.0,0.0,0.0,1.0,3.0,2.0,6.0,0.333,0.0,1.0,0.0,3.0,3.0,1.0,2.4,-18.0
2022-01-24,OKC,False,True,W,35,24.0,5.0,8.0,0.0,1.0,3.0,10.0,14.0,0.714,4.0,6.0,0.667,0.0,0.0,0.0,20.6,15.0
2022-01-26,TOR,True,False,W,38,7.0,2.0,4.0,1.0,0.0,0.0,3.0,10.0,0.3,0.0,4.0,0.0,1.0,2.0,0.5,4.4,20.0
2022-01-28,SAS,False,False,L,36,10.0,6.0,3.0,2.0,0.0,0.0,3.0,9.0,0.333,0.0,3.0,0.0,4.0,4.0,1.0,9.6,5.0
2022-01-30,POR,True,False,W,34,7.0,6.0,11.0,2.0,0.0,3.0,2.0,3.0,0.667,1.0,1.0,1.0,2.0,2.0,1.0,13.4,12.0
2022-02-01,ORL,True,False,W,36,13.0,1.0,9.0,1.0,0.0,1.0,4.0,7.0,0.571,3.0,5.0,0.6,2.0,2.0,1.0,15.1,6.0
2022-02-03,TOR,False,False,L,42,11.0,4.0,8.0,0.0,1.0,3.0,5.0,12.0,0.417,1.0,5.0,0.2,0.0,0.0,0.0,7.5,-2.0
2022-02-04,IND,False,True,W,37,15.0,0.0,14.0,2.0,0.0,2.0,6.0,9.0,0.667,2.0,3.0,0.667,1.0,2.0,0.5,19.3,6.0
2022-02-06,PHI,True,False,L,38,8.0,2.0,7.0,1.0,0.0,1.0,3.0,8.0,0.375,1.0,3.0,0.333,1.0,1.0,1.0,7.9,-4.0
2022-02-07,PHX,True,True,L,33,2.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.143,0.0,4.0,0.0,0.0,0.0,0.0,-3.5,-20.0
2022-02-11,MIN,True,False,W,42,14.0,4.0,10.0,3.0,0.0,1.0,6.0,7.0,0.857,2.0,3.0,0.667,0.0,0.0,0.0,20.9,18.0
2022-02-12,OKC,True,True,W,42,12.0,8.0,9.0,1.0,0.0,3.0,5.0,8.0,0.625,2.0,4.0,0.5,0.0,0.0,0.0,13.9,1.0
2022-02-14,SAS,True,False,W,37,12.0,3.0,4.0,1.0,1.0,0.0,5.0,9.0,0.556,1.0,4.0,0.25,1.0,2.0,0.5,10.7,2.0
2022-02-16,SAC,True,False,W,40,12.0,6.0,6.0,2.0,1.0,4.0,4.0,11.0,0.364,0.0,2.0,0.0,4.0,4.0,1.0,9.8,4.0
2022-02-24,ATL,True,False,W,34,12.0,6.0,3.0,0.0,3.0,2.0,5.0,9.0,0.556,2.0,3.0,0.667,0.0,0.0,0.0,10.5,3.0
2022-02-26,MEM,True,False,L,22,0.0,2.0,3.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.9,-12.0
2022-02-28,MIA,False,False,L,36,18.0,4.0,5.0,2.0,1.0,3.0,8.0,14.0,0.571,2.0,5.0,0.4,0.0,0.0,0.0,14.2,-10.0
2022-03-03,ATL,False,False,L,36,15.0,0.0,4.0,1.0,1.0,1.0,7.0,10.0,0.7,1.0,1.0,1.0,0.0,0.0,0.0,13.5,-15.0
2022-03-04,MIL,True,True,L,35,8.0,5.0,7.0,1.0,0.0,3.0,4.0,7.0,0.571,0.0,2.0,0.0,0.0,0.0,0.0,8.3,-3.0
2022-03-07,PHI,False,False,L,31,11.0,3.0,4.0,1.0,0.0,2.0,5.0,12.0,0.417,0.0,2.0,0.0,1.0,2.0,0.5,6.1,-5.0
2022-03-09,DET,False,False,W,37,9.0,4.0,7.0,3.0,0.0,2.0,4.0,6.0,0.667,0.0,1.0,0.0,1.0,2.0,0.5,12.3,14.0
2022-03-12,CLE,True,False,W,36,17.0,2.0,3.0,2.0,2.0,2.0,7.0,10.0,0.7,3.0,4.0,0.75,0.0,0.0,0.0,14.9,3.0
2022-03-14,SAC,False,False,L,31,6.0,2.0,2.0,0.0,0.0,2.0,3.0,9.0,0.333,0.0,5.0,0.0,0.0,0.0,0.0,0.9,-14.0
2022-03-16,UTA,False,False,L,31,15.0,3.0,6.0,1.0,0.0,2.0,6.0,11.0,0.545,2.0,3.0,0.667,1.0,1.0,1.0,12.6,-13.0
2022-03-18,PHX,False,False,L,29,4.0,2.0,1.0,1.0,0.0,1.0,2.0,9.0,0.222,0.0,3.0,0.0,0.0,0.0,0.0,-0.6,-14.0
