date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-22,CHA,False,False,L,20,8.0,7.0,4.0,0.0,0.0,0.0,2.0,7.0,0.286,0.0,3.0,0.0,4.0,6.0,0.667,7.6,-6.0
2025-10-24,CLE,True,False,L,18,2.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,-11.0
2025-10-26,SAS,False,False,L,15,0.0,1.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.8,-8.0
2025-10-27,HOU,False,True,L,25,6.0,1.0,5.0,1.0,0.0,2.0,2.0,8.0,0.25,2.0,5.0,0.4,0.0,0.0,0.0,3.2,-9.0
2025-10-29,ATL,True,False,L,12,0.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-4.7,6.0
2025-11-03,MIN,True,False,L,4,5.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0
2025-11-11,TOR,True,False,L,2,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,5.0
2025-11-29,MIL,False,False,L,29,10.0,0.0,7.0,0.0,1.0,3.0,4.0,8.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,8.6,-3.0
2025-12-01,CHA,True,False,W,18,7.0,3.0,2.0,1.0,0.0,2.0,2.0,9.0,0.222,1.0,7.0,0.143,2.0,2.0,1.0,3.2,0.0
2025-12-03,CHI,False,False,W,15,6.0,0.0,2.0,2.0,1.0,3.0,2.0,3.0,0.667,1.0,2.0,0.5,1.0,2.0,0.5,5.0,5.0
2025-12-04,UTA,True,True,L,24,12.0,2.0,2.0,3.0,1.0,5.0,4.0,7.0,0.571,1.0,3.0,0.333,3.0,3.0,1.0,9.4,6.0
2025-12-06,NOP,True,False,W,20,7.0,1.0,4.0,0.0,0.0,1.0,3.0,8.0,0.375,1.0,4.0,0.25,0.0,0.0,0.0,4.7,-4.0
2026-01-25,LAC,False,False,L,17,6.0,0.0,0.0,1.0,0.0,4.0,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.7,-24.0
2026-01-27,PHX,False,False,L,19,3.0,1.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.4,-3.0
2026-01-29,DEN,False,False,L,18,0.0,2.0,3.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8,-8.0
2026-01-30,UTA,False,True,W,21,2.0,3.0,2.0,1.0,0.0,1.0,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,-0.3,14.0
2026-02-01,DET,False,False,L,19,4.0,1.0,4.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,4.0,6.0,0.667,4.4,-20.0
