date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-28,CHI,True,False,W,15,10.0,0.0,4.0,0.0,0.0,1.0,4.0,6.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,8.0,-18.0
2022-10-30,MIN,True,False,W,8,6.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,4.0,0.5,3.9,8.0
2023-01-13,GSW,True,False,L,7,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,3.0
2023-01-15,SAC,True,False,L,9,5.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,3.5,-1.0
2023-01-26,LAC,False,False,L,21,6.0,2.0,2.0,1.0,0.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,2.0,4.0,0.5,3.3,-20.0
2023-01-28,PHX,True,False,L,4,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-5.0
2023-01-30,WAS,True,False,L,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.1,-9.0
2023-02-01,SAC,True,False,L,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.4,-11.0
2023-02-03,PHI,True,False,L,18,9.0,0.0,2.0,0.0,0.0,2.0,4.0,7.0,0.571,1.0,1.0,1.0,0.0,0.0,0.0,3.5,-3.0
2023-02-06,CHI,False,False,L,22,5.0,5.0,1.0,1.0,0.0,2.0,2.0,6.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,2.4,-20.0
2023-02-08,TOR,False,False,L,14,7.0,0.0,4.0,1.0,0.0,2.0,3.0,7.0,0.429,1.0,2.0,0.5,0.0,0.0,0.0,5.1,0.0
2023-02-10,DET,False,False,L,24,3.0,3.0,2.0,0.0,0.0,4.0,1.0,5.0,0.2,1.0,2.0,0.5,0.0,0.0,0.0,-3.0,4.0
2023-02-11,ATL,False,True,L,6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8,1.0
2023-02-13,CLE,False,False,L,20,9.0,3.0,2.0,1.0,0.0,2.0,4.0,10.0,0.4,0.0,2.0,0.0,1.0,1.0,1.0,3.7,0.0
2023-02-15,CHA,False,False,L,16,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,-2.1,3.0
2023-02-23,DAL,False,False,L,21,9.0,3.0,2.0,1.0,0.0,3.0,3.0,8.0,0.375,2.0,2.0,1.0,1.0,2.0,0.5,2.9,1.0
2023-02-25,UTA,False,False,L,20,4.0,3.0,4.0,1.0,0.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,5.3,-3.0
2023-02-28,UTA,False,False,W,21,9.0,6.0,2.0,3.0,0.0,2.0,3.0,5.0,0.6,2.0,2.0,1.0,1.0,2.0,0.5,10.1,5.0
2023-03-02,IND,True,False,W,17,8.0,3.0,1.0,0.0,0.0,2.0,3.0,6.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,3.4,0.0
2023-03-04,HOU,True,False,L,23,2.0,2.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,-3.3,-2.0
2023-03-05,HOU,False,True,L,19,7.0,2.0,2.0,0.0,0.0,3.0,3.0,6.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.2,-15.0
2023-03-12,OKC,True,False,L,30,2.0,4.0,6.0,0.0,1.0,2.0,1.0,12.0,0.083,0.0,4.0,0.0,0.0,0.0,0.0,-2.7,-12.0
2023-03-14,ORL,True,False,W,23,8.0,2.0,7.0,0.0,0.0,2.0,3.0,8.0,0.375,2.0,5.0,0.4,0.0,0.0,0.0,6.3,1.0
2023-03-15,DAL,True,True,L,23,11.0,6.0,4.0,3.0,0.0,2.0,4.0,10.0,0.4,0.0,0.0,0.0,3.0,5.0,0.6,11.6,9.0
2023-03-17,MEM,True,False,L,21,4.0,2.0,5.0,1.0,2.0,1.0,1.0,4.0,0.25,0.0,1.0,0.0,2.0,4.0,0.5,5.5,1.0
2023-03-19,ATL,True,False,W,18,6.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,0.4,1.0,1.0,1.0,1.0,2.0,0.5,1.4,12.0
2023-03-21,NOP,False,False,L,19,2.0,0.0,3.0,3.0,0.0,3.0,1.0,7.0,0.143,0.0,1.0,0.0,0.0,0.0,0.0,-0.8,-23.0
2023-03-22,MIL,False,True,L,28,6.0,5.0,6.0,0.0,0.0,2.0,2.0,12.0,0.167,0.0,2.0,0.0,2.0,3.0,0.667,1.3,-8.0
2023-03-24,WAS,False,False,L,18,0.0,3.0,9.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-17.0
2023-03-26,BOS,False,False,L,6,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-11.0
2023-03-29,UTA,True,False,L,19,3.0,2.0,3.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,4.0,0.75,1.7,-18.0
2023-03-31,GSW,False,False,L,22,7.0,0.0,4.0,1.0,0.0,1.0,3.0,6.0,0.5,0.0,2.0,0.0,1.0,2.0,0.5,5.6,-19.0
2023-04-02,SAC,False,False,W,16,4.0,4.0,2.0,1.0,0.0,4.0,2.0,7.0,0.286,0.0,1.0,0.0,0.0,0.0,0.0,-0.9,-15.0
2023-04-04,PHX,False,False,L,25,0.0,2.0,2.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.0,-23.0
2023-04-06,POR,True,False,W,17,2.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-6.0
