date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-11-25,SAC,False,False,W,3,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,2.0
2024-11-29,LAL,False,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2024-12-03,UTA,True,False,W,8,2.0,2.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,0.4,2.0
2024-12-05,TOR,False,False,W,6,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.7,10.0
2024-12-10,DAL,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2024-12-29,MEM,True,False,W,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,-3.0
2025-01-02,LAC,True,False,W,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-2.0
2025-01-10,NYK,False,False,W,2,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.7,-3.0
2025-01-12,WAS,False,False,W,8,5.0,3.0,0.0,0.0,1.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,4.2,4.0
2025-01-14,PHI,False,False,W,3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.3,1.0
2025-01-16,CLE,True,False,W,17,11.0,4.0,0.0,0.0,1.0,0.0,4.0,8.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,8.5,0.0
2025-01-17,DAL,False,True,L,7,3.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.0,5.0
2025-01-19,BKN,True,False,W,18,8.0,5.0,2.0,1.0,1.0,0.0,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,9.2,7.0
2025-01-22,UTA,True,False,W,11,6.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,4.9,9.0
2025-01-23,DAL,True,True,L,4,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,6.0
2025-02-07,TOR,True,False,W,2,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-5.0
2025-02-08,MEM,False,True,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,0.0
2025-02-10,NOP,True,False,W,6,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.3,4.0
2025-02-21,UTA,False,False,W,3,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.7,1.0
2025-03-07,POR,True,False,W,14,2.0,3.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,1.8,-20.0
2025-03-19,PHI,True,False,W,23,16.0,6.0,2.0,2.0,2.0,1.0,6.0,10.0,0.6,3.0,7.0,0.429,1.0,3.0,0.333,17.0,1.0
2025-03-21,CHA,True,False,W,7,3.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.0,9.0
2025-03-25,SAC,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0
2025-03-27,MEM,True,False,W,2,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.0,1.0
2025-03-29,IND,True,False,W,13,4.0,3.0,0.0,1.0,2.0,0.0,1.0,5.0,0.2,0.0,3.0,0.0,2.0,2.0,1.0,4.2,2.0
2025-03-31,CHI,True,False,W,9,2.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,0.5,1.4,-5.0
2025-04-02,DET,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-04,HOU,False,False,L,2,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
2025-04-08,LAL,True,False,W,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.7,-1.0
2025-04-09,PHX,False,True,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2025-04-11,UTA,False,False,W,25,9.0,2.0,1.0,0.0,3.0,0.0,4.0,10.0,0.4,0.0,5.0,0.0,1.0,1.0,1.0,6.6,17.0
2025-04-13,NOP,False,False,W,39,26.0,10.0,2.0,0.0,3.0,2.0,10.0,19.0,0.526,2.0,8.0,0.25,4.0,4.0,1.0,22.4,8.0
2025-10-23,IND,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-10-25,ATL,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-1.0
2025-10-28,SAC,True,False,W,4,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,5.0
2025-10-30,WAS,True,False,W,4,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,-1.0
2025-11-02,NOP,True,False,W,20,11.0,5.0,1.0,0.0,0.0,2.0,5.0,8.0,0.625,1.0,4.0,0.25,0.0,0.0,0.0,7.6,17.0
2025-11-04,LAC,False,False,W,4,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.9,-3.0
2025-11-05,POR,False,True,L,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.6,-13.0
2025-11-12,LAL,True,False,W,17,0.0,5.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.7,-2.0
2025-11-15,CHA,False,False,W,17,7.0,2.0,0.0,0.0,2.0,1.0,3.0,5.0,0.6,1.0,3.0,0.333,0.0,0.0,0.0,5.3,-2.0
2025-11-17,NOP,False,False,W,11,7.0,4.0,2.0,0.0,2.0,0.0,2.0,5.0,0.4,1.0,3.0,0.333,2.0,4.0,0.5,8.7,-3.0
2025-11-19,SAC,True,False,W,5,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,-0.2,0.0
2025-11-21,UTA,False,False,W,9,7.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,0.75,0.0,1.0,0.0,1.0,1.0,1.0,6.8,3.0
2025-11-23,POR,True,False,W,9,8.0,1.0,2.0,0.0,1.0,0.0,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,8.8,-2.0
2025-12-02,GSW,False,False,W,3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.7,-1.0
2025-12-05,DAL,True,False,W,22,9.0,6.0,3.0,0.0,0.0,0.0,4.0,6.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,9.9,0.0
2025-12-07,UTA,False,False,W,24,13.0,6.0,0.0,0.0,1.0,1.0,5.0,9.0,0.556,3.0,6.0,0.5,0.0,2.0,0.0,9.0,1.0
2025-12-10,PHX,True,False,W,12,11.0,2.0,0.0,0.0,1.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10.8,11.0
2025-12-18,LAC,True,False,W,16,4.0,4.0,0.0,0.0,1.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.6,21.0
2025-12-22,MEM,True,False,W,25,11.0,3.0,2.0,0.0,0.0,2.0,4.0,7.0,0.571,3.0,6.0,0.5,0.0,0.0,0.0,8.0,-4.0
