date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-12-27,DAL,True,False,L,7,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,5.0,0.6,5.6,14.0
2021-12-29,UTA,True,False,L,5,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.9,6.0
2022-02-24,GSW,True,False,L,20,12.0,2.0,0.0,0.0,0.0,2.0,4.0,9.0,0.444,1.0,3.0,0.333,3.0,3.0,1.0,5.5,-26.0
2022-02-27,DEN,True,False,L,24,12.0,0.0,7.0,0.0,0.0,3.0,2.0,7.0,0.286,2.0,5.0,0.4,6.0,9.0,0.667,7.8,-12.0
2022-03-02,PHX,False,False,L,15,14.0,3.0,1.0,0.0,0.0,1.0,5.0,8.0,0.625,1.0,1.0,1.0,3.0,3.0,1.0,11.0,-1.0
2022-03-05,MIN,False,False,L,27,21.0,2.0,1.0,1.0,0.0,3.0,9.0,14.0,0.643,2.0,5.0,0.4,1.0,1.0,1.0,12.5,-16.0
2022-03-07,MIN,False,False,L,34,27.0,8.0,2.0,4.0,1.0,4.0,7.0,18.0,0.389,2.0,7.0,0.286,11.0,16.0,0.688,18.9,-25.0
2022-03-09,UTA,False,False,L,26,9.0,6.0,1.0,0.0,0.0,4.0,3.0,13.0,0.231,0.0,3.0,0.0,3.0,5.0,0.6,-2.4,-26.0
2022-03-12,WAS,True,False,W,40,10.0,5.0,4.0,1.0,1.0,1.0,4.0,15.0,0.267,1.0,5.0,0.2,1.0,2.0,0.5,5.7,8.0
2022-03-14,ATL,False,False,L,36,20.0,3.0,6.0,1.0,1.0,5.0,8.0,17.0,0.471,2.0,6.0,0.333,2.0,5.0,0.4,10.7,-9.0
2022-03-16,NYK,False,False,L,29,14.0,2.0,2.0,0.0,2.0,2.0,6.0,15.0,0.4,2.0,6.0,0.333,0.0,2.0,0.0,6.1,-7.0
2022-03-18,BKN,False,False,L,37,24.0,6.0,5.0,3.0,1.0,2.0,10.0,19.0,0.526,3.0,7.0,0.429,1.0,3.0,0.333,21.3,13.0
2022-03-20,IND,False,False,L,25,10.0,0.0,2.0,0.0,0.0,2.0,2.0,10.0,0.2,2.0,9.0,0.222,4.0,7.0,0.571,0.8,-31.0
2022-03-21,DET,False,True,W,33,23.0,6.0,3.0,3.0,0.0,2.0,6.0,17.0,0.353,0.0,3.0,0.0,11.0,11.0,1.0,18.4,8.0
2022-03-23,SAS,True,False,L,25,7.0,3.0,3.0,1.0,0.0,4.0,3.0,13.0,0.231,0.0,5.0,0.0,1.0,1.0,1.0,-1.7,-32.0
2022-03-25,HOU,True,False,L,24,2.0,2.0,2.0,0.0,1.0,2.0,1.0,10.0,0.1,0.0,5.0,0.0,0.0,0.0,0.0,-3.9,-30.0
2022-03-26,HOU,True,True,L,34,15.0,4.0,8.0,1.0,1.0,1.0,6.0,15.0,0.4,1.0,6.0,0.167,2.0,2.0,1.0,13.6,-12.0
2022-03-28,OKC,True,False,L,41,25.0,4.0,12.0,4.0,0.0,3.0,8.0,20.0,0.4,5.0,8.0,0.625,4.0,6.0,0.667,22.8,0.0
2022-03-30,NOP,True,False,L,27,10.0,2.0,10.0,1.0,0.0,6.0,4.0,10.0,0.4,2.0,6.0,0.333,0.0,0.0,0.0,6.8,-5.0
2022-04-01,SAS,False,False,L,29,17.0,4.0,3.0,1.0,0.0,1.0,4.0,10.0,0.4,3.0,4.0,0.75,6.0,7.0,0.857,14.1,-6.0
2022-04-03,SAS,False,False,L,30,5.0,3.0,7.0,1.0,1.0,3.0,2.0,9.0,0.222,1.0,5.0,0.2,0.0,0.0,0.0,4.4,-16.0
2022-04-07,NOP,False,False,L,17,5.0,1.0,4.0,0.0,0.0,4.0,1.0,4.0,0.25,0.0,1.0,0.0,3.0,4.0,0.75,0.9,-15.0
2022-04-08,DAL,False,True,L,23,9.0,2.0,5.0,0.0,0.0,2.0,4.0,10.0,0.4,0.0,2.0,0.0,1.0,2.0,0.5,4.5,-21.0
2022-04-10,UTA,True,False,L,32,10.0,4.0,4.0,2.0,1.0,1.0,4.0,16.0,0.25,1.0,4.0,0.25,1.0,1.0,1.0,4.5,-31.0
2024-01-01,UTA,False,False,L,7,4.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,2.7,-13.0
2024-01-03,POR,True,False,W,6,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,-9.0
2024-01-05,POR,True,False,W,10,7.0,0.0,2.0,0.0,1.0,1.0,2.0,3.0,0.667,1.0,1.0,1.0,2.0,3.0,0.667,6.4,3.0
2024-01-09,MEM,True,False,L,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
2024-01-17,LAL,False,False,L,5,5.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,5.4,6.0
2024-01-24,PHX,True,False,L,5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.6,0.0
2024-01-31,MIN,False,False,L,8,5.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,3.0,3.0,1.0,4.7,-10.0
2024-02-05,PHI,False,False,W,3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-02-08,NYK,False,False,W,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.6,-2.0
2024-02-10,OKC,True,False,W,6,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-12,WAS,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-14,SAS,True,False,W,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-2.0
2024-04-04,ATL,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,2.0
2024-04-09,CHA,False,False,W,4,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.0
2024-04-10,MIA,False,True,W,2,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,4.0
2024-04-12,DET,True,False,L,18,4.0,1.0,0.0,0.0,0.0,1.0,2.0,8.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,-1.9,-9.0
