date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-10-22,MIN,True,False,W,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-5.0
2024-10-30,CLE,False,False,L,5,2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,3.4,-2.0
2024-11-01,TOR,False,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2024-11-06,MEM,False,False,L,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.2,3.0
2024-11-08,PHI,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2024-11-10,TOR,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0
2024-12-08,POR,True,False,W,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-9.0
2025-01-03,ATL,True,False,W,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2025-01-07,DAL,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2025-01-19,LAC,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-01-21,WAS,True,False,W,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.0
2025-01-23,BOS,True,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2.0
2025-01-28,PHI,False,False,L,15,0.0,3.0,1.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-4.6,-8.0
2025-01-30,WAS,False,False,W,12,5.0,2.0,2.0,1.0,0.0,0.0,1.0,6.0,0.167,0.0,2.0,0.0,3.0,3.0,1.0,3.4,3.0
2025-02-01,NYK,False,False,W,2,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
2025-02-04,LAC,False,False,W,6,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,2.2,-1.0
2025-02-12,UTA,False,False,L,8,9.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,2.0,3.0,0.667,1.0,2.0,0.5,7.7,10.0
2025-03-04,NOP,True,False,W,4,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,-0.4,-2.0
2025-03-14,DEN,False,False,L,16,5.0,2.0,0.0,1.0,0.0,0.0,1.0,5.0,0.2,1.0,5.0,0.2,2.0,2.0,1.0,4.3,8.0
2025-03-17,SAS,True,False,W,3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.0,-2.0
2025-03-19,DEN,True,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2025-03-20,MIL,True,True,L,30,17.0,3.0,5.0,0.0,1.0,4.0,7.0,10.0,0.7,2.0,4.0,0.5,1.0,1.0,1.0,12.3,-36.0
2025-03-22,CHI,True,False,L,7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,-0.5,-8.0
2025-04-06,OKC,False,False,W,2,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0
2025-04-09,DAL,False,False,W,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2025-04-11,HOU,True,False,W,4,3.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,1.6,6.0
2025-04-13,POR,False,False,L,38,4.0,3.0,6.0,4.0,0.0,3.0,2.0,10.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,3.9,-23.0
2025-10-24,MIN,True,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-5.0
2025-10-27,POR,True,False,L,20,0.0,3.0,3.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-2.0
2025-10-29,MIN,False,False,W,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,5.0
2025-11-02,MIA,True,False,W,18,2.0,0.0,2.0,3.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,2.8,1.0
2025-11-03,POR,False,True,W,19,5.0,1.0,6.0,1.0,0.0,0.0,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,1.0,8.1,0.0
2025-11-05,SAS,True,False,W,5,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-1.0
2025-11-08,ATL,False,False,L,18,9.0,2.0,2.0,1.0,0.0,1.0,4.0,6.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,8.4,4.0
2025-11-12,OKC,False,False,L,8,0.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.1,6.0
2025-11-15,MIL,False,False,W,10,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,-6.0
2025-11-18,UTA,True,False,W,4,3.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7,-7.0
2025-11-25,LAC,True,False,W,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2025-12-01,PHX,True,False,L,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,5.0
2025-12-05,BOS,False,False,L,7,5.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,3.4,2.0
2025-12-10,SAS,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-12-23,PHX,False,False,L,10,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.4,5.0
2025-12-25,HOU,True,False,L,3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.7,-1.0
2025-12-28,SAC,True,False,W,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
2025-12-30,DET,True,False,L,4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,4.0
2026-01-07,SAS,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,SAC,False,False,L,2,6.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,5.4,4.0
2026-01-13,ATL,True,True,W,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,CHA,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-2.0
2026-01-17,POR,False,False,L,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,0.0
2026-01-18,TOR,True,True,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2026-01-28,CLE,False,False,L,8,8.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,9.4,-1.0
2026-01-30,WAS,False,False,W,5,4.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,2.0,3.0,0.667,2.6,4.0
2026-02-03,BKN,False,False,W,5,4.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.4,-9.0
2026-02-10,SAS,True,False,L,25,12.0,3.0,6.0,0.0,1.0,2.0,5.0,10.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,9.6,-6.0
2026-02-12,DAL,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,0.0
2026-03-01,SAC,True,False,W,6,3.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,2.7,-5.0
2026-03-06,IND,True,False,W,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0
2026-03-10,MIN,True,False,W,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-2.0
2026-03-25,IND,False,False,W,13,4.0,1.0,1.0,2.0,1.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,4.5,4.0
2026-03-27,BKN,True,False,W,4,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,-5.0
2026-03-30,WAS,True,False,W,26,6.0,1.0,1.0,1.0,0.0,2.0,2.0,10.0,0.2,0.0,5.0,0.0,2.0,2.0,1.0,-1.0,4.0
2026-03-31,CLE,True,True,W,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,5.0
2026-04-02,OKC,False,False,L,18,10.0,0.0,1.0,0.0,1.0,3.0,4.0,8.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,4.4,-8.0
2026-04-05,DAL,False,False,L,9,5.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,3.2,-6.0
2026-04-07,OKC,True,False,L,23,4.0,2.0,2.0,1.0,0.0,1.0,2.0,9.0,0.222,0.0,5.0,0.0,0.0,0.0,0.0,0.9,-25.0
2026-04-09,GSW,False,False,W,21,10.0,1.0,3.0,2.0,0.0,3.0,4.0,7.0,0.571,2.0,4.0,0.5,0.0,0.0,0.0,7.7,-5.0
2026-04-10,PHX,True,True,W,13,3.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.6,5.0
2026-04-12,UTA,True,False,W,19,11.0,1.0,4.0,1.0,0.0,0.0,4.0,7.0,0.571,3.0,4.0,0.75,0.0,0.0,0.0,11.4,13.0
