date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2008-10-29,WAS,False,False,W,25,8.0,8.0,1.0,1.0,2.0,0.0,3.0,8.0,0.375,0.0,0.0,0.0,2.0,3.0,0.667,7.9,12.0
2008-11-01,GSW,True,False,L,19,10.0,8.0,1.0,2.0,2.0,3.0,4.0,7.0,0.571,0.0,0.0,0.0,2.0,2.0,1.0,8.6,-8.0
2008-11-04,PHX,True,False,L,19,2.0,6.0,0.0,1.0,2.0,4.0,1.0,6.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,-2.4,-12.0
2008-11-07,DET,True,False,W,13,2.0,4.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,-0.2,-15.0
2008-11-08,IND,False,True,L,15,8.0,1.0,0.0,2.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,2.0,3.0,0.667,6.7,-3.0
2008-11-10,MIA,False,False,L,14,0.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2,-3.0
2008-11-12,IND,True,False,L,20,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.3,-2.0
2008-11-14,ATL,True,False,W,34,25.0,9.0,2.0,2.0,4.0,0.0,11.0,17.0,0.647,0.0,0.0,0.0,3.0,4.0,0.75,27.6,2.0
2008-11-15,ATL,False,True,W,28,5.0,7.0,1.0,0.0,3.0,2.0,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,4.6,6.0
2008-11-18,CLE,True,False,L,33,15.0,13.0,0.0,1.0,0.0,1.0,6.0,13.0,0.462,0.0,0.0,0.0,3.0,3.0,1.0,13.0,-17.0
2008-11-21,TOR,False,False,W,30,14.0,6.0,0.0,0.0,1.0,0.0,7.0,11.0,0.636,0.0,0.0,0.0,0.0,1.0,0.0,10.4,18.0
2008-11-22,LAC,True,True,W,35,14.0,10.0,1.0,0.0,0.0,2.0,6.0,10.0,0.6,0.0,0.0,0.0,2.0,3.0,0.667,10.3,22.0
2008-11-25,LAL,False,False,L,39,17.0,10.0,2.0,1.0,3.0,1.0,6.0,15.0,0.4,0.0,0.0,0.0,5.0,6.0,0.833,15.8,-20.0
2008-11-26,SAC,False,True,W,42,20.0,8.0,2.0,0.0,3.0,2.0,8.0,14.0,0.571,0.0,0.0,0.0,4.0,5.0,0.8,16.5,1.0
2008-11-29,UTA,False,False,W,28,2.0,8.0,0.0,0.0,4.0,2.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
2008-11-30,PHX,False,True,W,30,12.0,7.0,0.0,1.0,1.0,3.0,5.0,8.0,0.625,0.0,0.0,0.0,2.0,2.0,1.0,9.6,5.0
2008-12-02,WAS,True,False,L,35,10.0,9.0,1.0,0.0,3.0,2.0,3.0,9.0,0.333,0.0,0.0,0.0,4.0,4.0,1.0,9.2,-6.0
2008-12-05,MIN,True,False,W,25,11.0,10.0,2.0,0.0,0.0,0.0,3.0,9.0,0.333,0.0,0.0,0.0,5.0,6.0,0.833,11.1,14.0
2008-12-06,PHI,False,True,W,26,6.0,11.0,0.0,0.0,3.0,2.0,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,5.7,17.0
2008-12-10,NYK,True,False,L,26,8.0,6.0,1.0,0.0,4.0,5.0,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,5.4,-4.0
2008-12-12,TOR,True,False,L,27,6.0,8.0,1.0,1.0,2.0,2.0,3.0,8.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,4.3,-26.0
