date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-21,HOU,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2025-10-23,IND,False,False,W,14,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.1,-6.0
2025-10-25,ATL,False,False,W,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-5.0
2025-10-27,DAL,False,False,W,6,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,5.0
2025-10-28,SAC,True,True,W,7,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-9.0
2025-11-02,NOP,True,False,W,7,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,-1.0
2025-11-05,POR,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2025-11-07,SAC,False,False,W,4,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1.0
2025-11-09,MEM,False,False,W,7,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.9,10.0
2025-11-11,GSW,True,False,W,16,4.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,4.0,0.5,4.5,-15.0
2025-11-12,LAL,True,True,W,8,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,-6.0
2025-11-15,CHA,False,False,W,12,0.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,-3.0
2025-11-17,NOP,False,False,W,7,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,-5.0
2025-11-19,SAC,True,False,W,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2025-11-23,POR,True,False,W,8,5.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,4.7,-2.0
2025-12-05,DAL,True,False,W,8,5.0,1.0,2.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,5.7,-3.0
2025-12-07,UTA,False,False,W,12,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.9,-18.0
2025-12-22,MEM,True,False,W,16,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,9.0
2025-12-23,SAS,False,True,L,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2025-12-25,SAS,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2026-01-09,MEM,False,False,W,7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-5.0
2026-01-21,MIL,False,False,W,13,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,11.0
2026-01-23,IND,True,False,L,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-6.0
2026-01-25,TOR,True,False,L,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-7.0
2026-01-27,NOP,True,False,W,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,5.0
2026-01-29,MIN,False,False,L,4,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,8.0
2026-02-01,DEN,False,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-8.0
2026-02-04,SAS,False,False,L,20,14.0,3.0,5.0,0.0,0.0,2.0,5.0,15.0,0.333,4.0,9.0,0.444,0.0,0.0,0.0,6.7,-11.0
2026-02-12,MIL,True,False,L,7,0.0,5.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.2,2.0
