date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2018-10-17,BKN,True,False,W,19,0.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.7,6.0
2018-10-25,CLE,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.2,4.0
2018-10-27,BOS,True,False,L,12,6.0,2.0,1.0,2.0,0.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,2.0,2.0,1.0,4.8,5.0
2018-10-30,BOS,False,False,L,13,10.0,2.0,0.0,1.0,1.0,0.0,4.0,7.0,0.571,0.0,2.0,0.0,2.0,2.0,1.0,8.2,1.0
2018-10-31,BKN,False,True,L,29,9.0,1.0,0.0,0.0,0.0,1.0,3.0,9.0,0.333,1.0,4.0,0.25,2.0,3.0,0.667,1.2,3.0
2018-11-03,PHI,False,False,L,12,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,3.0
2018-11-05,MIA,True,False,L,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-5.0
2018-11-09,ATL,False,False,W,5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,-11.0
2018-11-23,HOU,True,False,W,25,7.0,2.0,1.0,3.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,3.0,4.0,0.75,9.2,18.0
2018-11-25,PHX,True,False,W,16,2.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.6,4.0
2018-11-27,NYK,True,False,W,18,2.0,5.0,1.0,0.0,1.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.4,7.0
2018-11-30,CHI,True,False,W,23,4.0,3.0,2.0,0.0,1.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,4.6,-1.0
2018-12-01,GSW,True,True,W,15,2.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,4.0
2018-12-03,OKC,True,False,L,20,9.0,3.0,2.0,3.0,0.0,1.0,2.0,4.0,0.5,0.0,1.0,0.0,5.0,6.0,0.833,10.5,-8.0
2018-12-05,MIL,False,False,L,26,3.0,5.0,3.0,0.0,0.0,2.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.4,-1.0
2018-12-07,PHI,True,False,L,32,7.0,5.0,3.0,0.0,0.0,2.0,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,6.3,-21.0
2018-12-09,NOP,True,False,L,19,7.0,1.0,0.0,0.0,2.0,0.0,3.0,7.0,0.429,1.0,2.0,0.5,0.0,0.0,0.0,4.2,-11.0
2018-12-10,PHI,False,True,L,25,6.0,1.0,2.0,0.0,1.0,0.0,3.0,7.0,0.429,0.0,2.0,0.0,0.0,0.0,0.0,3.9,-21.0
2018-12-12,CHA,False,False,L,31,8.0,6.0,2.0,1.0,2.0,1.0,4.0,5.0,0.8,0.0,1.0,0.0,0.0,2.0,0.0,8.7,-5.0
2018-12-15,BOS,True,False,W,16,3.0,2.0,0.0,0.0,1.0,1.0,1.0,5.0,0.2,1.0,2.0,0.5,0.0,0.0,0.0,-0.6,8.0
2018-12-17,MIL,True,False,L,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-3.0
2018-12-19,MIN,False,False,W,17,4.0,5.0,1.0,0.0,0.0,2.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.6,-15.0
2018-12-21,CHA,False,False,L,15,7.0,1.0,3.0,0.0,3.0,0.0,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,7.2,-3.0
2018-12-23,ATL,True,False,L,16,10.0,3.0,1.0,0.0,1.0,0.0,4.0,8.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,7.1,-6.0
2018-12-26,WAS,True,False,W,22,8.0,4.0,0.0,1.0,0.0,0.0,3.0,7.0,0.429,1.0,3.0,0.333,1.0,2.0,0.5,5.7,25.0
2018-12-28,IND,False,False,L,21,6.0,2.0,2.0,0.0,1.0,0.0,3.0,12.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,1.9,-23.0
2018-12-30,ORL,False,False,L,30,10.0,2.0,1.0,1.0,0.0,3.0,4.0,8.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,4.5,-10.0
2019-01-01,MIL,False,False,L,29,0.0,8.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8,-15.0
2019-01-02,MEM,False,True,W,20,3.0,5.0,2.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,2.7,13.0
2019-01-05,UTA,True,False,L,35,12.0,3.0,7.0,0.0,0.0,4.0,3.0,7.0,0.429,0.0,1.0,0.0,6.0,6.0,1.0,8.9,7.0
2019-01-07,SAS,True,False,L,34,4.0,3.0,2.0,0.0,0.0,1.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.4,6.0
2019-01-09,LAL,False,False,L,24,8.0,1.0,2.0,0.0,0.0,1.0,4.0,7.0,0.571,0.0,2.0,0.0,0.0,0.0,0.0,4.6,-2.0
2019-01-10,SAC,False,True,L,21,15.0,1.0,2.0,3.0,1.0,2.0,6.0,11.0,0.545,1.0,3.0,0.333,2.0,2.0,1.0,11.9,1.0
2019-01-12,LAC,False,False,W,27,2.0,6.0,1.0,3.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.5,3.0
2019-01-14,UTA,False,False,L,14,5.0,3.0,1.0,0.0,0.0,1.0,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,1.0,3.2,-7.0
2019-01-16,ORL,True,False,W,22,8.0,3.0,1.0,0.0,1.0,0.0,3.0,4.0,0.75,2.0,2.0,1.0,0.0,0.0,0.0,7.5,11.0
2019-01-18,MIA,True,False,W,15,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-1.0
2019-01-19,SAC,True,True,L,29,6.0,10.0,4.0,0.0,0.0,1.0,2.0,5.0,0.4,1.0,2.0,0.5,1.0,2.0,0.5,6.5,-6.0
2019-01-21,WAS,False,False,L,21,4.0,5.0,4.0,1.0,1.0,2.0,2.0,10.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,1.0,-9.0
2019-01-23,NOP,False,False,W,22,4.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,1.0,1.0,1.0,2.0,0.5,3.0,-1.0
2019-01-25,DAL,False,False,L,18,7.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.5,11.0
2019-01-29,MIL,True,False,L,13,4.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,2.4,-23.0
2019-01-31,DAL,True,False,W,20,0.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3,4.0
2019-02-02,LAC,True,False,L,22,0.0,1.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,-5.2,5.0
2019-02-04,DEN,True,False,W,13,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.8,-1.0
