date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-19,SAS,False,False,W,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-7.0
2022-10-23,ATL,False,False,W,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-5.0
2022-10-26,NYK,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2022-10-28,ORL,False,False,L,5,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0
2022-11-04,MEM,False,False,L,17,12.0,1.0,0.0,1.0,0.0,1.0,3.0,5.0,0.6,1.0,2.0,0.5,5.0,5.0,1.0,9.6,9.0
2022-11-28,BOS,False,False,L,24,10.0,2.0,6.0,0.0,1.0,1.0,3.0,7.0,0.429,2.0,4.0,0.5,2.0,2.0,1.0,10.4,6.0
2022-12-02,WAS,True,False,W,20,4.0,2.0,1.0,0.0,1.0,1.0,1.0,4.0,0.25,1.0,1.0,1.0,1.0,2.0,0.5,2.6,6.0
2022-12-03,MIL,True,True,L,18,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.9,-9.0
2022-12-05,LAC,True,False,L,17,6.0,1.0,0.0,1.0,1.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.9,-19.0
2022-12-07,BKN,False,False,L,20,3.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,2.3,-6.0
2022-12-09,NYK,True,False,L,30,10.0,5.0,1.0,0.0,0.0,1.0,3.0,9.0,0.333,1.0,3.0,0.333,3.0,3.0,1.0,5.7,-21.0
