date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-10-24,BOS,True,False,L,26,3.0,3.0,2.0,0.0,2.0,2.0,1.0,6.0,0.167,0.0,2.0,0.0,1.0,2.0,0.5,-0.7,-23.0
2024-10-26,CLE,True,False,L,25,10.0,2.0,4.0,0.0,0.0,2.0,2.0,8.0,0.25,2.0,4.0,0.5,4.0,4.0,1.0,4.6,-15.0
2024-10-28,ATL,False,False,W,21,13.0,3.0,2.0,1.0,0.0,1.0,4.0,5.0,0.8,3.0,4.0,0.75,2.0,2.0,1.0,12.2,-3.0
2024-10-30,ATL,True,False,W,33,16.0,6.0,6.0,0.0,0.0,2.0,5.0,8.0,0.625,1.0,2.0,0.5,5.0,5.0,1.0,15.2,3.0
2024-11-02,MIA,True,False,L,37,4.0,4.0,8.0,4.0,0.0,0.0,2.0,9.0,0.222,0.0,5.0,0.0,0.0,0.0,0.0,8.1,-12.0
2024-11-04,GSW,True,False,L,33,16.0,8.0,7.0,0.0,0.0,1.0,7.0,12.0,0.583,1.0,3.0,0.333,1.0,1.0,1.0,14.7,-15.0
2024-11-08,MEM,False,False,L,33,10.0,10.0,8.0,4.0,0.0,4.0,4.0,11.0,0.364,1.0,5.0,0.2,1.0,2.0,0.5,11.3,-16.0
2024-11-10,ORL,False,False,L,31,4.0,2.0,3.0,0.0,0.0,1.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,2.2,-22.0
2024-11-11,HOU,False,True,L,31,10.0,2.0,6.0,4.0,2.0,1.0,3.0,6.0,0.5,2.0,2.0,1.0,2.0,2.0,1.0,15.4,-12.0
2024-11-13,SAS,False,False,L,30,13.0,5.0,5.0,0.0,0.0,6.0,5.0,11.0,0.455,3.0,8.0,0.375,0.0,0.0,0.0,4.7,-20.0
2024-11-15,ATL,False,False,L,37,7.0,5.0,9.0,1.0,0.0,0.0,3.0,8.0,0.375,1.0,4.0,0.25,0.0,2.0,0.0,9.4,-8.0
2024-11-17,DET,True,False,L,25,11.0,3.0,3.0,2.0,0.0,2.0,4.0,7.0,0.571,3.0,6.0,0.5,0.0,0.0,0.0,10.3,-19.0
2024-11-18,NYK,False,True,L,32,18.0,4.0,2.0,0.0,0.0,2.0,7.0,16.0,0.438,4.0,8.0,0.5,0.0,0.0,0.0,9.0,-22.0
2024-11-22,BOS,True,False,L,22,2.0,1.0,2.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,-1.1,-2.0
2024-11-24,IND,False,False,L,22,5.0,4.0,2.0,2.0,1.0,3.0,2.0,7.0,0.286,1.0,5.0,0.2,0.0,0.0,0.0,2.8,-5.0
2024-11-26,CHI,True,False,L,25,10.0,3.0,4.0,2.0,0.0,3.0,4.0,9.0,0.444,2.0,4.0,0.5,0.0,0.0,0.0,6.8,-8.0
2024-11-27,LAC,True,True,L,19,3.0,2.0,4.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,3.0,0.0,1.0,2.0,0.5,1.0,-18.0
2024-11-30,MIL,False,False,L,16,3.0,3.0,2.0,1.0,0.0,1.0,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,1.4,-3.0
2024-12-03,CLE,False,False,L,36,13.0,7.0,2.0,0.0,0.0,5.0,5.0,12.0,0.417,2.0,6.0,0.333,1.0,1.0,1.0,3.9,-20.0
2024-12-05,DAL,True,False,L,28,15.0,2.0,1.0,0.0,0.0,1.0,6.0,13.0,0.462,3.0,9.0,0.333,0.0,0.0,0.0,6.6,-26.0
2024-12-07,DEN,True,False,W,34,10.0,4.0,6.0,0.0,0.0,0.0,4.0,13.0,0.308,2.0,8.0,0.25,0.0,0.0,0.0,7.1,-3.0
2024-12-08,MEM,True,True,L,33,7.0,5.0,2.0,1.0,0.0,3.0,3.0,12.0,0.25,1.0,7.0,0.143,0.0,0.0,0.0,-0.5,-21.0
2024-12-13,CLE,False,False,L,28,2.0,7.0,3.0,0.0,1.0,1.0,1.0,6.0,0.167,0.0,4.0,0.0,0.0,0.0,0.0,0.5,-20.0
2024-12-15,BOS,True,False,L,40,11.0,10.0,2.0,1.0,0.0,3.0,4.0,9.0,0.444,3.0,5.0,0.6,0.0,0.0,0.0,8.7,-15.0
2024-12-19,CHA,True,False,W,34,2.0,9.0,4.0,0.0,0.0,2.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,2.3,3.0
2024-12-21,MIL,False,False,L,32,7.0,2.0,1.0,0.0,0.0,1.0,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.9,-4.0
2024-12-23,OKC,False,False,L,29,14.0,2.0,3.0,0.0,0.0,4.0,4.0,11.0,0.364,4.0,8.0,0.5,2.0,2.0,1.0,5.4,-6.0
2024-12-26,CHA,True,False,W,28,7.0,1.0,3.0,0.0,0.0,1.0,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.8,-7.0
2024-12-28,NYK,True,False,L,43,17.0,5.0,5.0,0.0,0.0,1.0,8.0,13.0,0.615,1.0,4.0,0.25,0.0,0.0,0.0,14.3,3.0
2024-12-30,NYK,True,False,L,28,6.0,5.0,5.0,1.0,0.0,0.0,2.0,6.0,0.333,2.0,5.0,0.4,0.0,0.0,0.0,7.8,0.0
2025-01-01,CHI,True,False,W,31,11.0,4.0,6.0,1.0,1.0,0.0,4.0,5.0,0.8,3.0,3.0,1.0,0.0,0.0,0.0,15.8,12.0
2025-01-03,NOP,False,False,L,36,8.0,3.0,6.0,0.0,0.0,2.0,4.0,8.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,6.7,-27.0
2025-01-05,NOP,True,False,L,34,16.0,7.0,4.0,1.0,0.0,1.0,6.0,9.0,0.667,4.0,7.0,0.571,0.0,0.0,0.0,17.0,1.0
2025-01-07,HOU,True,False,L,34,12.0,4.0,5.0,0.0,0.0,0.0,4.0,8.0,0.5,4.0,6.0,0.667,0.0,1.0,0.0,11.9,-15.0
2025-01-08,PHI,False,True,L,31,8.0,2.0,5.0,0.0,0.0,1.0,4.0,10.0,0.4,0.0,4.0,0.0,0.0,0.0,0.0,5.7,-18.0
2025-01-10,CHI,False,False,L,22,2.0,1.0,3.0,1.0,0.0,0.0,1.0,6.0,0.167,0.0,5.0,0.0,0.0,0.0,0.0,1.6,-20.0
2025-01-12,OKC,True,False,L,34,5.0,7.0,7.0,0.0,0.0,1.0,2.0,10.0,0.2,1.0,6.0,0.167,0.0,0.0,0.0,3.2,-41.0
2025-01-13,MIN,True,True,L,34,8.0,5.0,2.0,1.0,0.0,0.0,2.0,9.0,0.222,2.0,6.0,0.333,2.0,2.0,1.0,6.0,-17.0
2025-01-16,PHX,True,False,L,26,6.0,4.0,3.0,1.0,1.0,0.0,2.0,7.0,0.286,1.0,5.0,0.2,1.0,1.0,1.0,6.9,-14.0
2025-01-18,GSW,False,False,L,30,17.0,2.0,3.0,1.0,0.0,2.0,5.0,8.0,0.625,4.0,6.0,0.667,3.0,5.0,0.6,12.7,-14.0
2025-01-19,SAC,False,True,L,27,6.0,6.0,3.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,2.0,0.0,2.0,2.0,1.0,7.2,-13.0
2025-01-21,LAL,False,False,L,29,3.0,4.0,2.0,2.0,0.0,2.0,1.0,8.0,0.125,1.0,4.0,0.25,0.0,0.0,0.0,-0.4,-14.0
2025-01-23,LAC,False,False,L,31,12.0,6.0,5.0,2.0,0.0,2.0,4.0,13.0,0.308,2.0,8.0,0.25,2.0,2.0,1.0,9.4,-20.0
2025-01-25,PHX,False,False,L,26,11.0,1.0,2.0,0.0,0.0,0.0,4.0,9.0,0.444,3.0,8.0,0.375,0.0,0.0,0.0,7.6,-7.0
2025-01-27,DAL,False,False,L,25,7.0,1.0,1.0,0.0,0.0,1.0,2.0,6.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,4.0,-7.0
2025-01-29,TOR,True,False,L,23,3.0,2.0,1.0,0.0,0.0,2.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,0.3,-10.0
2025-01-30,LAL,True,True,L,22,2.0,1.0,6.0,0.0,0.0,1.0,1.0,8.0,0.125,0.0,5.0,0.0,0.0,0.0,0.0,-0.5,-25.0
2025-02-01,MIN,False,False,W,14,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
2025-02-03,CHA,False,False,W,12,4.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,2.0,-2.0
2025-02-05,BKN,False,False,W,35,16.0,4.0,10.0,1.0,0.0,1.0,5.0,8.0,0.625,4.0,6.0,0.667,2.0,2.0,1.0,20.2,15.0
