date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2014-01-08,ORL,True,False,W,14,4.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,1.9,3.0
2014-01-11,BOS,True,False,W,14,10.0,1.0,1.0,0.0,0.0,0.0,4.0,6.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,8.0,0.0
2014-01-15,CLE,True,False,W,12,2.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,-1.5,2.0
2014-01-17,SAS,False,False,W,11,4.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.5,-7.0
2014-01-18,DAL,False,True,W,17,9.0,1.0,1.0,0.0,0.0,0.0,3.0,7.0,0.429,1.0,2.0,0.5,2.0,2.0,1.0,5.5,-10.0
2014-01-20,HOU,False,False,L,15,7.0,1.0,0.0,0.0,1.0,0.0,3.0,7.0,0.429,1.0,2.0,0.5,0.0,0.0,0.0,3.5,-2.0
2014-01-21,OKC,False,True,L,13,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,3.3,-6.0
2014-01-23,DEN,True,False,W,11,7.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,0.333,2.0,4.0,0.5,1.0,2.0,0.5,3.1,3.0
2014-01-25,MIN,True,False,W,16,6.0,2.0,2.0,2.0,1.0,0.0,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,6.9,19.0
2014-01-26,GSW,False,True,L,21,6.0,2.0,1.0,0.0,0.0,1.0,2.0,7.0,0.286,1.0,4.0,0.25,1.0,2.0,0.5,0.6,1.0
2014-01-28,MEM,True,False,L,11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-5.0,-13.0
