date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-27,LAL,False,False,W,11,5.0,4.0,1.0,0.0,0.0,0.0,2.0,10.0,0.2,1.0,5.0,0.2,0.0,0.0,0.0,0.7,5.0
2025-10-29,UTA,False,False,W,8,5.0,1.0,4.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,6.1,-5.0
2025-11-03,LAL,True,False,L,7,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,2.0
2025-11-14,HOU,False,False,L,5,5.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,2.6,3.0
2025-11-16,DAL,False,False,L,14,2.0,2.0,2.0,1.0,0.0,0.0,1.0,6.0,0.167,0.0,4.0,0.0,0.0,0.0,0.0,0.8,-1.0
2025-11-18,PHX,True,False,L,32,17.0,7.0,3.0,1.0,0.0,3.0,7.0,14.0,0.5,3.0,8.0,0.375,0.0,0.0,0.0,12.2,8.0
2025-11-19,CHI,True,True,L,18,5.0,3.0,2.0,1.0,0.0,0.0,1.0,12.0,0.083,0.0,7.0,0.0,3.0,4.0,0.75,-0.1,-20.0
2025-11-21,GSW,False,False,W,38,26.0,7.0,5.0,1.0,0.0,1.0,9.0,20.0,0.45,6.0,14.0,0.429,2.0,2.0,1.0,21.2,4.0
2025-11-23,OKC,False,False,L,26,8.0,2.0,2.0,0.0,0.0,2.0,3.0,13.0,0.231,1.0,8.0,0.125,1.0,2.0,0.5,-0.3,-27.0
2025-11-24,MIL,False,True,W,26,13.0,5.0,4.0,0.0,0.0,2.0,5.0,13.0,0.385,3.0,8.0,0.375,0.0,0.0,0.0,7.0,5.0
2025-11-26,SAS,True,False,L,12,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,-3.0,-13.0
2025-11-30,OKC,True,False,L,19,12.0,0.0,1.0,2.0,0.0,0.0,4.0,12.0,0.333,2.0,8.0,0.25,2.0,2.0,1.0,7.1,3.0
2025-12-02,TOR,False,False,L,12,5.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,0.333,1.0,5.0,0.2,0.0,0.0,0.0,1.9,-14.0
2025-12-03,CLE,False,True,W,27,20.0,5.0,1.0,1.0,0.0,0.0,7.0,15.0,0.467,4.0,7.0,0.571,2.0,2.0,1.0,15.5,8.0
2025-12-05,DET,False,False,L,12,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.5,-18.0
2025-12-07,MEM,False,False,L,20,4.0,2.0,3.0,0.0,0.0,2.0,2.0,7.0,0.286,0.0,4.0,0.0,0.0,0.0,0.0,0.2,-19.0
2025-12-11,NOP,False,False,L,22,9.0,1.0,4.0,0.0,0.0,2.0,4.0,9.0,0.444,0.0,5.0,0.0,1.0,1.0,1.0,5.8,-9.0
2025-12-14,GSW,True,False,W,12,8.0,0.0,4.0,1.0,0.0,1.0,3.0,6.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,7.4,-9.0
2025-12-18,SAC,True,False,W,9,5.0,1.0,1.0,1.0,0.0,0.0,2.0,7.0,0.286,1.0,4.0,0.25,0.0,0.0,0.0,2.5,7.0
2025-12-20,SAC,False,False,W,9,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,-1.5,-13.0
2025-12-22,DET,True,False,L,18,5.0,3.0,4.0,0.0,0.0,1.0,1.0,5.0,0.2,0.0,3.0,0.0,3.0,4.0,0.75,3.8,-2.0
2025-12-23,ORL,True,True,L,34,17.0,3.0,1.0,0.0,3.0,0.0,7.0,13.0,0.538,3.0,8.0,0.375,0.0,0.0,0.0,13.6,2.0
2025-12-26,LAC,True,False,L,25,14.0,0.0,2.0,0.0,0.0,1.0,5.0,10.0,0.5,3.0,7.0,0.429,1.0,2.0,0.5,8.2,-17.0
2025-12-28,BOS,True,False,W,29,18.0,2.0,3.0,1.0,0.0,4.0,6.0,14.0,0.429,4.0,10.0,0.4,2.0,2.0,1.0,10.3,4.0
2025-12-29,DAL,True,True,W,34,24.0,3.0,2.0,0.0,0.0,1.0,8.0,15.0,0.533,6.0,10.0,0.6,2.0,2.0,1.0,18.4,9.0
2025-12-31,OKC,False,False,L,30,10.0,5.0,4.0,3.0,0.0,3.0,4.0,12.0,0.333,2.0,7.0,0.286,0.0,0.0,0.0,6.3,-11.0
2026-01-02,NOP,False,False,W,28,22.0,2.0,2.0,0.0,0.0,1.0,7.0,13.0,0.538,6.0,11.0,0.545,2.0,2.0,1.0,15.9,3.0
2026-01-03,SAS,False,True,W,28,16.0,5.0,2.0,0.0,0.0,0.0,6.0,13.0,0.462,3.0,9.0,0.333,1.0,4.0,0.25,11.0,-4.0
2026-01-05,UTA,True,False,W,28,14.0,3.0,4.0,0.0,0.0,3.0,6.0,11.0,0.545,2.0,7.0,0.286,0.0,0.0,0.0,9.4,13.0
2026-01-07,HOU,True,False,W,29,10.0,7.0,4.0,0.0,0.0,2.0,4.0,12.0,0.333,2.0,6.0,0.333,0.0,0.0,0.0,6.1,5.0
2026-01-09,HOU,True,False,W,25,18.0,4.0,1.0,0.0,0.0,0.0,6.0,13.0,0.462,4.0,8.0,0.5,2.0,2.0,1.0,12.4,-7.0
2026-01-11,NYK,True,False,L,29,21.0,4.0,4.0,1.0,0.0,1.0,8.0,18.0,0.444,5.0,12.0,0.417,0.0,0.0,0.0,15.2,-11.0
2026-01-13,GSW,False,False,L,34,17.0,3.0,7.0,2.0,1.0,4.0,5.0,16.0,0.313,2.0,9.0,0.222,5.0,8.0,0.625,10.7,-14.0
2026-01-15,ATL,True,False,W,26,12.0,3.0,4.0,3.0,0.0,3.0,5.0,12.0,0.417,2.0,6.0,0.333,0.0,0.0,0.0,8.9,6.0
2026-01-17,LAL,True,False,W,31,22.0,1.0,7.0,2.0,0.0,4.0,8.0,15.0,0.533,4.0,8.0,0.5,2.0,2.0,1.0,17.9,23.0
2026-01-18,SAC,False,True,W,22,6.0,2.0,1.0,1.0,0.0,1.0,3.0,10.0,0.3,0.0,4.0,0.0,0.0,0.0,0.0,1.5,14.0
2026-01-22,MIA,True,False,W,34,20.0,4.0,4.0,0.0,0.0,2.0,8.0,19.0,0.421,4.0,12.0,0.333,0.0,0.0,0.0,12.3,15.0
2026-01-23,TOR,True,True,L,29,11.0,4.0,3.0,0.0,0.0,3.0,4.0,9.0,0.444,3.0,6.0,0.5,0.0,0.0,0.0,7.4,-1.0
2026-01-26,BOS,False,False,L,26,11.0,3.0,5.0,0.0,0.0,2.0,5.0,14.0,0.357,1.0,7.0,0.143,0.0,0.0,0.0,6.0,-2.0
2026-01-27,WAS,False,True,L,17,6.0,2.0,1.0,0.0,0.0,1.0,2.0,8.0,0.25,0.0,1.0,0.0,2.0,4.0,0.5,1.1,-5.0
2026-01-30,NYK,False,False,L,27,12.0,3.0,4.0,2.0,0.0,1.0,5.0,15.0,0.333,2.0,10.0,0.2,0.0,0.0,0.0,8.2,-11.0
2026-02-01,CLE,True,False,L,30,21.0,2.0,3.0,2.0,0.0,2.0,8.0,15.0,0.533,3.0,8.0,0.375,2.0,2.0,1.0,16.0,-5.0
2026-02-03,PHX,True,False,L,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.4,-2.0
2026-02-07,MEM,True,False,W,27,17.0,0.0,8.0,1.0,0.0,4.0,7.0,18.0,0.389,3.0,11.0,0.273,0.0,0.0,0.0,9.8,-3.0
2026-02-12,UTA,False,False,W,15,11.0,0.0,2.0,0.0,0.0,0.0,4.0,12.0,0.333,3.0,8.0,0.375,0.0,0.0,0.0,5.6,-14.0
2026-03-25,MIL,True,False,W,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.8,-1.0
2026-03-31,LAC,False,False,W,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0
2026-04-08,SAS,False,False,L,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-4.0
2026-04-12,SAC,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-4.0
