date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-11-20,PHI,True,False,W,9,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0
2024-11-23,CHI,False,False,W,12,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,10.0
2024-12-08,WAS,False,False,W,25,14.0,4.0,5.0,1.0,0.0,1.0,4.0,8.0,0.5,2.0,4.0,0.5,4.0,4.0,1.0,13.9,10.0
2024-12-19,GSW,True,False,W,8,5.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,3.0,-4.0
2024-12-21,ATL,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-3.0
2024-12-26,TOR,True,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-29,OKC,False,False,L,22,7.0,5.0,4.0,0.0,0.0,1.0,1.0,5.0,0.2,1.0,3.0,0.333,4.0,4.0,1.0,7.6,0.0
2024-12-31,PHX,False,False,W,16,2.0,4.0,3.0,2.0,0.0,1.0,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,3.5,9.0
2025-01-04,GSW,False,False,L,13,7.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,1.0,0.0,1.0,1.0,1.0,6.4,3.0
2025-01-06,DAL,True,False,W,10,3.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.6,-2.0
2025-03-01,SAS,True,False,L,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-15.0
2025-03-05,OKC,True,False,L,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0
2025-03-10,PHX,True,False,W,20,16.0,3.0,1.0,3.0,0.0,0.0,5.0,9.0,0.556,4.0,7.0,0.571,2.0,2.0,1.0,15.9,-1.0
2025-03-14,CLE,True,False,L,7,3.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,1.2,15.0
2025-03-15,MIA,True,True,W,18,6.0,2.0,3.0,0.0,0.0,0.0,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,6.0,7.0
2025-03-17,SAC,False,False,L,15,7.0,3.0,2.0,0.0,0.0,0.0,2.0,5.0,0.4,1.0,3.0,0.333,2.0,2.0,1.0,7.0,-17.0
2025-03-19,POR,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2025-03-21,LAC,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2025-03-25,UTA,False,False,W,7,4.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,2.0,2.0,1.0,3.6,4.0
2025-03-27,OKC,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2025-03-31,BOS,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,0.0
2025-04-05,DET,False,False,W,5,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.7,4.0
2025-04-08,CHA,False,False,W,8,2.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,-0.1,-1.0
2025-04-10,MIN,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2025-04-13,DAL,True,False,W,37,23.0,2.0,7.0,3.0,0.0,0.0,8.0,19.0,0.421,5.0,12.0,0.417,2.0,2.0,1.0,21.0,18.0
2025-10-22,NOP,True,False,W,12,7.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.5,2.0,3.0,0.667,1.0,2.0,0.5,6.0,-4.0
2025-10-24,MIA,True,False,L,15,2.0,2.0,3.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,-0.8,-18.0
2025-10-25,IND,True,True,W,16,8.0,6.0,3.0,0.0,0.0,0.0,3.0,8.0,0.375,2.0,4.0,0.5,0.0,0.0,0.0,6.7,12.0
2025-10-27,GSW,False,False,L,14,11.0,2.0,3.0,1.0,0.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,11.0,-3.0
2025-10-29,PHX,False,False,W,19,6.0,2.0,6.0,1.0,0.0,0.0,2.0,5.0,0.4,2.0,4.0,0.5,0.0,0.0,0.0,7.9,6.0
2025-10-31,LAL,True,False,L,19,12.0,0.0,3.0,2.0,0.0,1.0,3.0,6.0,0.5,2.0,5.0,0.4,4.0,4.0,1.0,11.3,1.0
2025-11-02,TOR,False,False,L,26,4.0,4.0,4.0,2.0,0.0,2.0,1.0,7.0,0.143,1.0,6.0,0.167,1.0,2.0,0.5,2.7,-5.0
2025-11-03,DET,True,True,L,15,13.0,2.0,3.0,0.0,0.0,3.0,4.0,6.0,0.667,4.0,6.0,0.667,1.0,1.0,1.0,10.1,9.0
2025-11-05,HOU,True,False,L,19,19.0,2.0,2.0,0.0,0.0,0.0,5.0,10.0,0.5,5.0,9.0,0.556,4.0,4.0,1.0,15.6,-6.0
2025-11-07,DAL,True,False,W,19,12.0,2.0,2.0,2.0,0.0,1.0,5.0,9.0,0.556,2.0,4.0,0.5,0.0,0.0,0.0,9.5,-2.0
2025-11-09,OKC,True,False,L,20,9.0,1.0,1.0,0.0,0.0,1.0,2.0,6.0,0.333,1.0,4.0,0.25,4.0,4.0,1.0,5.2,8.0
