date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-10-26,LAC,True,False,W,9,4.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.333,1.0,3.0,0.333,1.0,2.0,0.5,1.8,-9.0
2019-10-28,UTA,True,False,L,13,3.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.9,7.0
2019-10-30,GSW,False,False,W,14,12.0,3.0,0.0,1.0,0.0,2.0,5.0,6.0,0.833,2.0,3.0,0.667,0.0,0.0,0.0,8.9,-9.0
2019-11-02,MEM,False,False,W,17,5.0,1.0,1.0,0.0,0.0,0.0,2.0,7.0,0.286,1.0,5.0,0.2,0.0,0.0,0.0,1.1,-12.0
2019-11-04,PHI,True,False,W,9,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.3,7.0
2019-11-07,MIA,True,False,L,19,7.0,3.0,1.0,0.0,0.0,0.0,2.0,5.0,0.4,1.0,2.0,0.5,2.0,2.0,1.0,5.9,-12.0
2019-11-10,BKN,True,False,W,20,15.0,6.0,2.0,1.0,2.0,1.0,6.0,10.0,0.6,3.0,5.0,0.6,0.0,0.0,0.0,15.8,-2.0
2019-11-12,LAL,True,False,L,27,11.0,4.0,1.0,0.0,0.0,1.0,3.0,9.0,0.333,3.0,8.0,0.375,2.0,2.0,1.0,5.6,-9.0
2019-11-14,ATL,True,False,W,20,15.0,4.0,1.0,0.0,0.0,1.0,3.0,8.0,0.375,3.0,6.0,0.5,6.0,6.0,1.0,11.5,4.0
2019-11-18,BOS,True,False,L,24,8.0,5.0,1.0,0.0,1.0,2.0,3.0,10.0,0.3,2.0,7.0,0.286,0.0,0.0,0.0,3.5,-17.0
2019-11-19,SAC,False,True,L,26,18.0,4.0,2.0,1.0,1.0,0.0,7.0,13.0,0.538,4.0,9.0,0.444,0.0,0.0,0.0,15.6,6.0
2019-11-21,NOP,True,False,L,19,14.0,0.0,0.0,2.0,0.0,0.0,4.0,6.0,0.667,3.0,4.0,0.75,3.0,3.0,1.0,12.2,6.0
2019-11-23,MIN,False,False,W,21,3.0,3.0,0.0,2.0,0.0,0.0,1.0,8.0,0.125,1.0,4.0,0.25,0.0,0.0,0.0,0.7,4.0
2019-11-24,DEN,False,True,L,22,6.0,0.0,1.0,0.0,0.0,1.0,2.0,7.0,0.286,2.0,6.0,0.333,0.0,0.0,0.0,1.2,8.0
2019-11-27,WAS,True,False,L,32,17.0,4.0,1.0,1.0,1.0,1.0,6.0,10.0,0.6,3.0,7.0,0.429,2.0,2.0,1.0,14.6,14.0
2019-11-29,DAL,True,False,L,13,2.0,4.0,1.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,1.2,-6.0
