date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-10-25,CHI,False,False,W,19,13.0,2.0,1.0,0.0,1.0,1.0,5.0,5.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,11.3,9.0
2023-10-27,CLE,False,False,W,19,9.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,1.0,1.0,1.0,2.0,2.0,1.0,8.4,3.0
2023-10-29,DEN,True,False,L,22,7.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.4,-11.0
2023-10-30,DET,True,True,W,22,4.0,4.0,2.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,3.8,-2.0
2023-11-01,NOP,True,False,L,18,4.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,2.7,-4.0
2023-11-03,GSW,True,False,L,36,13.0,2.0,1.0,0.0,0.0,1.0,6.0,10.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,8.7,4.0
2023-11-06,ATL,True,False,W,24,6.0,2.0,4.0,4.0,0.0,1.0,3.0,6.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,9.0,3.0
2023-11-08,CLE,True,False,W,24,14.0,3.0,2.0,0.0,0.0,2.0,5.0,7.0,0.714,2.0,3.0,0.667,2.0,2.0,1.0,10.6,6.0
2023-11-10,SAC,False,False,L,24,8.0,3.0,2.0,0.0,1.0,0.0,3.0,7.0,0.429,2.0,5.0,0.4,0.0,0.0,0.0,7.3,3.0
2023-11-12,PHX,False,False,W,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,2.0
2023-11-14,SAS,True,False,W,21,9.0,5.0,3.0,2.0,2.0,1.0,4.0,5.0,0.8,1.0,1.0,1.0,0.0,0.0,0.0,13.1,8.0
2023-11-16,GSW,False,False,W,26,10.0,2.0,4.0,1.0,0.0,0.0,4.0,7.0,0.571,2.0,2.0,1.0,0.0,0.0,0.0,11.1,22.0
2023-11-18,GSW,False,False,W,28,3.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,1.8,4.0
2023-11-19,POR,False,True,W,21,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9,19.0
2023-11-22,CHI,True,False,W,24,5.0,3.0,0.0,0.0,1.0,1.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,4.3,-2.0
2023-11-25,PHI,True,False,L,14,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-15.0
2023-11-28,MIN,False,False,L,17,10.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.75,3.0,3.0,1.0,1.0,2.0,0.5,9.0,5.0
2023-11-30,LAL,True,False,W,22,10.0,3.0,1.0,0.0,1.0,1.0,4.0,7.0,0.571,2.0,4.0,0.5,0.0,0.0,0.0,7.6,19.0
2023-12-02,DAL,False,False,W,20,15.0,6.0,0.0,0.0,0.0,0.0,6.0,12.0,0.5,2.0,7.0,0.286,1.0,2.0,0.5,10.0,0.0
2023-12-06,HOU,False,False,L,25,5.0,3.0,0.0,2.0,1.0,0.0,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,4.7,12.0
