date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2026-03-09,MEM,True,False,W,5,4.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-10.0
2026-03-10,DET,True,True,L,22,5.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,2.5,-3.0
2026-03-12,ATL,False,False,L,20,3.0,3.0,3.0,1.0,0.0,2.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,2.1,-4.0
2026-03-14,PHI,False,False,L,24,6.0,10.0,1.0,3.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,6.0,8.0,0.75,8.8,4.0
2026-03-16,POR,True,False,L,25,17.0,9.0,1.0,0.0,0.0,0.0,6.0,8.0,0.75,2.0,4.0,0.5,3.0,6.0,0.5,16.8,6.0
2026-03-18,OKC,True,False,L,27,12.0,7.0,3.0,1.0,0.0,2.0,5.0,6.0,0.833,0.0,1.0,0.0,2.0,2.0,1.0,14.2,-6.0
2026-03-20,NYK,True,False,L,24,4.0,4.0,6.0,3.0,2.0,1.0,1.0,6.0,0.167,0.0,5.0,0.0,2.0,2.0,1.0,7.8,3.0
2026-03-22,SAC,False,False,L,16,7.0,3.0,3.0,0.0,1.0,1.0,1.0,3.0,0.333,1.0,1.0,1.0,4.0,4.0,1.0,6.4,1.0
2026-03-23,POR,False,True,L,26,12.0,5.0,3.0,0.0,0.0,5.0,5.0,8.0,0.625,0.0,1.0,0.0,2.0,2.0,1.0,5.8,-28.0
2026-03-25,GSW,False,False,L,19,11.0,1.0,3.0,1.0,0.0,1.0,5.0,8.0,0.625,1.0,3.0,0.333,0.0,0.0,0.0,7.8,-2.0
2026-03-27,LAL,False,False,L,14,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.6,-13.0
2026-03-29,SAC,True,False,W,8,4.0,3.0,2.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,5.7,3.0
2026-03-31,CHA,True,False,L,27,11.0,4.0,0.0,1.0,1.0,1.0,4.0,6.0,0.667,1.0,3.0,0.333,2.0,2.0,1.0,9.1,-18.0
2026-04-03,ATL,True,False,L,23,11.0,6.0,4.0,1.0,1.0,3.0,5.0,7.0,0.714,0.0,0.0,0.0,1.0,2.0,0.5,10.6,-11.0
2026-04-05,WAS,True,False,W,21,9.0,5.0,1.0,1.0,2.0,1.0,3.0,5.0,0.6,1.0,1.0,1.0,2.0,2.0,1.0,10.7,7.0
2026-04-07,MIL,True,False,W,8,5.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,4.6,16.0
2026-04-12,TOR,False,False,L,36,16.0,13.0,2.0,1.0,0.0,1.0,6.0,14.0,0.429,0.0,3.0,0.0,4.0,5.0,0.8,14.3,-23.0
