date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-10-20,NOP,False,False,W,2,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-6.0
2021-10-26,NYK,False,False,L,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,3.0
2021-10-30,ATL,True,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,4.0
2021-11-09,MIL,True,False,L,5,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,4.0
2021-11-13,IND,False,False,L,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-1.0
2021-11-16,UTA,False,False,L,9,5.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,7.1,-10.0
2021-11-18,DEN,False,False,W,19,12.0,7.0,0.0,1.0,3.0,0.0,5.0,7.0,0.714,0.0,1.0,0.0,2.0,3.0,0.667,14.3,20.0
2021-11-20,POR,False,False,L,14,6.0,6.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,7.1,-6.0
2021-11-22,SAC,False,False,W,15,2.0,7.0,1.0,0.0,0.0,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.0
2021-11-24,GSW,False,False,L,8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-5.0
2021-12-09,UTA,True,False,L,5,4.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,-4.0
2021-12-13,MEM,False,False,L,22,13.0,10.0,0.0,0.0,4.0,0.0,6.0,10.0,0.6,0.0,0.0,0.0,1.0,2.0,0.5,12.2,-17.0
2021-12-20,BOS,False,False,W,8,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
2021-12-23,ATL,True,False,L,12,8.0,8.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,12.7,9.0
2021-12-26,WAS,False,False,W,6,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,5.0
2022-01-03,HOU,True,False,W,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,-6.0
2022-01-07,SAS,True,False,W,2,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
2022-01-10,HOU,False,False,W,5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-5.0
2022-01-12,CHA,True,False,L,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.0
2022-01-17,WAS,False,False,L,4,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,2.0
2022-01-19,ORL,True,False,W,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,-9.0
2022-01-31,MEM,True,False,W,9,2.0,4.0,0.0,0.0,2.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-4.0
2022-02-15,BOS,True,False,L,7,5.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,5.0,-3.0
2022-11-02,TOR,True,False,L,12,9.0,4.0,0.0,0.0,2.0,0.0,3.0,5.0,0.6,1.0,2.0,0.5,2.0,2.0,1.0,9.3,-9.0
2022-11-07,DEN,True,False,L,16,3.0,8.0,1.0,1.0,1.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,4.7,6.0
2022-11-09,MEM,True,False,L,16,10.0,6.0,2.0,2.0,1.0,0.0,4.0,5.0,0.8,0.0,1.0,0.0,2.0,2.0,1.0,12.8,8.0
2022-11-11,MIL,True,False,W,18,5.0,14.0,4.0,0.0,4.0,3.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,10.1,10.0
2022-11-14,GSW,False,False,L,24,6.0,7.0,3.0,0.0,2.0,3.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,7.9,-27.0
2022-11-15,POR,False,True,L,16,6.0,5.0,1.0,0.0,1.0,3.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,3.1,-14.0
2022-11-17,SAC,False,False,L,11,4.0,2.0,2.0,1.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2022-11-19,LAC,False,False,L,23,6.0,9.0,0.0,0.0,0.0,3.0,2.0,6.0,0.333,0.0,1.0,0.0,2.0,4.0,0.5,1.9,-6.0
2022-11-20,LAL,False,True,L,21,8.0,8.0,5.0,1.0,0.0,1.0,4.0,5.0,0.8,0.0,0.0,0.0,0.0,2.0,0.0,11.2,-15.0
2022-11-23,NOP,True,False,L,12,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,3.8,3.0
2022-11-25,LAL,True,False,L,2,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.0
2022-11-26,LAL,True,True,L,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2022-12-02,NOP,True,False,L,21,11.0,9.0,0.0,1.0,2.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,13.8,12.0
