date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-10-25,CHI,False,False,W,25,11.0,4.0,3.0,1.0,0.0,1.0,4.0,7.0,0.571,2.0,3.0,0.667,1.0,3.0,0.333,9.0,14.0
2023-10-27,CLE,False,False,W,31,16.0,13.0,2.0,1.0,7.0,1.0,5.0,9.0,0.556,3.0,4.0,0.75,3.0,4.0,0.75,20.7,6.0
2023-10-29,DEN,True,False,L,26,19.0,4.0,0.0,0.0,0.0,1.0,7.0,12.0,0.583,1.0,4.0,0.25,4.0,4.0,1.0,13.6,-23.0
2023-10-30,DET,True,True,W,24,14.0,4.0,3.0,2.0,4.0,3.0,4.0,5.0,0.8,4.0,5.0,0.8,2.0,2.0,1.0,15.2,9.0
2023-11-01,NOP,True,False,L,37,19.0,11.0,3.0,1.0,2.0,5.0,8.0,14.0,0.571,1.0,5.0,0.2,2.0,2.0,1.0,14.8,-3.0
2023-11-03,GSW,True,False,L,32,24.0,8.0,5.0,1.0,1.0,2.0,7.0,9.0,0.778,2.0,2.0,1.0,8.0,8.0,1.0,25.7,-1.0
2023-11-06,ATL,True,False,W,34,16.0,12.0,3.0,1.0,3.0,1.0,4.0,14.0,0.286,1.0,3.0,0.333,7.0,7.0,1.0,15.6,4.0
2023-11-08,CLE,True,False,W,29,15.0,7.0,2.0,1.0,3.0,2.0,7.0,10.0,0.7,1.0,1.0,1.0,0.0,0.0,0.0,15.0,3.0
2023-11-10,SAC,False,False,L,30,12.0,7.0,1.0,1.0,1.0,4.0,5.0,12.0,0.417,0.0,3.0,0.0,2.0,3.0,0.667,5.3,-13.0
2023-11-12,PHX,False,False,W,33,18.0,6.0,4.0,0.0,2.0,0.0,5.0,10.0,0.5,3.0,6.0,0.5,5.0,5.0,1.0,17.8,27.0
2023-11-14,SAS,True,False,W,30,9.0,7.0,3.0,2.0,1.0,2.0,3.0,10.0,0.3,1.0,5.0,0.2,2.0,2.0,1.0,7.3,30.0
