date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-21,HOU,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-23,IND,False,False,W,6,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.9,8.0
2025-10-25,ATL,False,False,W,11,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,4.0,4.0,1.0,2.2,0.0
2025-10-27,DAL,False,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2025-10-28,SAC,True,True,W,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-1.0
2025-10-30,WAS,True,False,W,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,8.0
2025-11-02,NOP,True,False,W,7,6.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,4.6,-1.0
2025-11-04,LAC,False,False,W,4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.6,-3.0
2025-11-07,SAC,False,False,W,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.2,-5.0
2025-11-09,MEM,False,False,W,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-11.0
2025-11-11,GSW,True,False,W,5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,4.0
2025-11-12,LAL,True,True,W,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-6.0
2025-11-17,NOP,False,False,W,3,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.6,-1.0
2025-11-19,SAC,True,False,W,2,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.7,0.0
2025-11-21,UTA,False,False,W,5,5.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.6,7.0
2025-11-23,POR,True,False,W,8,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.4,0.0
2025-12-05,DAL,True,False,W,9,3.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,1.6,-2.0
2025-12-07,UTA,False,False,W,8,3.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,2.9,-10.0
2025-12-10,PHX,True,False,W,10,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.9,3.0
2025-12-22,MEM,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,2.0
2025-12-23,SAS,False,True,L,3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.7,-2.0
2025-12-25,SAS,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2025-12-28,PHI,True,False,W,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.4,0.0
2025-12-31,POR,True,False,W,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.1,2.0
2026-01-02,GSW,False,False,W,8,9.0,1.0,1.0,1.0,0.0,0.0,3.0,7.0,0.429,3.0,7.0,0.429,0.0,0.0,0.0,7.7,0.0
2026-01-05,CHA,True,False,L,5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,-3.0
2026-01-15,HOU,False,False,W,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2026-01-19,CLE,False,False,W,3,6.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,5.7,9.0
2026-01-21,MIL,False,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2026-01-29,MIN,False,False,L,4,5.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,4.0,0.25,2.0,3.0,0.667,3.6,8.0
2026-02-03,ORL,True,False,W,6,2.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.3,-1.0
2026-02-04,SAS,False,True,L,20,5.0,3.0,2.0,0.0,2.0,0.0,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,4.9,-3.0
2026-03-23,BKN,True,False,W,9,6.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,5.0,2.0
2026-04-10,LAC,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1.0
