date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-19,CLE,True,False,W,15,3.0,6.0,0.0,0.0,1.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,0.5,1.7,3.0
2022-10-21,BKN,False,False,L,20,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,-0.7,-3.0
2022-10-22,MIA,False,True,L,12,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.2,-5.0
2022-10-24,MIA,False,False,W,18,2.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-10.0
2022-10-26,PHI,True,False,W,11,4.0,4.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,4.0
2022-10-28,PHI,True,False,L,10,3.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,6.0,3.0
2022-10-31,ATL,True,False,W,21,9.0,5.0,0.0,0.0,3.0,2.0,4.0,7.0,0.571,0.0,0.0,0.0,1.0,3.0,0.333,5.7,23.0
2022-11-02,SAS,False,False,W,23,2.0,6.0,0.0,0.0,1.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.7,30.0
2022-11-04,DAL,False,False,L,12,2.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,-12.0
2022-11-06,CHI,True,False,W,31,11.0,7.0,2.0,0.0,6.0,1.0,4.0,8.0,0.5,0.0,1.0,0.0,3.0,4.0,0.75,12.9,19.0
2022-11-07,CHI,False,True,L,21,5.0,3.0,1.0,0.0,1.0,2.0,2.0,8.0,0.25,0.0,1.0,0.0,1.0,2.0,0.5,-1.1,4.0
2022-11-09,HOU,True,False,W,14,5.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0
2022-11-11,OKC,False,False,L,24,2.0,4.0,1.0,1.0,0.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
2022-11-12,IND,False,True,L,6,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.0
2022-11-14,DET,False,False,W,17,8.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,8.4,2.0
2022-11-16,MIA,True,False,W,13,4.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,4.0
2022-11-19,ATL,False,False,L,30,7.0,11.0,1.0,0.0,4.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,3.0,6.0,0.5,11.4,5.0
2022-11-23,BKN,True,False,L,18,4.0,5.0,0.0,0.0,1.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,4.0,0.5,3.5,-17.0
2022-11-26,DAL,True,False,W,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,2.0
2022-11-28,CLE,True,False,W,7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.5,1.0
2022-11-30,NOP,False,False,L,18,6.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,-8.0
2022-12-02,BKN,False,False,L,22,5.0,9.0,0.0,1.0,1.0,1.0,2.0,8.0,0.25,0.0,2.0,0.0,1.0,1.0,1.0,5.2,-8.0
2022-12-03,ORL,True,True,W,18,6.0,5.0,0.0,0.0,1.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,5.5,28.0
2022-12-05,BOS,True,False,L,22,5.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,5.5,-7.0
2022-12-07,LAL,True,False,W,22,1.0,4.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,1.9,9.0
2022-12-09,ORL,False,False,L,13,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-13.0
2022-12-11,ORL,False,False,L,7,2.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,-3.0
2022-12-14,SAC,True,False,L,13,4.0,4.0,1.0,1.0,1.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.8,9.0
2022-12-16,BKN,True,False,L,21,4.0,3.0,2.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,3.9,6.0
2022-12-18,GSW,True,False,L,20,3.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.7,-2.0
2022-12-21,NYK,False,False,W,6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,7.0
2022-12-27,LAC,True,False,L,9,4.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,6.4,1.0
2022-12-29,MEM,True,False,L,13,4.0,2.0,1.0,0.0,2.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.4,-7.0
2022-12-30,PHX,True,True,W,21,8.0,4.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,7.3,26.0
2023-01-02,IND,False,False,L,11,2.0,4.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,-4.0
2023-01-06,NYK,True,False,L,13,4.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,-8.0
2023-01-08,POR,True,False,W,13,8.0,4.0,2.0,0.0,0.0,0.0,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,7.5,20.0
2023-01-10,CHA,True,False,W,21,6.0,8.0,2.0,0.0,1.0,1.0,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,7.4,11.0
2023-01-12,CHA,True,False,W,6,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,1.1,0.0
2023-01-14,ATL,True,False,L,7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,1.0
2023-01-28,POR,False,False,W,2,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2023-01-30,PHX,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2023-02-01,UTA,False,False,L,9,2.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-1.0
2023-02-03,HOU,False,False,W,17,0.0,7.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,16.0
2023-02-08,SAS,True,False,W,5,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
2023-02-26,CLE,False,False,L,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,1.0
2023-03-14,DEN,True,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2023-03-16,OKC,True,False,W,12,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,6.0
2023-03-18,MIN,True,False,W,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-6.0
2023-03-22,IND,True,False,L,10,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,7.0
2023-03-24,DET,True,False,W,20,5.0,3.0,2.0,2.0,4.0,0.0,2.0,5.0,0.4,0.0,0.0,0.0,1.0,2.0,0.5,8.2,-3.0
2023-03-26,WAS,True,False,W,15,0.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,7.0
2023-03-31,PHI,False,False,L,7,4.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
