date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-10-23,CHA,False,False,L,27,17.0,3.0,7.0,0.0,0.0,1.0,6.0,13.0,0.462,1.0,4.0,0.25,4.0,5.0,0.8,13.9,6.0
2019-10-25,MEM,False,False,W,30,25.0,6.0,2.0,0.0,0.0,0.0,10.0,16.0,0.625,4.0,8.0,0.5,1.0,2.0,0.5,20.2,15.0
2019-10-26,TOR,True,True,L,22,8.0,6.0,1.0,2.0,0.0,3.0,3.0,14.0,0.214,0.0,4.0,0.0,2.0,2.0,1.0,0.1,-6.0
2019-10-28,NYK,False,False,L,16,5.0,2.0,3.0,0.0,0.0,0.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,5.0,0.0
2019-10-30,CLE,False,False,L,21,8.0,1.0,1.0,2.0,0.0,0.0,3.0,12.0,0.25,2.0,7.0,0.286,0.0,0.0,0.0,3.4,-11.0
2019-11-01,DET,True,False,W,19,9.0,1.0,0.0,0.0,0.0,3.0,4.0,12.0,0.333,1.0,6.0,0.167,0.0,0.0,0.0,-0.1,-5.0
2019-11-03,IND,False,False,L,24,1.0,4.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,-3.0,-3.0
2019-11-05,LAL,True,False,L,24,18.0,5.0,4.0,1.0,0.0,2.0,7.0,15.0,0.467,1.0,5.0,0.2,3.0,3.0,1.0,13.2,1.0
2019-11-06,ATL,False,True,W,30,10.0,2.0,3.0,0.0,0.0,0.0,3.0,13.0,0.231,1.0,7.0,0.143,3.0,6.0,0.5,3.6,7.0
2019-11-09,HOU,True,False,L,27,10.0,3.0,1.0,1.0,0.0,2.0,4.0,16.0,0.25,0.0,6.0,0.0,2.0,3.0,0.667,-0.2,-13.0
2019-11-12,NYK,True,False,W,27,27.0,3.0,1.0,1.0,0.0,1.0,8.0,14.0,0.571,7.0,11.0,0.636,4.0,4.0,1.0,21.2,27.0
2019-11-14,MIL,False,False,L,35,26.0,5.0,3.0,3.0,0.0,3.0,9.0,23.0,0.391,6.0,13.0,0.462,2.0,2.0,1.0,16.7,-9.0
2019-11-16,BKN,True,False,L,29,7.0,9.0,3.0,1.0,0.0,3.0,3.0,13.0,0.231,1.0,7.0,0.143,0.0,0.0,0.0,0.7,-6.0
2019-11-18,MIL,True,False,L,25,13.0,3.0,3.0,1.0,0.0,0.0,5.0,15.0,0.333,3.0,6.0,0.5,0.0,0.0,0.0,7.7,-11.0
2019-11-20,DET,True,False,W,23,12.0,5.0,1.0,0.0,0.0,0.0,3.0,7.0,0.429,3.0,3.0,1.0,3.0,3.0,1.0,8.9,-3.0
2019-11-22,MIA,True,False,L,21,12.0,2.0,1.0,0.0,0.0,3.0,4.0,10.0,0.4,2.0,3.0,0.667,2.0,2.0,1.0,4.5,-9.0
2019-11-23,CHA,False,True,W,34,28.0,2.0,3.0,1.0,0.0,3.0,12.0,19.0,0.632,4.0,9.0,0.444,0.0,0.0,0.0,19.8,-5.0
2019-11-25,POR,True,False,L,28,8.0,3.0,2.0,2.0,0.0,0.0,3.0,13.0,0.231,1.0,8.0,0.125,1.0,2.0,0.5,3.6,-15.0
2019-11-27,GSW,False,False,L,26,2.0,1.0,0.0,2.0,0.0,3.0,0.0,7.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,-3.6,-19.0
2019-11-29,POR,False,False,L,21,13.0,4.0,1.0,0.0,0.0,0.0,5.0,13.0,0.385,2.0,7.0,0.286,1.0,1.0,1.0,7.8,-5.0
2019-12-02,SAC,False,False,W,21,11.0,3.0,3.0,0.0,0.0,0.0,4.0,9.0,0.444,3.0,6.0,0.5,0.0,0.0,0.0,9.3,13.0
2019-12-04,MEM,True,False,W,22,3.0,5.0,1.0,0.0,0.0,2.0,1.0,8.0,0.125,1.0,3.0,0.333,0.0,1.0,0.0,-3.2,6.0
2019-12-06,GSW,True,False,L,19,14.0,3.0,2.0,0.0,0.0,0.0,5.0,10.0,0.5,4.0,5.0,0.8,0.0,0.0,0.0,11.3,-10.0
2019-12-08,MIA,False,False,L,32,11.0,4.0,8.0,0.0,0.0,3.0,3.0,9.0,0.333,3.0,7.0,0.429,2.0,2.0,1.0,9.3,-4.0
2019-12-09,TOR,True,True,L,30,0.0,8.0,5.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-3.2,9.0
2019-12-11,ATL,True,False,W,25,19.0,2.0,3.0,1.0,1.0,1.0,7.0,13.0,0.538,0.0,2.0,0.0,5.0,6.0,0.833,15.7,20.0
2019-12-13,CHA,True,False,L,20,3.0,3.0,3.0,2.0,0.0,2.0,1.0,8.0,0.125,1.0,5.0,0.2,0.0,0.0,0.0,0.8,-2.0
2019-12-14,LAC,True,True,W,13,2.0,2.0,1.0,1.0,0.0,2.0,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,-1.9,-16.0
2019-12-16,OKC,False,False,L,20,2.0,2.0,5.0,2.0,1.0,0.0,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,4.2,-1.0
2019-12-18,WAS,False,False,W,18,3.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,0.1,-9.0
2019-12-21,DET,False,False,W,18,19.0,5.0,1.0,0.0,0.0,2.0,6.0,10.0,0.6,5.0,7.0,0.714,2.0,2.0,1.0,15.0,-10.0
2019-12-23,ORL,False,False,L,19,9.0,2.0,1.0,0.0,1.0,1.0,4.0,9.0,0.444,1.0,2.0,0.5,0.0,0.0,0.0,5.3,-14.0
2019-12-28,ATL,True,False,W,26,18.0,5.0,0.0,0.0,0.0,5.0,8.0,11.0,0.727,2.0,3.0,0.667,0.0,0.0,0.0,10.0,14.0
2019-12-30,MIL,True,False,L,33,18.0,4.0,1.0,4.0,0.0,0.0,7.0,18.0,0.389,3.0,6.0,0.5,1.0,2.0,0.5,12.5,-3.0
2020-01-02,UTA,True,False,L,24,6.0,4.0,2.0,2.0,0.0,0.0,3.0,11.0,0.273,0.0,4.0,0.0,0.0,1.0,0.0,3.3,-15.0
2020-01-04,BOS,True,False,L,18,6.0,2.0,1.0,1.0,0.0,3.0,2.0,8.0,0.25,2.0,5.0,0.4,0.0,0.0,0.0,0.1,-13.0
2020-01-06,DAL,False,False,L,21,15.0,0.0,1.0,0.0,0.0,2.0,6.0,10.0,0.6,3.0,5.0,0.6,0.0,1.0,0.0,7.9,-15.0
2020-01-08,NOP,False,False,L,33,10.0,6.0,2.0,0.0,0.0,1.0,5.0,10.0,0.5,0.0,2.0,0.0,0.0,2.0,0.0,6.0,-17.0
2020-01-10,IND,True,False,L,29,23.0,5.0,1.0,1.0,0.0,2.0,8.0,17.0,0.471,5.0,9.0,0.556,2.0,3.0,0.667,14.3,-11.0
2020-01-11,DET,False,True,W,21,8.0,3.0,4.0,1.0,0.0,2.0,3.0,8.0,0.375,1.0,4.0,0.25,1.0,2.0,0.5,5.5,5.0
2020-01-13,BOS,False,False,L,23,6.0,3.0,4.0,0.0,0.0,1.0,3.0,8.0,0.375,0.0,4.0,0.0,0.0,0.0,0.0,4.3,-18.0
2020-01-15,WAS,True,False,W,23,10.0,4.0,2.0,0.0,0.0,3.0,4.0,9.0,0.444,1.0,5.0,0.2,1.0,2.0,0.5,4.1,-11.0
2020-01-17,PHI,False,False,L,25,14.0,4.0,4.0,0.0,0.0,1.0,5.0,13.0,0.385,2.0,6.0,0.333,2.0,2.0,1.0,8.7,-8.0
2020-01-18,CLE,True,True,W,20,11.0,3.0,3.0,2.0,0.0,2.0,3.0,6.0,0.5,0.0,0.0,0.0,5.0,6.0,0.833,10.2,3.0
2020-01-20,MIL,False,False,L,25,7.0,3.0,1.0,1.0,0.0,1.0,2.0,8.0,0.25,1.0,3.0,0.333,2.0,2.0,1.0,3.4,2.0
2020-01-22,MIN,True,False,W,25,12.0,3.0,2.0,0.0,0.0,2.0,5.0,12.0,0.417,1.0,4.0,0.25,1.0,3.0,0.333,3.5,22.0
2020-01-24,SAC,True,False,L,28,8.0,1.0,2.0,0.0,0.0,1.0,2.0,9.0,0.222,2.0,7.0,0.286,2.0,2.0,1.0,1.6,-6.0
2020-01-25,CLE,False,True,W,19,8.0,2.0,1.0,1.0,0.0,0.0,2.0,6.0,0.333,1.0,2.0,0.5,3.0,3.0,1.0,6.5,-4.0
2020-01-27,SAS,True,False,W,22,11.0,6.0,1.0,1.0,0.0,2.0,4.0,13.0,0.308,2.0,6.0,0.333,1.0,2.0,0.5,5.4,-3.0
2020-01-29,IND,False,False,L,20,9.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,4.9,-3.0
2020-01-31,BKN,False,False,L,25,11.0,3.0,1.0,0.0,1.0,2.0,4.0,10.0,0.4,2.0,7.0,0.286,1.0,2.0,0.5,4.7,4.0
2020-02-02,TOR,False,False,L,25,12.0,1.0,5.0,0.0,0.0,0.0,4.0,13.0,0.308,4.0,11.0,0.364,0.0,0.0,0.0,7.9,-8.0
2020-02-06,NOP,True,False,L,31,14.0,6.0,9.0,0.0,0.0,2.0,5.0,15.0,0.333,2.0,7.0,0.286,2.0,2.0,1.0,10.0,-7.0
2020-02-09,PHI,False,False,L,26,6.0,6.0,3.0,0.0,0.0,1.0,3.0,10.0,0.3,0.0,4.0,0.0,0.0,0.0,0.0,2.7,-11.0
2020-02-11,WAS,False,False,L,35,14.0,5.0,7.0,4.0,0.0,1.0,4.0,14.0,0.286,2.0,7.0,0.286,4.0,4.0,1.0,14.4,8.0
2020-02-20,CHA,True,False,L,30,12.0,0.0,3.0,0.0,1.0,2.0,3.0,11.0,0.273,0.0,5.0,0.0,6.0,7.0,0.857,4.7,-13.0
2020-02-22,PHX,True,False,L,34,33.0,3.0,2.0,1.0,0.0,5.0,11.0,22.0,0.5,7.0,13.0,0.538,4.0,4.0,1.0,18.3,7.0
2020-02-23,WAS,True,True,W,34,33.0,6.0,2.0,2.0,1.0,5.0,11.0,18.0,0.611,5.0,9.0,0.556,6.0,7.0,0.857,24.9,16.0
2020-02-25,OKC,True,False,L,33,35.0,7.0,3.0,0.0,0.0,1.0,13.0,21.0,0.619,6.0,9.0,0.667,3.0,3.0,1.0,27.9,15.0
2020-02-29,NYK,False,False,L,29,22.0,2.0,3.0,2.0,0.0,1.0,7.0,17.0,0.412,4.0,8.0,0.5,4.0,4.0,1.0,16.2,-20.0
2020-03-02,DAL,True,False,W,32,19.0,6.0,5.0,1.0,0.0,4.0,8.0,20.0,0.4,3.0,9.0,0.333,0.0,0.0,0.0,9.7,4.0
2020-03-04,MIN,False,False,L,35,26.0,1.0,6.0,0.0,0.0,0.0,11.0,22.0,0.5,2.0,7.0,0.286,2.0,2.0,1.0,18.7,3.0
2020-03-06,IND,True,False,L,38,26.0,2.0,6.0,1.0,0.0,2.0,10.0,21.0,0.476,3.0,10.0,0.3,3.0,3.0,1.0,18.3,-4.0
2020-03-08,BKN,False,False,L,35,21.0,6.0,8.0,1.0,0.0,0.0,8.0,21.0,0.381,3.0,9.0,0.333,2.0,3.0,0.667,15.9,-3.0
2020-03-10,CLE,True,False,W,38,20.0,5.0,5.0,0.0,0.0,9.0,7.0,17.0,0.412,2.0,7.0,0.286,4.0,5.0,0.8,6.1,9.0
2020-12-23,ATL,True,False,L,30,9.0,2.0,7.0,2.0,0.0,3.0,2.0,11.0,0.182,1.0,7.0,0.143,4.0,4.0,1.0,5.8,-13.0
2020-12-26,IND,True,False,L,25,12.0,2.0,3.0,0.0,1.0,4.0,4.0,10.0,0.4,4.0,7.0,0.571,0.0,0.0,0.0,5.6,-16.0
2020-12-27,GSW,True,True,L,36,20.0,7.0,5.0,0.0,0.0,3.0,8.0,19.0,0.421,4.0,9.0,0.444,0.0,0.0,0.0,12.1,-7.0
2020-12-29,WAS,False,False,W,37,18.0,5.0,6.0,0.0,0.0,2.0,6.0,14.0,0.429,2.0,5.0,0.4,4.0,4.0,1.0,14.3,10.0
2020-12-31,WAS,False,False,W,40,16.0,6.0,10.0,0.0,0.0,3.0,5.0,16.0,0.313,3.0,9.0,0.333,3.0,5.0,0.6,10.6,14.0
2021-01-01,MIL,False,True,L,29,12.0,4.0,3.0,0.0,0.0,4.0,4.0,13.0,0.308,1.0,5.0,0.2,3.0,4.0,0.75,2.6,-21.0
2021-01-03,DAL,True,False,W,33,23.0,7.0,4.0,0.0,0.0,4.0,7.0,14.0,0.5,4.0,9.0,0.444,5.0,5.0,1.0,15.3,7.0
2021-01-05,POR,False,False,W,39,21.0,10.0,5.0,0.0,0.0,2.0,8.0,19.0,0.421,2.0,7.0,0.286,3.0,4.0,0.75,15.0,-1.0
2021-01-06,SAC,False,True,L,40,36.0,3.0,7.0,0.0,0.0,0.0,15.0,23.0,0.652,4.0,9.0,0.444,2.0,2.0,1.0,31.3,-5.0
2021-01-08,LAL,False,False,L,32,14.0,3.0,5.0,0.0,0.0,3.0,6.0,14.0,0.429,2.0,5.0,0.4,0.0,0.0,0.0,6.8,-18.0
2021-01-10,LAC,False,False,L,43,9.0,8.0,13.0,1.0,0.0,5.0,4.0,11.0,0.364,0.0,4.0,0.0,1.0,2.0,0.5,8.8,-2.0
2021-01-15,OKC,False,False,L,44,22.0,9.0,7.0,0.0,0.0,4.0,8.0,20.0,0.4,4.0,9.0,0.444,2.0,2.0,1.0,13.2,-6.0
2021-01-17,DAL,False,False,W,25,0.0,3.0,4.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.2,-3.0
