date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-10-22,IND,True,False,W,10,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.2,8.0
2021-10-25,BKN,False,False,L,5,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.0
2021-10-27,BOS,False,False,W,12,2.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,3.3,9.0
2021-10-28,ATL,True,True,W,9,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,5.0
2021-10-30,BOS,True,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-1.0
2021-11-01,ATL,False,False,L,11,5.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,5.3,12.0
2021-11-03,TOR,True,False,L,16,4.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,0.333,1.0,3.0,0.333,1.0,2.0,0.5,2.8,0.0
2021-11-05,MEM,True,False,W,17,2.0,4.0,3.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,3.6,6.0
2021-11-07,MIL,True,False,W,12,5.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,1.3,-4.0
2021-11-10,CLE,False,False,W,14,9.0,4.0,0.0,0.0,0.0,0.0,4.0,7.0,0.571,1.0,3.0,0.333,0.0,0.0,0.0,6.9,10.0
2021-11-13,ORL,False,False,W,16,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.3,16.0
2021-11-15,NOP,True,False,W,11,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,-4.0
2021-11-17,CHA,False,False,L,11,6.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,5.0,-1.0
2021-11-18,MIA,False,True,L,24,13.0,4.0,0.0,0.0,0.0,0.0,5.0,10.0,0.5,3.0,7.0,0.429,0.0,0.0,0.0,9.2,-6.0
2021-11-20,MIA,True,False,W,18,5.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,2.9,5.0
2021-11-22,CHA,True,False,L,16,2.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,-0.8,5.0
2021-11-24,NOP,False,False,L,8,3.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.5,3.0
2021-11-27,DAL,False,False,W,11,4.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,1.0,0.0,2.3,-4.0
2021-11-29,SAS,False,False,L,12,5.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,3.6,-11.0
2021-12-01,MIN,True,False,W,11,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.9,-2.0
2021-12-03,CLE,True,False,L,7,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,3.0,3.0,1.0,3.3,6.0
2021-12-05,TOR,False,False,L,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-12-06,IND,False,True,L,19,10.0,2.0,0.0,1.0,0.0,1.0,4.0,6.0,0.667,2.0,2.0,1.0,0.0,0.0,0.0,7.6,4.0
2021-12-11,UTA,True,False,L,22,6.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,3.9,-12.0
2021-12-13,DEN,False,False,L,20,4.0,3.0,2.0,1.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,1.0,2.0,0.5,5.6,7.0
2021-12-16,PHX,False,False,L,20,6.0,1.0,1.0,2.0,1.0,0.0,3.0,9.0,0.333,0.0,2.0,0.0,0.0,1.0,0.0,3.4,-5.0
2021-12-23,NYK,False,False,W,33,20.0,2.0,3.0,0.0,0.0,1.0,6.0,7.0,0.857,4.0,5.0,0.8,4.0,4.0,1.0,18.8,10.0
