date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2026-03-19,UTA,False,False,L,8,5.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.25,1.0,3.0,0.333,2.0,3.0,0.667,3.1,-2.0
2026-03-25,POR,False,False,L,4,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.0,-8.0
2026-03-28,SAS,True,False,L,7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.5,1.0
2026-03-29,LAC,True,True,L,20,13.0,0.0,0.0,1.0,0.0,1.0,4.0,6.0,0.667,3.0,5.0,0.6,2.0,2.0,1.0,9.2,4.0
2026-04-01,HOU,False,False,L,38,25.0,2.0,4.0,1.0,0.0,2.0,9.0,14.0,0.643,4.0,7.0,0.571,3.0,3.0,1.0,20.4,0.0
2026-04-03,BOS,True,False,L,33,11.0,1.0,2.0,0.0,1.0,2.0,2.0,7.0,0.286,2.0,4.0,0.5,5.0,5.0,1.0,6.5,-19.0
2026-04-05,MEM,True,False,W,29,21.0,4.0,3.0,5.0,0.0,2.0,7.0,8.0,0.875,3.0,4.0,0.75,4.0,4.0,1.0,24.5,19.0
2026-04-07,BKN,False,False,L,34,14.0,5.0,2.0,0.0,0.0,2.0,5.0,12.0,0.417,3.0,6.0,0.5,1.0,2.0,0.5,5.7,-5.0
2026-04-08,DET,False,True,L,25,16.0,0.0,0.0,0.0,1.0,2.0,6.0,9.0,0.667,3.0,6.0,0.5,1.0,1.0,1.0,10.0,-11.0
2026-04-10,BKN,True,False,W,34,28.0,5.0,3.0,1.0,0.0,3.0,10.0,17.0,0.588,5.0,9.0,0.556,3.0,3.0,1.0,20.5,21.0
2026-04-12,PHI,False,False,L,38,22.0,10.0,4.0,1.0,0.0,2.0,8.0,20.0,0.4,3.0,12.0,0.25,3.0,3.0,1.0,16.8,-18.0
