date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2023-10-28,IND,True,False,L,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-10.0
2023-10-31,NYK,True,False,L,22,10.0,4.0,2.0,2.0,1.0,3.0,5.0,12.0,0.417,0.0,1.0,0.0,0.0,0.0,0.0,5.1,-9.0
2023-11-01,NYK,False,True,W,11,4.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,3.8,3.0
2023-11-11,GSW,False,False,W,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.167,-1.0,-8.0
2023-11-13,SAC,False,False,L,3,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.0
2023-11-15,POR,False,False,W,9,4.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.9,-8.0
2023-11-17,DET,True,False,W,16,12.0,3.0,5.0,1.0,0.0,0.0,5.0,9.0,0.556,0.0,0.0,0.0,2.0,2.0,1.0,13.1,14.0
2023-11-19,DEN,True,False,W,25,21.0,4.0,4.0,2.0,1.0,1.0,7.0,10.0,0.7,0.0,0.0,0.0,7.0,7.0,1.0,22.1,-2.0
2023-11-21,PHI,False,False,W,27,12.0,3.0,9.0,0.0,1.0,1.0,5.0,9.0,0.556,0.0,0.0,0.0,2.0,2.0,1.0,14.6,21.0
2023-11-22,MIA,True,True,L,35,16.0,2.0,5.0,1.0,2.0,4.0,6.0,12.0,0.5,2.0,5.0,0.4,2.0,3.0,0.667,11.7,-24.0
2023-11-25,LAL,True,False,L,17,11.0,1.0,1.0,0.0,0.0,1.0,5.0,7.0,0.714,1.0,1.0,1.0,0.0,0.0,0.0,7.3,-10.0
