date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-11-29,PHX,False,False,W,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,3.0
2025-12-03,IND,False,False,W,2,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0
2025-12-23,DAL,False,False,L,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,5.0
2025-12-29,MIA,False,False,L,6,2.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,-0.5,-3.0
2026-01-05,PHI,False,False,W,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.5,-1.0
2026-01-23,MIL,False,False,W,9,5.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,4.3,0.0
2026-03-29,GSW,True,False,W,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,2.0
2026-04-08,MEM,True,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
2026-04-10,OKC,True,False,W,20,7.0,1.0,3.0,2.0,0.0,0.0,3.0,7.0,0.429,1.0,5.0,0.2,0.0,0.0,0.0,7.3,14.0
2026-04-12,SAS,False,False,W,32,13.0,5.0,3.0,1.0,0.0,1.0,4.0,5.0,0.8,4.0,4.0,1.0,1.0,2.0,0.5,13.9,6.0
