date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2015-10-28,MIN,True,False,L,26,4.0,3.0,2.0,0.0,0.0,3.0,2.0,7.0,0.286,0.0,3.0,0.0,0.0,0.0,0.0,-1.2,-9.0
2015-10-30,SAC,False,False,L,23,13.0,2.0,2.0,0.0,0.0,1.0,5.0,10.0,0.5,2.0,5.0,0.4,1.0,2.0,0.5,8.6,-13.0
2015-11-01,DAL,True,False,L,27,10.0,3.0,1.0,1.0,1.0,1.0,4.0,13.0,0.308,2.0,7.0,0.286,0.0,0.0,0.0,4.8,-1.0
2015-11-03,DEN,True,False,L,20,7.0,2.0,6.0,0.0,0.0,1.0,3.0,11.0,0.273,1.0,5.0,0.2,0.0,0.0,0.0,2.7,-2.0
2015-11-06,BKN,False,False,W,23,16.0,4.0,0.0,3.0,0.0,1.0,6.0,9.0,0.667,2.0,3.0,0.667,2.0,2.0,1.0,15.3,-2.0
2015-11-08,NYK,False,False,L,28,6.0,5.0,3.0,3.0,0.0,2.0,3.0,7.0,0.429,0.0,0.0,0.0,0.0,1.0,0.0,6.5,-11.0
2015-11-10,MIA,False,False,L,21,4.0,4.0,4.0,1.0,0.0,2.0,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,3.2,-20.0
2015-11-11,ORL,False,True,L,31,14.0,6.0,3.0,1.0,1.0,3.0,6.0,15.0,0.4,2.0,5.0,0.4,0.0,0.0,0.0,8.1,-1.0
2015-11-13,DAL,False,False,L,24,9.0,6.0,5.0,1.0,0.0,1.0,3.0,7.0,0.429,2.0,4.0,0.5,1.0,2.0,0.5,9.4,2.0
2015-11-15,DET,True,False,W,21,9.0,5.0,2.0,0.0,0.0,1.0,3.0,9.0,0.333,1.0,6.0,0.167,2.0,2.0,1.0,5.8,-7.0
2015-11-16,PHX,False,True,L,27,13.0,4.0,2.0,1.0,1.0,1.0,5.0,13.0,0.385,1.0,3.0,0.333,2.0,2.0,1.0,9.2,-5.0
2015-11-20,TOR,True,False,L,34,17.0,5.0,2.0,1.0,1.0,2.0,7.0,16.0,0.438,3.0,7.0,0.429,0.0,0.0,0.0,10.0,9.0
2015-11-22,POR,True,False,L,36,13.0,9.0,6.0,0.0,0.0,3.0,4.0,10.0,0.4,2.0,4.0,0.5,3.0,4.0,0.75,11.1,-17.0
2015-11-24,GSW,False,False,L,26,8.0,5.0,2.0,2.0,0.0,1.0,4.0,9.0,0.444,0.0,3.0,0.0,0.0,0.0,0.0,6.8,-19.0
2015-11-28,POR,False,False,L,38,16.0,4.0,5.0,0.0,0.0,2.0,6.0,11.0,0.545,2.0,4.0,0.5,2.0,2.0,1.0,11.8,-10.0
