date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-01-15,CHI,False,False,W,25,19.0,4.0,0.0,0.0,0.0,1.0,7.0,8.0,0.875,5.0,6.0,0.833,0.0,0.0,0.0,16.0,9.0
2025-01-25,TOR,True,False,L,7,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,3.9,3.0
2025-04-01,POR,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-05,NYK,True,False,L,5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,8.0
2025-04-10,BKN,False,False,W,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-4.0
2025-04-13,ORL,True,False,W,31,17.0,4.0,2.0,0.0,0.0,3.0,7.0,12.0,0.583,3.0,7.0,0.429,0.0,0.0,0.0,9.8,13.0
2025-11-12,ATL,True,False,L,14,2.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.3,-16.0
2026-01-30,BOS,False,False,L,7,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.6,4.0
2026-02-01,WAS,False,False,L,24,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.2,5.0
2026-02-06,LAC,True,False,L,14,8.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,4.5,1.0
2026-02-07,CLE,True,True,L,39,16.0,6.0,4.0,1.0,0.0,2.0,6.0,11.0,0.545,2.0,7.0,0.286,2.0,2.0,1.0,15.1,7.0
2026-02-09,NOP,False,False,L,28,5.0,3.0,2.0,0.0,0.0,1.0,2.0,9.0,0.222,1.0,7.0,0.143,0.0,0.0,0.0,0.4,-19.0
2026-02-11,UTA,False,False,L,33,9.0,6.0,4.0,1.0,0.0,1.0,3.0,12.0,0.25,1.0,7.0,0.143,2.0,2.0,1.0,7.2,-20.0
2026-02-19,ORL,True,False,L,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-15.0
2026-02-21,SAS,False,False,L,18,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,5.6,6.0
2026-02-23,MEM,False,False,W,26,19.0,5.0,1.0,0.0,0.0,1.0,6.0,12.0,0.5,4.0,9.0,0.444,3.0,4.0,0.75,13.0,-4.0
2026-02-25,HOU,False,False,L,24,9.0,2.0,0.0,2.0,0.0,0.0,4.0,10.0,0.4,1.0,5.0,0.2,0.0,0.0,0.0,5.4,-18.0
2026-02-26,DAL,False,True,W,26,19.0,4.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,18.1,-5.0
2026-03-01,LAL,False,False,L,25,2.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,-0.2,-30.0
2026-03-03,PHX,True,False,L,21,2.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.8,-11.0
2026-03-05,NOP,True,False,L,18,6.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,5.9,-16.0
2026-03-08,CHI,True,False,W,35,16.0,3.0,2.0,0.0,0.0,1.0,6.0,13.0,0.462,2.0,7.0,0.286,2.0,3.0,0.667,9.4,4.0
2026-03-10,IND,True,False,W,31,10.0,6.0,0.0,2.0,0.0,0.0,2.0,8.0,0.25,1.0,5.0,0.2,5.0,5.0,1.0,8.2,8.0
2026-03-11,CHA,True,True,L,30,13.0,4.0,0.0,1.0,0.0,1.0,5.0,11.0,0.455,3.0,7.0,0.429,0.0,0.0,0.0,7.7,3.0
2026-03-14,LAC,False,False,W,31,15.0,5.0,2.0,2.0,0.0,0.0,6.0,9.0,0.667,3.0,4.0,0.75,0.0,0.0,0.0,14.8,10.0
2026-03-15,UTA,True,True,W,31,10.0,4.0,2.0,2.0,0.0,2.0,3.0,14.0,0.214,2.0,11.0,0.182,2.0,2.0,1.0,2.8,-8.0
