date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2024-10-22,MIN,True,False,W,16,5.0,1.0,2.0,1.0,0.0,1.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,4.3,7.0
2024-10-25,PHX,True,False,W,13,8.0,1.0,2.0,1.0,0.0,0.0,2.0,5.0,0.4,2.0,4.0,0.5,2.0,2.0,1.0,8.0,13.0
2024-10-26,SAC,True,True,W,20,10.0,0.0,1.0,0.0,0.0,1.0,4.0,7.0,0.571,2.0,5.0,0.4,0.0,0.0,0.0,5.2,16.0
2024-10-28,PHX,False,False,L,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.8,-13.0
2024-10-30,CLE,False,False,L,22,18.0,3.0,1.0,0.0,0.0,1.0,6.0,12.0,0.5,2.0,7.0,0.286,4.0,4.0,1.0,12.2,-11.0
2024-11-01,TOR,False,False,W,19,5.0,3.0,1.0,0.0,0.0,1.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,2.5,4.0
2024-11-04,DET,False,False,L,9,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,-8.0
2024-11-06,MEM,False,False,L,27,3.0,4.0,2.0,1.0,0.0,1.0,1.0,7.0,0.143,1.0,7.0,0.143,0.0,0.0,0.0,1.5,-14.0
2024-11-08,PHI,True,False,W,16,2.0,4.0,0.0,0.0,0.0,0.0,1.0,8.0,0.125,0.0,5.0,0.0,0.0,0.0,0.0,-2.0,17.0
2024-11-10,TOR,True,False,W,15,5.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,4.7,14.0
2024-11-13,MEM,True,False,W,31,19.0,2.0,3.0,1.0,0.0,1.0,7.0,8.0,0.875,5.0,5.0,1.0,0.0,0.0,0.0,17.3,17.0
2024-11-15,SAS,False,False,W,26,14.0,3.0,0.0,0.0,0.0,0.0,6.0,11.0,0.545,2.0,4.0,0.5,0.0,0.0,0.0,10.0,-9.0
2024-11-16,NOP,False,True,W,37,27.0,7.0,2.0,2.0,0.0,0.0,10.0,17.0,0.588,5.0,10.0,0.5,2.0,2.0,1.0,25.0,11.0
2024-11-19,UTA,True,False,W,38,37.0,5.0,0.0,1.0,0.0,0.0,12.0,16.0,0.75,9.0,12.0,0.75,4.0,5.0,0.8,31.9,18.0
2024-11-21,ORL,True,False,L,39,17.0,4.0,1.0,0.0,0.0,0.0,7.0,14.0,0.5,3.0,7.0,0.429,0.0,0.0,0.0,10.7,5.0
2024-11-23,DEN,True,False,L,28,9.0,5.0,1.0,0.0,0.0,0.0,3.0,7.0,0.429,1.0,4.0,0.25,2.0,2.0,1.0,7.5,-17.0
2024-11-26,PHX,False,False,L,19,7.0,4.0,0.0,0.0,0.0,0.0,2.0,7.0,0.286,1.0,4.0,0.25,2.0,3.0,0.667,4.1,-20.0
2024-11-27,SAS,False,True,W,31,20.0,8.0,1.0,2.0,0.0,1.0,8.0,15.0,0.533,4.0,10.0,0.4,0.0,0.0,0.0,16.0,9.0
2024-11-29,OKC,True,False,L,33,20.0,6.0,4.0,0.0,0.0,0.0,7.0,17.0,0.412,6.0,13.0,0.462,0.0,0.0,0.0,15.1,-10.0
2024-12-01,UTA,False,False,W,30,6.0,7.0,1.0,1.0,0.0,0.0,2.0,10.0,0.2,1.0,5.0,0.2,1.0,2.0,0.5,2.4,-19.0
2024-12-02,MIN,False,True,L,28,6.0,3.0,0.0,0.0,0.0,1.0,3.0,8.0,0.375,0.0,5.0,0.0,0.0,2.0,0.0,0.3,-13.0
2024-12-04,MIA,False,False,L,23,2.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,1.0,-20.0
2024-12-06,ATL,False,False,L,28,14.0,3.0,2.0,0.0,0.0,0.0,6.0,11.0,0.545,2.0,6.0,0.333,0.0,0.0,0.0,9.8,-2.0
2024-12-08,POR,True,False,W,22,6.0,8.0,1.0,1.0,0.0,2.0,3.0,9.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,2.2,0.0
2024-12-13,MIN,False,False,L,19,6.0,9.0,1.0,0.0,0.0,1.0,2.0,5.0,0.4,0.0,3.0,0.0,2.0,4.0,0.5,5.3,-7.0
2024-12-15,MEM,True,False,W,13,5.0,3.0,0.0,0.0,0.0,2.0,2.0,4.0,0.5,0.0,2.0,0.0,1.0,2.0,0.5,1.1,-2.0
2024-12-19,SAC,False,False,W,10,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,-0.5,-4.0
2024-12-21,SAC,False,False,W,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-6.0
2024-12-23,DET,True,False,L,16,7.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,6.3,-10.0
2024-12-25,GSW,False,False,W,25,13.0,7.0,2.0,0.0,1.0,0.0,5.0,9.0,0.556,1.0,5.0,0.2,2.0,2.0,1.0,13.7,13.0
2024-12-28,SAC,True,False,W,33,18.0,2.0,1.0,0.0,0.0,0.0,6.0,10.0,0.6,2.0,5.0,0.4,4.0,4.0,1.0,14.7,9.0
2024-12-31,CLE,True,False,L,22,4.0,3.0,1.0,0.0,0.0,0.0,2.0,8.0,0.25,0.0,5.0,0.0,0.0,0.0,0.0,1.2,-3.0
2025-01-02,POR,True,False,W,17,6.0,1.0,0.0,0.0,0.0,1.0,2.0,6.0,0.333,0.0,3.0,0.0,2.0,2.0,1.0,0.7,-3.0
2025-01-03,ATL,True,True,W,15,13.0,4.0,1.0,1.0,0.0,1.0,4.0,7.0,0.571,3.0,4.0,0.75,2.0,2.0,1.0,11.2,6.0
2025-01-05,HOU,False,False,L,17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.8,-3.0
2025-01-07,DAL,False,False,L,16,13.0,0.0,0.0,0.0,1.0,1.0,5.0,8.0,0.625,2.0,5.0,0.4,1.0,2.0,0.5,8.3,-8.0
2025-01-13,SAS,True,False,L,14,5.0,3.0,1.0,1.0,0.0,0.0,1.0,5.0,0.2,0.0,4.0,0.0,3.0,3.0,1.0,4.1,-1.0
2025-01-15,MIA,True,False,W,14,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,0.1,-4.0
2025-01-17,BKN,True,False,W,18,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,3.0,0.667,0.2,6.0
2025-01-19,LAC,False,False,L,16,10.0,4.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,2.0,3.0,0.667,2.0,2.0,1.0,9.1,3.0
2025-01-21,WAS,True,False,W,8,3.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,1.2,8.0
2025-01-23,BOS,True,False,W,14,13.0,4.0,0.0,0.0,0.0,0.0,5.0,7.0,0.714,3.0,4.0,0.75,0.0,0.0,0.0,10.5,3.0
2025-01-25,GSW,False,False,W,23,13.0,1.0,1.0,0.0,0.0,1.0,5.0,9.0,0.556,3.0,7.0,0.429,0.0,0.0,0.0,8.3,-10.0
2025-01-27,CHA,False,False,W,21,2.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.3,-5.0
2025-01-28,PHI,False,True,L,23,24.0,5.0,0.0,0.0,0.0,1.0,8.0,13.0,0.615,5.0,8.0,0.625,3.0,3.0,1.0,18.2,-14.0
2025-01-30,WAS,False,False,W,22,10.0,1.0,0.0,0.0,0.0,1.0,3.0,9.0,0.333,2.0,7.0,0.286,2.0,2.0,1.0,4.2,13.0
2025-02-01,NYK,False,False,W,10,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,-1.5,-8.0
2025-02-04,LAC,False,False,W,21,14.0,4.0,1.0,0.0,0.0,0.0,6.0,9.0,0.667,2.0,4.0,0.5,0.0,0.0,0.0,12.0,15.0
2025-02-12,UTA,False,False,L,17,10.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,0.429,3.0,7.0,0.429,1.0,2.0,0.5,6.5,-3.0
2025-02-19,CHA,True,False,L,13,3.0,5.0,0.0,1.0,0.0,1.0,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,1.4,-16.0
2025-02-20,POR,False,True,W,13,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,7.0
2025-02-22,DEN,False,False,W,9,4.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.333,0.0,2.0,0.0,2.0,2.0,1.0,2.9,3.0
2025-02-25,DAL,True,False,W,10,5.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,2.3,0.0
2025-02-27,MIN,True,False,W,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-2.3,-2.0
2025-02-28,LAC,True,True,W,18,8.0,1.0,1.0,1.0,0.0,1.0,3.0,6.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,5.2,2.0
2025-03-02,LAC,True,False,W,25,19.0,4.0,0.0,2.0,0.0,0.0,7.0,10.0,0.7,5.0,8.0,0.625,0.0,0.0,0.0,18.4,-13.0
2025-03-04,NOP,True,False,W,26,13.0,4.0,3.0,0.0,0.0,0.0,5.0,9.0,0.556,2.0,6.0,0.333,1.0,2.0,0.5,11.6,2.0
2025-03-06,NYK,True,False,W,21,11.0,4.0,1.0,0.0,0.0,1.0,4.0,8.0,0.5,3.0,7.0,0.429,0.0,0.0,0.0,8.3,-1.0
2025-03-08,BOS,False,False,L,24,9.0,5.0,1.0,0.0,1.0,0.0,4.0,6.0,0.667,1.0,3.0,0.333,0.0,0.0,0.0,9.7,9.0
2025-03-10,BKN,False,False,L,41,19.0,4.0,1.0,0.0,0.0,1.0,8.0,18.0,0.444,3.0,9.0,0.333,0.0,2.0,0.0,8.9,10.0
2025-03-13,MIL,False,False,L,22,10.0,5.0,3.0,0.0,0.0,1.0,4.0,7.0,0.571,2.0,4.0,0.5,0.0,0.0,0.0,8.1,-3.0
