date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-10-26,TOR,True,False,L,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-3.0
2019-11-06,ATL,False,False,W,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-6.0
2019-11-09,HOU,True,False,L,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-3.0
2019-11-12,NYK,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2019-11-18,MIL,True,False,L,20,21.0,5.0,1.0,0.0,2.0,0.0,10.0,12.0,0.833,0.0,0.0,0.0,1.0,2.0,0.5,20.2,-4.0
2019-11-20,DET,True,False,W,15,2.0,3.0,0.0,0.0,2.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-1.0
2019-11-22,MIA,True,False,L,15,6.0,3.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.2,3.0
2019-11-23,CHA,False,True,W,14,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,-6.0
2019-11-25,POR,True,False,L,16,6.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,5.2,-4.0
2019-11-27,GSW,False,False,L,9,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.2,-4.0
2019-11-29,POR,False,False,L,8,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,4.4,-1.0
2019-12-02,SAC,False,False,W,11,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,4.9,9.0
2019-12-04,MEM,True,False,W,15,4.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.5,5.9,1.0
2019-12-06,GSW,True,False,L,13,6.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,-7.0
2019-12-08,MIA,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-3.0
2019-12-09,TOR,True,True,L,20,14.0,3.0,1.0,1.0,3.0,0.0,7.0,9.0,0.778,0.0,0.0,0.0,0.0,0.0,0.0,15.6,14.0
2019-12-11,ATL,True,False,W,10,4.0,0.0,2.0,0.0,1.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3.0
2019-12-13,CHA,True,False,L,20,4.0,2.0,0.0,0.0,6.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,6.7,10.0
2019-12-16,OKC,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2019-12-18,WAS,False,False,W,11,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,-6.0
2019-12-21,DET,False,False,W,13,4.0,4.0,0.0,0.0,2.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,3.5,-4.0
2019-12-23,ORL,False,False,L,15,5.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,5.7,-6.0
2019-12-28,ATL,True,False,W,17,6.0,4.0,0.0,0.0,2.0,2.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.3,4.0
2019-12-30,MIL,True,False,L,17,8.0,4.0,2.0,2.0,1.0,0.0,4.0,7.0,0.571,0.0,0.0,0.0,0.0,1.0,0.0,10.8,-2.0
