date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-10-23,ORL,False,False,L,32,8.0,2.0,5.0,1.0,0.0,3.0,3.0,9.0,0.333,2.0,4.0,0.5,0.0,0.0,0.0,5.4,-7.0
2019-10-26,IND,True,False,W,29,12.0,1.0,4.0,1.0,0.0,4.0,5.0,12.0,0.417,2.0,5.0,0.4,0.0,0.0,0.0,5.3,0.0
2019-10-28,MIL,False,False,L,23,9.0,1.0,2.0,0.0,0.0,2.0,4.0,11.0,0.364,1.0,5.0,0.2,0.0,0.0,0.0,1.4,-11.0
2019-10-30,CHI,True,False,W,25,9.0,1.0,3.0,0.0,0.0,4.0,4.0,11.0,0.364,1.0,4.0,0.25,0.0,0.0,0.0,0.1,1.0
2019-11-01,IND,False,False,L,26,2.0,1.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,2.0,4.0,0.5,-3.4,2.0
2019-11-03,DAL,True,False,L,26,9.0,1.0,5.0,2.0,0.0,2.0,3.0,8.0,0.375,1.0,4.0,0.25,2.0,2.0,1.0,8.4,-11.0
2019-11-05,BOS,True,False,L,28,4.0,3.0,1.0,1.0,0.0,2.0,2.0,11.0,0.182,0.0,3.0,0.0,0.0,0.0,0.0,-2.7,-5.0
2019-11-08,WAS,False,False,W,32,15.0,2.0,6.0,2.0,0.0,2.0,6.0,11.0,0.545,1.0,2.0,0.5,2.0,2.0,1.0,14.5,13.0
2019-11-10,NYK,False,False,W,34,12.0,3.0,6.0,1.0,0.0,4.0,3.0,8.0,0.375,0.0,1.0,0.0,6.0,6.0,1.0,9.7,26.0
2019-11-12,PHI,False,False,L,28,6.0,3.0,2.0,3.0,0.0,0.0,3.0,10.0,0.3,0.0,2.0,0.0,0.0,0.0,0.0,4.7,-1.0
2019-11-14,MIA,True,False,L,25,11.0,1.0,2.0,1.0,0.0,2.0,4.0,10.0,0.4,3.0,7.0,0.429,0.0,0.0,0.0,5.9,-16.0
2019-11-17,PHI,True,False,L,25,11.0,0.0,2.0,2.0,0.0,2.0,4.0,13.0,0.308,1.0,3.0,0.333,2.0,2.0,1.0,4.1,-14.0
2019-11-18,NYK,False,True,L,29,10.0,2.0,2.0,0.0,0.0,2.0,4.0,9.0,0.444,2.0,5.0,0.4,0.0,2.0,0.0,3.3,-27.0
2019-11-20,MIA,False,False,L,25,10.0,0.0,3.0,1.0,0.0,4.0,4.0,12.0,0.333,2.0,7.0,0.286,0.0,0.0,0.0,1.9,-11.0
2019-11-22,DAL,False,False,L,34,23.0,1.0,4.0,0.0,0.0,2.0,9.0,16.0,0.563,5.0,8.0,0.625,0.0,0.0,0.0,16.5,-17.0
2019-11-23,POR,True,True,W,27,9.0,2.0,1.0,1.0,0.0,1.0,3.0,12.0,0.25,1.0,6.0,0.167,2.0,2.0,1.0,2.3,-3.0
2019-11-25,BKN,True,False,L,22,11.0,3.0,1.0,0.0,0.0,5.0,4.0,10.0,0.4,3.0,5.0,0.6,0.0,0.0,0.0,2.2,-4.0
2019-11-27,ORL,True,False,L,31,16.0,1.0,1.0,0.0,0.0,8.0,5.0,8.0,0.625,2.0,4.0,0.5,4.0,4.0,1.0,4.2,-12.0
2019-11-29,MIL,True,False,L,35,21.0,1.0,6.0,0.0,0.0,1.0,8.0,14.0,0.571,5.0,7.0,0.714,0.0,0.0,0.0,17.9,-3.0
2019-12-03,DET,True,False,L,28,7.0,1.0,0.0,0.0,0.0,1.0,3.0,9.0,0.333,0.0,2.0,0.0,1.0,1.0,1.0,0.8,-15.0
2019-12-06,ORL,True,False,L,30,9.0,5.0,1.0,0.0,0.0,2.0,3.0,8.0,0.375,1.0,5.0,0.2,2.0,2.0,1.0,3.6,9.0
2019-12-07,PHI,False,True,L,31,17.0,5.0,3.0,0.0,0.0,2.0,7.0,20.0,0.35,3.0,9.0,0.333,0.0,0.0,0.0,7.8,-32.0
2019-12-09,BOS,False,False,L,24,9.0,2.0,2.0,0.0,0.0,2.0,4.0,11.0,0.364,1.0,3.0,0.333,0.0,0.0,0.0,2.5,-31.0
2019-12-11,HOU,True,False,L,22,11.0,1.0,1.0,0.0,0.0,2.0,4.0,8.0,0.5,3.0,6.0,0.5,0.0,0.0,0.0,5.6,-12.0
2019-12-12,SAS,False,True,W,25,8.0,3.0,5.0,0.0,0.0,5.0,3.0,8.0,0.375,2.0,6.0,0.333,0.0,0.0,0.0,3.8,4.0
2019-12-14,MIL,False,False,L,30,10.0,4.0,5.0,0.0,0.0,3.0,4.0,11.0,0.364,2.0,5.0,0.4,0.0,0.0,0.0,6.0,0.0
2019-12-16,TOR,False,False,L,38,20.0,2.0,5.0,2.0,0.0,1.0,7.0,14.0,0.5,4.0,8.0,0.5,2.0,2.0,1.0,17.7,-16.0
2019-12-18,CHA,True,False,W,27,7.0,1.0,6.0,0.0,0.0,3.0,3.0,10.0,0.3,1.0,7.0,0.143,0.0,0.0,0.0,1.9,6.0
2019-12-20,MEM,True,False,W,29,14.0,5.0,2.0,1.0,0.0,1.0,4.0,10.0,0.4,2.0,5.0,0.4,4.0,4.0,1.0,11.9,1.0
2019-12-23,ATL,True,False,W,26,21.0,1.0,1.0,0.0,0.0,2.0,9.0,14.0,0.643,3.0,5.0,0.6,0.0,0.0,0.0,12.6,-1.0
2019-12-27,BOS,False,False,L,28,2.0,4.0,0.0,1.0,0.0,4.0,1.0,7.0,0.143,0.0,2.0,0.0,0.0,0.0,0.0,-5.1,-21.0
2019-12-28,MIN,False,True,W,29,18.0,2.0,3.0,2.0,0.0,5.0,8.0,11.0,0.727,2.0,4.0,0.5,0.0,1.0,0.0,11.2,11.0
2019-12-31,TOR,False,False,L,34,12.0,1.0,4.0,1.0,0.0,1.0,5.0,11.0,0.455,2.0,7.0,0.286,0.0,0.0,0.0,8.6,-14.0
2020-01-02,CHA,True,False,L,34,14.0,5.0,8.0,1.0,0.0,1.0,5.0,12.0,0.417,3.0,9.0,0.333,1.0,2.0,0.5,14.7,17.0
2020-01-04,OKC,True,False,L,35,20.0,1.0,7.0,1.0,0.0,3.0,6.0,13.0,0.462,3.0,7.0,0.429,5.0,6.0,0.833,15.3,-9.0
