date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-22,DAL,False,False,W,4,5.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.7,4.0
2025-10-27,TOR,True,False,W,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025-11-02,PHX,False,False,L,5,2.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,0.0,1.9,9.0
2025-11-18,MEM,True,False,W,7,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,7.0
2025-11-20,ATL,True,False,W,19,12.0,5.0,6.0,3.0,1.0,1.0,5.0,7.0,0.714,1.0,1.0,1.0,1.0,2.0,0.5,17.1,25.0
2025-11-23,PHX,False,False,L,13,0.0,2.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.1,-10.0
2025-11-30,MIN,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2025-12-02,MEM,True,False,W,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-1.0
2025-12-03,ORL,False,True,W,5,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,3.0
2025-12-05,CLE,False,False,L,10,9.0,0.0,4.0,1.0,0.0,0.0,3.0,5.0,0.6,2.0,3.0,0.667,1.0,1.0,1.0,9.7,-2.0
2026-01-07,LAL,True,False,W,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
