date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-10-24,CHA,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-2.0
2021-10-25,WAS,True,True,W,4,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,-2.0
2021-10-27,MIA,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-10-31,DET,True,False,W,7,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,3.8,-1.0
2021-11-08,CHI,False,False,L,3,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-4.0
2021-11-10,ORL,False,False,W,7,4.0,5.0,0.0,1.0,1.0,1.0,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,5.0,2.0
2021-11-16,GSW,True,False,L,9,4.0,7.0,0.0,0.0,1.0,3.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.5,9.0
2021-11-24,BOS,False,False,W,3,4.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,0.0,3.7,-2.0
2021-12-14,TOR,True,False,W,13,7.0,7.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.25,6.5,-7.0
2021-12-16,PHI,True,False,W,13,3.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,3.5,4.0
2022-01-03,MEM,True,False,L,9,6.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,13.0
2022-01-07,MIL,True,False,L,7,6.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,5.7,8.0
2022-01-09,SAS,True,False,W,11,7.0,6.0,0.0,1.0,0.0,1.0,3.0,8.0,0.375,0.0,0.0,0.0,1.0,1.0,1.0,5.2,1.0
2022-01-10,POR,False,True,L,24,14.0,7.0,2.0,0.0,3.0,3.0,6.0,6.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,14.4,14.0
2022-01-12,CHI,False,False,W,22,20.0,7.0,0.0,0.0,1.0,2.0,10.0,14.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,13.8,-5.0
2022-01-13,OKC,True,True,L,20,4.0,6.0,1.0,0.0,1.0,1.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.5,-17.0
2022-01-15,NOP,True,False,W,27,12.0,10.0,0.0,0.0,1.0,1.0,6.0,14.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,7.3,2.0
2022-01-17,CLE,False,False,L,24,10.0,6.0,2.0,2.0,1.0,4.0,4.0,8.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,7.9,7.0
2022-01-19,WAS,False,False,W,16,14.0,6.0,2.0,1.0,1.0,0.0,5.0,6.0,0.833,0.0,0.0,0.0,4.0,4.0,1.0,15.5,-3.0
2022-01-21,SAS,False,False,W,14,6.0,10.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.4,2.0
2022-01-23,MIN,False,False,L,22,8.0,9.0,0.0,0.0,1.0,2.0,4.0,7.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,7.3,8.0
2022-01-25,LAL,True,False,L,11,4.0,8.0,0.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.2,4.0
2022-02-01,PHX,False,False,L,3,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
2022-02-04,UTA,False,False,L,16,11.0,8.0,2.0,1.0,1.0,1.0,5.0,10.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,12.1,0.0
2022-02-06,DEN,False,False,L,14,4.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,1.9,-1.0
2022-02-08,BOS,True,False,L,24,2.0,9.0,2.0,0.0,1.0,1.0,1.0,6.0,0.167,0.0,0.0,0.0,0.0,4.0,0.0,2.0,-3.0
