date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2019-10-24,DET,False,False,W,25,14.0,2.0,0.0,0.0,0.0,2.0,5.0,8.0,0.625,2.0,3.0,0.667,2.0,2.0,1.0,9.0,9.0
2019-10-26,ORL,True,False,W,22,6.0,3.0,1.0,0.0,1.0,0.0,3.0,5.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,4.4,21.0
2019-10-28,PHI,True,False,L,30,14.0,9.0,1.0,1.0,0.0,4.0,4.0,8.0,0.5,2.0,4.0,0.5,4.0,7.0,0.571,8.8,10.0
2019-10-29,MIA,False,True,L,28,4.0,3.0,2.0,2.0,0.0,2.0,2.0,8.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,-0.5,-10.0
2019-10-31,MIA,True,False,L,28,4.0,3.0,1.0,1.0,1.0,3.0,1.0,9.0,0.111,0.0,5.0,0.0,2.0,2.0,1.0,-0.8,-14.0
2019-11-05,SAS,True,False,W,36,16.0,8.0,1.0,0.0,0.0,0.0,6.0,13.0,0.462,2.0,6.0,0.333,2.0,2.0,1.0,12.4,11.0
2019-11-06,CHI,True,True,L,27,4.0,4.0,3.0,0.0,0.0,1.0,1.0,7.0,0.143,0.0,2.0,0.0,2.0,2.0,1.0,1.0,-23.0
2019-11-08,SAC,True,False,L,22,4.0,2.0,2.0,0.0,0.0,1.0,2.0,7.0,0.286,0.0,2.0,0.0,0.0,0.0,0.0,0.5,-9.0
2019-11-10,POR,False,False,L,39,14.0,5.0,2.0,0.0,0.0,1.0,5.0,14.0,0.357,4.0,9.0,0.444,0.0,0.0,0.0,6.9,5.0
2019-11-12,DEN,False,False,W,40,12.0,6.0,2.0,0.0,1.0,0.0,4.0,9.0,0.444,2.0,3.0,0.667,2.0,4.0,0.5,9.2,-1.0
2019-11-14,PHX,False,False,L,34,14.0,3.0,0.0,6.0,0.0,3.0,5.0,15.0,0.333,2.0,6.0,0.333,2.0,2.0,1.0,9.0,-3.0
2019-11-16,LAC,False,False,L,26,12.0,2.0,1.0,1.0,0.0,2.0,5.0,14.0,0.357,1.0,5.0,0.2,1.0,3.0,0.333,2.5,-20.0
2019-11-17,LAL,False,True,L,34,11.0,2.0,3.0,0.0,0.0,0.0,4.0,9.0,0.444,2.0,3.0,0.667,1.0,3.0,0.333,7.8,-10.0
2019-11-20,MIL,True,False,L,29,27.0,11.0,2.0,0.0,0.0,1.0,8.0,12.0,0.667,3.0,3.0,1.0,8.0,9.0,0.889,23.5,-7.0
2019-11-22,DET,False,False,L,35,18.0,2.0,4.0,0.0,1.0,1.0,7.0,17.0,0.412,1.0,5.0,0.2,3.0,3.0,1.0,11.2,-10.0
2019-11-23,TOR,True,True,L,35,26.0,1.0,4.0,0.0,0.0,4.0,10.0,17.0,0.588,6.0,10.0,0.6,0.0,0.0,0.0,16.0,4.0
2019-11-25,MIN,True,False,L,37,7.0,3.0,2.0,0.0,1.0,5.0,3.0,10.0,0.3,1.0,4.0,0.25,0.0,0.0,0.0,-2.0,-9.0
2019-11-27,MIL,False,False,L,35,10.0,5.0,1.0,0.0,0.0,2.0,2.0,11.0,0.182,2.0,6.0,0.333,4.0,4.0,1.0,2.1,-4.0
2019-11-29,IND,False,False,L,41,7.0,3.0,2.0,0.0,0.0,5.0,3.0,8.0,0.375,1.0,4.0,0.25,0.0,0.0,0.0,-1.3,10.0
2019-11-30,HOU,False,True,L,29,14.0,5.0,1.0,1.0,0.0,0.0,5.0,15.0,0.333,3.0,9.0,0.333,1.0,1.0,1.0,7.1,-25.0
2019-12-02,GSW,True,False,W,32,18.0,4.0,1.0,1.0,0.0,1.0,6.0,14.0,0.429,2.0,6.0,0.333,4.0,4.0,1.0,12.5,3.0
2019-12-08,CHA,False,False,W,28,10.0,3.0,5.0,1.0,0.0,1.0,3.0,9.0,0.333,1.0,6.0,0.167,3.0,3.0,1.0,8.1,6.0
2019-12-10,MIA,False,False,L,40,28.0,4.0,3.0,0.0,1.0,0.0,11.0,17.0,0.647,5.0,10.0,0.5,1.0,4.0,0.25,22.5,-17.0
2019-12-11,CHI,False,True,L,24,6.0,2.0,1.0,0.0,1.0,0.0,2.0,9.0,0.222,2.0,5.0,0.4,0.0,0.0,0.0,2.5,-1.0
2019-12-13,IND,True,False,L,37,21.0,4.0,2.0,2.0,0.0,1.0,7.0,16.0,0.438,0.0,4.0,0.0,7.0,9.0,0.778,15.0,-16.0
2019-12-15,LAL,True,False,L,37,8.0,6.0,2.0,1.0,1.0,4.0,2.0,10.0,0.2,2.0,6.0,0.333,2.0,2.0,1.0,1.1,-12.0
2019-12-17,NYK,False,False,L,31,19.0,5.0,4.0,1.0,0.0,0.0,8.0,19.0,0.421,0.0,5.0,0.0,3.0,4.0,0.75,11.8,-4.0
2019-12-19,UTA,True,False,L,23,5.0,2.0,0.0,0.0,0.0,1.0,2.0,6.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,-0.4,-10.0
2019-12-21,BKN,False,False,L,38,14.0,5.0,2.0,1.0,0.0,0.0,5.0,12.0,0.417,2.0,6.0,0.333,2.0,2.0,1.0,10.3,-2.0
2019-12-23,CLE,False,False,L,39,23.0,3.0,1.0,0.0,1.0,1.0,10.0,19.0,0.526,1.0,7.0,0.143,2.0,4.0,0.5,14.2,1.0
2019-12-27,MIL,True,False,L,23,5.0,0.0,1.0,2.0,0.0,3.0,2.0,8.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,-0.9,-36.0
