date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2008-11-01,UTA,False,False,L,3,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.0
2008-11-22,NJN,False,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-24,NOH,True,False,L,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.5,2.0
2008-11-26,DEN,True,False,L,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9,-12.0
2008-12-06,MIN,False,False,W,9,2.0,5.0,0.0,0.0,0.0,3.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,-10.0
2008-12-08,ORL,True,False,L,4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
2008-12-17,CHI,False,False,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-19,IND,False,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-20,MIL,False,True,L,15,4.0,6.0,0.0,1.0,1.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.1,4.0
2008-12-22,TOR,True,False,L,29,8.0,8.0,0.0,0.0,3.0,1.0,3.0,5.0,0.6,0.0,0.0,0.0,2.0,5.0,0.4,8.0,-11.0
