date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2018-10-17,DAL,True,False,W,36,18.0,10.0,6.0,1.0,1.0,0.0,8.0,11.0,0.727,0.0,0.0,0.0,2.0,2.0,1.0,22.0,17.0
2018-10-20,DEN,False,False,L,23,5.0,8.0,1.0,0.0,0.0,2.0,2.0,7.0,0.286,0.0,0.0,0.0,1.0,2.0,0.5,0.0,3.0
2018-10-22,GSW,False,False,L,31,20.0,14.0,5.0,1.0,0.0,2.0,6.0,11.0,0.545,0.0,0.0,0.0,8.0,8.0,1.0,22.2,-12.0
2018-10-24,LAL,True,False,L,31,22.0,11.0,3.0,0.0,3.0,0.0,11.0,14.0,0.786,0.0,0.0,0.0,0.0,1.0,0.0,22.9,-4.0
2018-10-27,MEM,False,False,L,33,24.0,8.0,5.0,1.0,0.0,0.0,12.0,13.0,0.923,0.0,0.0,0.0,0.0,0.0,0.0,26.6,-18.0
2018-10-28,OKC,False,True,L,32,16.0,11.0,3.0,1.0,0.0,3.0,8.0,17.0,0.471,0.0,0.0,0.0,0.0,0.0,0.0,9.9,-1.0
2018-10-31,SAS,True,False,L,31,13.0,8.0,0.0,0.0,0.0,3.0,6.0,13.0,0.462,0.0,0.0,0.0,1.0,1.0,1.0,5.7,-17.0
2018-11-02,TOR,True,False,L,35,17.0,18.0,2.0,0.0,2.0,1.0,7.0,10.0,0.7,0.0,0.0,0.0,3.0,6.0,0.5,21.2,-7.0
2018-11-04,MEM,True,False,W,37,9.0,8.0,6.0,3.0,2.0,5.0,3.0,4.0,0.75,0.0,0.0,0.0,3.0,4.0,0.75,12.6,4.0
2018-11-06,BKN,True,False,L,32,15.0,13.0,3.0,0.0,0.0,4.0,6.0,17.0,0.353,0.0,0.0,0.0,3.0,3.0,1.0,7.5,-14.0
2018-11-08,BOS,True,False,L,38,14.0,10.0,1.0,0.0,1.0,2.0,6.0,10.0,0.6,0.0,0.0,0.0,2.0,4.0,0.5,11.4,-11.0
2018-11-10,NOP,False,False,L,30,20.0,12.0,1.0,1.0,0.0,2.0,9.0,12.0,0.75,0.0,0.0,0.0,2.0,2.0,1.0,19.7,-16.0
2018-11-12,OKC,False,False,L,35,14.0,7.0,2.0,0.0,1.0,5.0,6.0,10.0,0.6,0.0,0.0,0.0,2.0,2.0,1.0,7.8,-15.0
2018-11-14,SAS,True,False,W,30,17.0,10.0,3.0,1.0,0.0,1.0,8.0,11.0,0.727,0.0,1.0,0.0,1.0,1.0,1.0,17.2,16.0
2018-11-17,OKC,True,False,L,36,21.0,9.0,1.0,1.0,0.0,2.0,10.0,19.0,0.526,0.0,1.0,0.0,1.0,2.0,0.5,12.9,3.0
2018-11-19,PHI,False,False,L,27,17.0,9.0,1.0,0.0,0.0,2.0,8.0,11.0,0.727,0.0,0.0,0.0,1.0,2.0,0.5,12.3,-4.0
2018-11-21,CHI,False,False,L,33,18.0,12.0,5.0,1.0,1.0,2.0,8.0,13.0,0.615,0.0,0.0,0.0,2.0,2.0,1.0,18.1,-7.0
2018-11-23,MIL,False,False,W,31,17.0,7.0,3.0,0.0,0.0,1.0,8.0,13.0,0.615,0.0,0.0,0.0,1.0,2.0,0.5,13.9,10.0
2018-11-25,DET,False,False,L,32,25.0,13.0,2.0,0.0,3.0,3.0,11.0,13.0,0.846,0.0,0.0,0.0,3.0,4.0,0.75,24.7,-3.0
2018-11-27,IND,True,False,L,31,18.0,12.0,0.0,0.0,1.0,1.0,6.0,11.0,0.545,0.0,0.0,0.0,6.0,6.0,1.0,15.6,-2.0
2018-11-28,LAC,False,True,L,30,4.0,9.0,0.0,2.0,3.0,2.0,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,5.2,-16.0
2018-11-30,ORL,True,False,L,32,19.0,6.0,2.0,0.0,0.0,1.0,9.0,16.0,0.563,0.0,0.0,0.0,1.0,2.0,0.5,13.2,-17.0
2018-12-02,LAL,False,False,L,25,10.0,10.0,2.0,0.0,1.0,1.0,4.0,12.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,7.3,0.0
2018-12-04,SAC,True,False,L,21,10.0,9.0,2.0,1.0,0.0,0.0,5.0,8.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,12.3,-19.0
2018-12-06,POR,False,False,L,27,11.0,8.0,3.0,1.0,1.0,2.0,5.0,13.0,0.385,0.0,0.0,0.0,1.0,2.0,0.5,8.1,-17.0
2018-12-07,MIA,True,True,L,29,16.0,11.0,2.0,0.0,1.0,3.0,8.0,11.0,0.727,0.0,0.0,0.0,0.0,0.0,0.0,13.5,-11.0
2018-12-10,LAC,True,False,L,28,20.0,12.0,3.0,0.0,3.0,2.0,9.0,14.0,0.643,0.0,0.0,0.0,2.0,4.0,0.5,18.4,-11.0
