date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2020-12-23,PHI,False,False,L,28,7.0,4.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.5,6.7,14.0
2020-12-26,ORL,True,False,L,15,5.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4.7,-7.0
2020-12-27,ORL,True,True,L,36,9.0,9.0,3.0,2.0,0.0,1.0,4.0,11.0,0.364,1.0,5.0,0.2,0.0,0.0,0.0,9.1,13.0
2020-12-29,CHI,True,False,L,26,9.0,4.0,4.0,2.0,1.0,1.0,3.0,6.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,9.7,-5.0
2020-12-31,CHI,True,False,L,25,6.0,4.0,3.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,6.6,5.0
2021-01-01,MIN,False,True,W,27,11.0,7.0,3.0,3.0,0.0,1.0,4.0,7.0,0.571,3.0,5.0,0.6,0.0,0.0,0.0,12.7,32.0
2021-01-03,BKN,False,False,W,16,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,1.5,-9.0
2021-01-06,PHI,False,False,L,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,-0.6,-8.0
2021-01-08,BOS,False,False,L,14,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.6,-21.0
2021-01-09,MIA,True,True,L,32,20.0,5.0,5.0,2.0,0.0,0.0,7.0,15.0,0.467,5.0,9.0,0.556,1.0,1.0,1.0,18.5,-4.0
2021-01-11,PHX,True,False,W,20,6.0,5.0,1.0,0.0,0.0,2.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.4,3.0
2021-01-31,BKN,True,False,W,16,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,-0.2,-9.0
2021-02-02,POR,True,False,L,23,13.0,7.0,3.0,0.0,0.0,0.0,5.0,6.0,0.833,2.0,3.0,0.667,1.0,1.0,1.0,15.0,4.0
2021-02-03,MIA,False,True,W,33,13.0,4.0,0.0,1.0,0.0,2.0,5.0,9.0,0.556,3.0,5.0,0.6,0.0,0.0,0.0,8.1,-9.0
2021-02-05,MIA,False,False,L,16,4.0,6.0,0.0,1.0,1.0,0.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,3.6,-11.0
2021-02-07,CHA,False,False,L,15,4.0,2.0,2.0,0.0,0.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,1.9,-22.0
2021-02-08,CHI,False,True,W,28,4.0,10.0,1.0,3.0,0.0,1.0,2.0,9.0,0.222,0.0,5.0,0.0,0.0,2.0,0.0,1.8,15.0
2021-02-10,TOR,True,False,L,27,9.0,7.0,3.0,0.0,0.0,2.0,3.0,7.0,0.429,2.0,6.0,0.333,1.0,2.0,0.5,6.3,-11.0
2021-02-12,NYK,True,False,L,22,8.0,6.0,0.0,0.0,0.0,2.0,3.0,9.0,0.333,1.0,5.0,0.2,1.0,2.0,0.5,1.9,-3.0
2021-02-14,BOS,True,False,W,28,8.0,10.0,0.0,0.0,0.0,2.0,2.0,9.0,0.222,1.0,5.0,0.2,3.0,4.0,0.75,1.9,-2.0
2021-02-15,HOU,True,True,W,20,5.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,1.9,6.0
2021-02-17,DEN,True,False,W,21,3.0,7.0,2.0,1.0,0.0,1.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,4.0,14.0
2021-02-20,POR,False,False,W,11,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,-4.0
2021-02-22,LAL,False,False,W,23,8.0,9.0,2.0,1.0,0.0,1.0,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,9.4,-4.0
2021-02-23,LAC,False,True,L,12,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.3,-13.0
2021-02-25,DEN,False,False,W,20,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0
2021-02-27,MIN,True,False,W,21,2.0,2.0,0.0,0.0,1.0,1.0,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,0.0,-3.1,17.0
2021-02-28,BOS,False,True,L,7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.6,-1.0
2021-03-02,MEM,True,False,L,26,10.0,7.0,1.0,0.0,0.0,2.0,4.0,7.0,0.571,2.0,4.0,0.5,0.0,0.0,0.0,7.5,6.0
2021-03-04,LAC,True,False,W,25,4.0,7.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,-13.0
2021-03-10,MEM,False,False,L,24,13.0,6.0,1.0,1.0,0.0,0.0,5.0,8.0,0.625,3.0,5.0,0.6,0.0,0.0,0.0,12.1,2.0
2021-03-12,PHI,True,False,L,28,4.0,5.0,1.0,0.0,0.0,1.0,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,-0.2,-6.0
2021-03-13,MIL,True,True,L,35,9.0,4.0,1.0,1.0,1.0,1.0,4.0,10.0,0.4,1.0,6.0,0.167,0.0,0.0,0.0,4.6,-11.0
2021-03-15,MIL,True,False,L,31,11.0,6.0,2.0,0.0,0.0,1.0,5.0,9.0,0.556,1.0,4.0,0.25,0.0,0.0,0.0,7.7,8.0
2021-03-17,SAC,True,False,L,18,6.0,2.0,1.0,0.0,1.0,1.0,3.0,5.0,0.6,0.0,2.0,0.0,0.0,0.0,0.0,3.9,-2.0
2021-03-18,UTA,True,True,W,20,2.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.6,2.0
2021-03-21,BKN,False,False,L,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.5,-18.0
2021-03-23,NYK,False,False,L,22,14.0,4.0,0.0,0.0,0.0,0.0,5.0,7.0,0.714,2.0,4.0,0.5,2.0,3.0,0.667,9.9,-5.0
2021-03-25,NYK,False,False,L,11,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.1,-1.0
2021-03-27,DET,True,False,W,27,5.0,5.0,2.0,2.0,0.0,0.0,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,6.9,2.0
2021-03-29,IND,True,False,W,32,12.0,8.0,1.0,0.0,0.0,0.0,4.0,6.0,0.667,2.0,3.0,0.667,2.0,2.0,1.0,11.7,11.0
2021-03-30,CHA,True,True,L,32,3.0,8.0,0.0,0.0,1.0,1.0,1.0,10.0,0.1,1.0,7.0,0.143,0.0,0.0,0.0,-3.9,-3.0
2021-04-01,DET,False,False,L,34,11.0,10.0,1.0,1.0,0.0,1.0,4.0,10.0,0.4,1.0,4.0,0.25,2.0,5.0,0.4,6.9,-31.0
