date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-22,MEM,False,False,L,15,3.0,5.0,0.0,0.0,1.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,2.0,0.5,1.6,-11.0
2025-10-24,SAS,True,False,L,35,15.0,6.0,1.0,1.0,2.0,1.0,6.0,11.0,0.545,0.0,1.0,0.0,3.0,4.0,0.75,11.2,5.0
2025-10-27,BOS,True,False,L,22,12.0,3.0,0.0,1.0,0.0,1.0,3.0,7.0,0.429,0.0,1.0,0.0,6.0,6.0,1.0,8.0,-7.0
2025-10-29,DEN,False,False,L,14,4.0,8.0,0.0,1.0,0.0,3.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,2.0,0.0,1.3,-5.0
2025-10-31,LAC,False,False,L,13,6.0,5.0,0.0,0.0,1.0,1.0,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,4.1,2.0
2025-11-02,OKC,False,False,L,7,4.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,4.0,1.0
2025-11-04,CHA,True,False,W,18,12.0,8.0,7.0,4.0,0.0,3.0,5.0,7.0,0.714,0.0,0.0,0.0,2.0,3.0,0.667,17.0,13.0
2025-11-05,DAL,False,True,W,26,11.0,7.0,2.0,3.0,0.0,3.0,3.0,8.0,0.375,0.0,0.0,0.0,5.0,7.0,0.714,8.5,-3.0
2025-11-08,SAS,False,False,L,25,13.0,5.0,8.0,0.0,2.0,4.0,5.0,14.0,0.357,1.0,4.0,0.25,2.0,2.0,1.0,8.9,0.0
2025-11-10,PHX,False,False,L,25,12.0,6.0,1.0,2.0,0.0,3.0,5.0,10.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,8.1,-11.0
2025-11-12,POR,True,False,L,38,26.0,7.0,4.0,0.0,0.0,1.0,12.0,18.0,0.667,0.0,1.0,0.0,2.0,3.0,0.667,21.7,0.0
2025-11-14,LAL,True,False,L,29,9.0,10.0,5.0,0.0,1.0,5.0,4.0,10.0,0.4,0.0,1.0,0.0,1.0,2.0,0.5,4.6,-2.0
2025-11-16,GSW,True,False,L,25,9.0,7.0,6.0,0.0,2.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,5.0,6.0,0.833,12.5,-11.0
2025-11-17,OKC,True,True,L,26,9.0,8.0,3.0,2.0,2.0,6.0,3.0,10.0,0.3,0.0,0.0,0.0,3.0,4.0,0.75,5.1,-7.0
2025-11-19,DEN,True,False,L,30,30.0,9.0,4.0,2.0,2.0,4.0,12.0,18.0,0.667,1.0,2.0,0.5,5.0,8.0,0.625,25.9,0.0
2025-11-21,DAL,False,False,L,32,20.0,7.0,11.0,1.0,0.0,4.0,8.0,17.0,0.471,0.0,2.0,0.0,4.0,5.0,0.8,17.7,1.0
2025-11-22,ATL,True,True,L,32,20.0,9.0,3.0,2.0,1.0,2.0,6.0,14.0,0.429,0.0,2.0,0.0,8.0,8.0,1.0,17.7,-8.0
2025-11-24,CHI,True,False,W,17,8.0,5.0,4.0,1.0,1.0,1.0,4.0,9.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,7.5,-5.0
2025-11-26,MEM,True,False,L,23,10.0,2.0,9.0,1.0,1.0,1.0,5.0,8.0,0.625,0.0,1.0,0.0,0.0,0.0,0.0,13.6,-24.0
2025-11-29,GSW,False,False,L,16,2.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,-17.0
2025-11-30,LAL,False,True,L,28,15.0,7.0,3.0,1.0,0.0,1.0,4.0,12.0,0.333,0.0,0.0,0.0,7.0,8.0,0.875,10.8,-22.0
2025-12-02,MIN,True,False,L,39,21.0,8.0,6.0,1.0,0.0,2.0,8.0,15.0,0.533,0.0,0.0,0.0,5.0,8.0,0.625,16.9,-17.0
2025-12-04,MIN,True,False,L,29,12.0,4.0,5.0,1.0,0.0,1.0,4.0,9.0,0.444,0.0,0.0,0.0,4.0,4.0,1.0,10.4,-4.0
2025-12-06,BKN,False,False,L,26,6.0,9.0,5.0,1.0,1.0,3.0,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,6.6,-12.0
2025-12-08,SAS,True,False,L,33,33.0,10.0,10.0,0.0,3.0,4.0,11.0,15.0,0.733,0.0,1.0,0.0,11.0,13.0,0.846,33.0,14.0
2025-12-11,POR,True,False,W,35,17.0,5.0,7.0,2.0,0.0,0.0,8.0,12.0,0.667,0.0,0.0,0.0,1.0,1.0,1.0,19.4,12.0
2025-12-14,CHI,False,False,W,25,4.0,8.0,5.0,0.0,1.0,5.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.0
2025-12-18,HOU,True,False,W,35,16.0,12.0,3.0,0.0,3.0,3.0,7.0,16.0,0.438,0.0,2.0,0.0,2.0,3.0,0.667,11.6,18.0
2025-12-20,IND,True,False,W,27,17.0,10.0,4.0,1.0,0.0,2.0,8.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17.8,22.0
2025-12-22,DAL,True,False,W,34,19.0,10.0,6.0,2.0,1.0,3.0,7.0,12.0,0.583,0.0,2.0,0.0,5.0,6.0,0.833,19.1,13.0
2025-12-23,CLE,False,True,L,25,21.0,7.0,5.0,1.0,0.0,1.0,7.0,14.0,0.5,2.0,3.0,0.667,5.0,6.0,0.833,18.4,-11.0
2025-12-26,PHX,True,False,L,20,7.0,7.0,2.0,1.0,0.0,3.0,3.0,9.0,0.333,0.0,1.0,0.0,1.0,4.0,0.25,3.4,-18.0
2025-12-27,PHX,True,True,L,27,21.0,11.0,3.0,1.0,1.0,4.0,7.0,15.0,0.467,2.0,4.0,0.5,5.0,6.0,0.833,15.6,-1.0
2025-12-29,NYK,True,False,L,29,7.0,9.0,5.0,1.0,2.0,2.0,3.0,13.0,0.231,0.0,2.0,0.0,1.0,2.0,0.5,5.3,-3.0
2025-12-31,CHI,False,False,L,25,9.0,7.0,4.0,2.0,5.0,2.0,4.0,7.0,0.571,0.0,1.0,0.0,1.0,2.0,0.5,12.5,-19.0
2026-01-04,MIA,False,False,L,30,13.0,6.0,4.0,1.0,1.0,5.0,5.0,11.0,0.455,0.0,1.0,0.0,3.0,4.0,0.75,7.4,-15.0
2026-01-06,LAL,True,False,L,32,10.0,13.0,8.0,2.0,0.0,4.0,5.0,10.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,12.5,-4.0
2026-01-07,ATL,False,True,L,19,6.0,10.0,2.0,2.0,2.0,1.0,3.0,9.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,7.7,-13.0
2026-01-09,WAS,False,False,W,35,14.0,16.0,12.0,0.0,2.0,5.0,7.0,13.0,0.538,0.0,2.0,0.0,0.0,0.0,0.0,18.5,18.0
2026-01-11,ORL,False,False,L,28,10.0,3.0,6.0,2.0,2.0,4.0,4.0,8.0,0.5,0.0,0.0,0.0,2.0,3.0,0.667,9.3,-19.0
2026-01-13,DEN,True,False,L,29,10.0,13.0,5.0,0.0,0.0,1.0,5.0,10.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0
2026-01-14,BKN,True,True,W,16,4.0,6.0,4.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,6.2,-14.0
2026-01-16,IND,False,False,L,28,14.0,12.0,3.0,0.0,0.0,1.0,5.0,11.0,0.455,0.0,0.0,0.0,4.0,4.0,1.0,14.2,-2.0
2026-01-18,HOU,False,False,L,27,15.0,4.0,5.0,1.0,0.0,3.0,7.0,12.0,0.583,1.0,3.0,0.333,0.0,0.0,0.0,12.1,-33.0
2026-01-21,DET,True,False,L,23,5.0,4.0,8.0,1.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,8.1,-8.0
2026-01-23,MEM,False,False,W,27,8.0,9.0,5.0,3.0,0.0,4.0,2.0,8.0,0.25,0.0,0.0,0.0,4.0,4.0,1.0,8.4,7.0
2026-01-25,SAS,False,False,W,17,4.0,4.0,1.0,0.0,0.0,4.0,2.0,7.0,0.286,0.0,1.0,0.0,0.0,0.0,0.0,-3.8,3.0
2026-01-27,OKC,False,False,L,26,9.0,7.0,1.0,2.0,1.0,0.0,4.0,11.0,0.364,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0
2026-01-30,MEM,True,False,W,34,22.0,9.0,7.0,0.0,2.0,5.0,8.0,12.0,0.667,0.0,0.0,0.0,6.0,7.0,0.857,21.6,11.0
2026-01-31,PHI,False,True,L,19,9.0,6.0,2.0,0.0,1.0,3.0,3.0,8.0,0.375,1.0,1.0,1.0,2.0,2.0,1.0,5.1,-10.0
2026-02-02,CHA,False,False,L,31,16.0,8.0,3.0,3.0,1.0,2.0,5.0,9.0,0.556,1.0,2.0,0.5,5.0,6.0,0.833,15.9,-9.0
2026-02-04,MIL,False,False,L,22,6.0,3.0,7.0,0.0,0.0,0.0,3.0,5.0,0.6,0.0,1.0,0.0,0.0,3.0,0.0,8.3,-12.0
2026-02-06,MIN,False,False,W,33,17.0,8.0,3.0,0.0,1.0,0.0,6.0,11.0,0.545,4.0,4.0,1.0,1.0,2.0,0.5,15.3,-5.0
2026-02-09,SAC,True,False,W,24,8.0,5.0,1.0,3.0,1.0,2.0,4.0,7.0,0.571,0.0,1.0,0.0,0.0,0.0,0.0,7.8,14.0
2026-02-11,MIA,True,False,L,31,12.0,5.0,0.0,0.0,1.0,1.0,4.0,8.0,0.5,1.0,2.0,0.5,3.0,4.0,0.75,7.2,-17.0
2026-02-20,MIL,True,False,L,28,18.0,9.0,4.0,3.0,2.0,4.0,7.0,10.0,0.7,0.0,0.0,0.0,4.0,6.0,0.667,19.3,-15.0
2026-02-21,PHI,True,True,W,21,10.0,9.0,0.0,0.0,0.0,3.0,2.0,5.0,0.4,1.0,1.0,1.0,5.0,6.0,0.833,5.8,1.0
2026-02-24,GSW,True,False,W,18,8.0,7.0,2.0,0.0,1.0,1.0,4.0,13.0,0.308,0.0,3.0,0.0,0.0,1.0,0.0,3.7,8.0
2026-02-26,UTA,False,False,W,20,7.0,7.0,1.0,0.0,0.0,1.0,2.0,7.0,0.286,0.0,1.0,0.0,3.0,4.0,0.75,4.7,-6.0
2026-02-28,UTA,False,False,W,19,7.0,9.0,3.0,0.0,1.0,2.0,3.0,4.0,0.75,0.0,0.0,0.0,1.0,2.0,0.5,8.5,2.0
2026-03-01,LAC,False,True,L,29,19.0,5.0,2.0,2.0,1.0,3.0,6.0,13.0,0.462,0.0,1.0,0.0,7.0,7.0,1.0,14.1,-1.0
2026-03-03,LAL,False,False,L,19,2.0,2.0,4.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.2,2.0
2026-03-05,SAC,False,False,W,26,12.0,9.0,5.0,0.0,1.0,0.0,4.0,10.0,0.4,0.0,3.0,0.0,4.0,4.0,1.0,13.5,0.0
2026-03-06,PHX,False,True,L,13,4.0,1.0,1.0,0.0,0.0,3.0,1.0,4.0,0.25,0.0,0.0,0.0,2.0,2.0,1.0,-0.4,-8.0
2026-03-08,WAS,True,False,W,25,13.0,4.0,5.0,0.0,1.0,1.0,5.0,9.0,0.556,1.0,2.0,0.5,2.0,2.0,1.0,12.7,17.0
2026-03-11,TOR,True,False,W,14,3.0,5.0,3.0,1.0,2.0,3.0,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,3.5,-9.0
2026-03-13,HOU,False,False,L,12,0.0,4.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-11.0
2026-03-16,DAL,True,False,W,21,9.0,6.0,2.0,1.0,2.0,2.0,2.0,4.0,0.5,1.0,1.0,1.0,4.0,4.0,1.0,10.6,14.0
2026-03-18,LAC,True,False,W,19,14.0,2.0,2.0,1.0,0.0,0.0,2.0,4.0,0.5,1.0,1.0,1.0,9.0,9.0,1.0,14.2,4.0
2026-03-19,LAC,True,True,W,16,5.0,5.0,0.0,1.0,0.0,4.0,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,0.8,4.0
2026-03-21,CLE,True,False,L,15,9.0,3.0,4.0,3.0,0.0,2.0,3.0,5.0,0.6,0.0,1.0,0.0,3.0,3.0,1.0,11.0,0.0
2026-03-24,NYK,False,False,L,18,5.0,5.0,3.0,0.0,1.0,0.0,2.0,8.0,0.25,0.0,3.0,0.0,1.0,1.0,1.0,4.1,-7.0
2026-03-26,DET,False,False,L,21,11.0,11.0,2.0,1.0,0.0,3.0,5.0,13.0,0.385,0.0,2.0,0.0,1.0,3.0,0.333,6.6,-13.0
2026-03-27,TOR,False,True,L,23,13.0,8.0,0.0,1.0,1.0,2.0,5.0,11.0,0.455,0.0,0.0,0.0,3.0,5.0,0.6,8.2,-6.0
2026-03-29,HOU,True,False,L,24,13.0,3.0,1.0,0.0,1.0,2.0,5.0,12.0,0.417,1.0,3.0,0.333,2.0,4.0,0.5,6.5,-35.0
2026-04-02,POR,False,False,L,28,12.0,6.0,7.0,2.0,1.0,3.0,4.0,10.0,0.4,0.0,1.0,0.0,4.0,4.0,1.0,11.8,2.0
2026-04-03,SAC,False,True,L,28,8.0,6.0,2.0,5.0,1.0,2.0,3.0,10.0,0.3,0.0,2.0,0.0,2.0,2.0,1.0,9.1,-7.0
2026-04-05,ORL,True,False,L,18,2.0,4.0,1.0,1.0,0.0,1.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-5.0
2026-04-07,UTA,True,False,W,37,17.0,12.0,7.0,3.0,2.0,7.0,6.0,9.0,0.667,0.0,0.0,0.0,5.0,6.0,0.833,18.2,17.0
2026-04-10,BOS,False,False,L,39,25.0,11.0,4.0,1.0,3.0,2.0,9.0,14.0,0.643,0.0,2.0,0.0,7.0,9.0,0.778,25.6,-24.0
2026-04-12,MIN,False,False,L,41,30.0,22.0,4.0,1.0,1.0,4.0,11.0,28.0,0.393,1.0,2.0,0.5,7.0,8.0,0.875,22.3,-5.0
