date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2016-11-19,PHI,False,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-15,SAS,True,False,L,3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.3,2.0
2017-01-30,MEM,True,False,L,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2017-02-04,MIL,True,False,L,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-02-08,MEM,False,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
2017-02-11,HOU,False,False,L,5,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.0
2017-02-15,LAL,True,False,W,4,6.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,9.0
2017-02-24,CHI,False,False,L,14,6.0,2.0,2.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,5.4,1.0
2017-02-26,MIL,False,False,L,10,2.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0
2017-02-28,MEM,False,False,L,10,8.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0
2017-03-02,CHA,True,False,W,22,8.0,0.0,0.0,2.0,2.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,2.0,2.0,1.0,9.0,13.0
2017-03-03,OKC,True,True,W,15,6.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,8.0
2017-03-05,BOS,True,False,W,12,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
2017-03-07,WAS,True,False,L,22,6.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,1.0
2017-03-09,LAL,True,False,L,10,5.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,5.3,-9.0
2017-03-11,DAL,False,False,W,26,2.0,7.0,1.0,0.0,0.0,1.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.9,-5.0
2017-03-12,POR,True,True,L,25,4.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0
2017-03-15,SAC,True,False,L,3,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0
2017-03-17,ORL,True,False,L,17,6.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.4,-8.0
2017-03-19,DET,False,False,L,26,3.0,5.0,0.0,0.0,1.0,0.0,1.0,9.0,0.111,0.0,0.0,0.0,1.0,3.0,0.333,-0.7,10.0
2017-03-21,MIA,False,False,L,18,6.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,3.1,7.0
2017-03-23,BKN,False,False,L,22,4.0,4.0,0.0,0.0,0.0,2.0,1.0,4.0,0.25,0.0,1.0,0.0,2.0,4.0,0.5,-0.8,-5.0
2017-03-24,BOS,False,True,L,32,7.0,4.0,0.0,1.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,3.0,4.0,0.75,5.9,-9.0
2017-03-26,CHA,False,False,L,20,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.3,15.0
2017-03-28,ATL,False,False,L,34,13.0,3.0,0.0,1.0,0.0,0.0,6.0,11.0,0.545,1.0,2.0,0.5,0.0,2.0,0.0,9.2,-11.0
2017-03-30,LAC,True,False,L,19,10.0,4.0,0.0,1.0,0.0,0.0,4.0,5.0,0.8,0.0,0.0,0.0,2.0,2.0,1.0,11.1,-1.0
2017-04-01,POR,False,False,L,26,4.0,6.0,0.0,2.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.6,8.0
2017-04-02,HOU,True,True,L,34,10.0,8.0,1.0,2.0,1.0,2.0,5.0,8.0,0.625,0.0,1.0,0.0,0.0,0.0,0.0,10.6,-7.0
2017-04-05,GSW,True,False,L,21,9.0,5.0,0.0,0.0,0.0,0.0,4.0,8.0,0.5,0.0,2.0,0.0,1.0,2.0,0.5,7.3,13.0
2017-04-07,OKC,True,False,W,21,11.0,4.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,11.7,17.0
2017-04-09,DAL,True,False,W,28,15.0,3.0,0.0,3.0,0.0,2.0,5.0,11.0,0.455,1.0,1.0,1.0,4.0,4.0,1.0,10.4,8.0
2017-04-11,SAC,False,False,L,33,10.0,4.0,4.0,1.0,0.0,1.0,3.0,9.0,0.333,1.0,3.0,0.333,3.0,5.0,0.6,8.1,-24.0
2017-10-18,POR,True,False,L,11,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,1.0
2017-10-21,LAC,False,False,L,6,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,-16.0
2017-11-03,NYK,False,False,L,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0
2017-11-05,SAS,False,False,L,6,5.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,6.4,10.0
2017-11-10,ORL,True,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2017-11-24,NOP,True,False,L,6,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.3,4.0
2018-01-05,NYK,True,False,W,9,2.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.2,4.0
2018-01-07,UTA,True,False,W,12,5.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,2.7,-8.0
2018-01-09,TOR,False,False,W,28,8.0,5.0,1.0,0.0,2.0,0.0,2.0,5.0,0.4,0.0,1.0,0.0,4.0,4.0,1.0,8.5,-2.0
2018-01-10,IND,False,True,W,21,8.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,0.667,0.0,1.0,0.0,0.0,1.0,0.0,6.3,-5.0
2018-01-17,MIL,False,False,W,22,5.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,3.0,4.0,0.75,5.6,5.0
2018-01-19,BKN,False,False,L,18,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.3,-3.0
2018-01-20,CHA,False,True,W,20,3.0,4.0,1.0,0.0,2.0,2.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,2.9,0.0
2018-01-22,HOU,False,False,L,30,6.0,5.0,1.0,1.0,3.0,1.0,3.0,6.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,6.9,-9.0
2018-01-25,SAC,True,False,L,15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-9.0
2018-02-07,HOU,True,False,L,19,3.0,3.0,0.0,0.0,0.0,1.0,1.0,7.0,0.143,1.0,5.0,0.2,0.0,0.0,0.0,-1.6,-3.0
2018-03-05,PHX,True,False,W,5,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.3,-6.0
2018-03-27,CLE,True,False,W,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2018-04-04,ATL,False,False,W,12,10.0,4.0,1.0,0.0,0.0,1.0,3.0,5.0,0.6,1.0,2.0,0.5,3.0,4.0,0.75,8.6,2.0
2018-04-09,OKC,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0
2018-10-17,ORL,False,False,L,17,5.0,2.0,2.0,0.0,0.0,2.0,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,0.3,4.0
2018-10-18,WAS,False,True,W,24,17.0,5.0,0.0,1.0,0.0,0.0,5.0,10.0,0.5,1.0,2.0,0.5,6.0,9.0,0.667,12.9,-3.0
2018-10-20,CHA,True,False,L,30,12.0,3.0,2.0,1.0,2.0,2.0,5.0,13.0,0.385,1.0,5.0,0.2,1.0,2.0,0.5,6.4,-1.0
2018-10-30,CHA,False,False,L,5,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.0
2018-11-03,ATL,False,False,L,12,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,-0.1,-3.0
2018-11-05,DET,False,False,W,18,4.0,6.0,0.0,0.0,1.0,2.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.1,5.0
2018-11-07,SAS,True,False,W,8,0.0,6.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-7.0
2018-11-09,IND,True,False,L,25,10.0,2.0,1.0,1.0,1.0,0.0,4.0,6.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,10.0,-2.0
2018-11-10,WAS,True,True,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2018-11-12,PHI,True,False,L,10,4.0,2.0,2.0,0.0,1.0,0.0,2.0,4.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,4.7,-8.0
2018-11-18,LAL,True,False,L,13,4.0,4.0,0.0,0.0,0.0,1.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.2,3.0
2018-11-20,BKN,True,False,L,17,3.0,4.0,0.0,0.0,1.0,2.0,1.0,6.0,0.167,1.0,3.0,0.333,0.0,0.0,0.0,-1.7,-8.0
