date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2017-10-18,MIN,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2017-10-27,ORL,False,False,L,12,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.5,4.0
2017-10-30,BOS,False,False,L,5,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,3.0
2017-11-02,GSW,True,False,L,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.5,-3.0
2017-12-03,OKC,False,False,L,17,4.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,4.1,14.0
2017-12-09,PHX,False,False,W,9,4.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,-1.0
2017-12-16,DAL,True,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,PHI,False,False,L,8,4.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,5.1,6.0
2018-01-05,PHX,True,False,W,3,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0
2018-01-08,SAC,False,False,W,6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2018-01-11,LAL,False,False,L,7,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,3.3,7.0
2018-01-13,DEN,True,False,W,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4,5.0
2018-01-21,IND,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2018-02-07,PHX,False,False,W,12,10.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,0.6,3.0,3.0,1.0,1.0,2.0,0.5,7.0,1.0
2018-02-10,GSW,False,False,L,28,11.0,7.0,2.0,1.0,0.0,0.0,3.0,8.0,0.375,0.0,2.0,0.0,5.0,6.0,0.833,10.7,-7.0
2018-02-13,DEN,False,False,L,2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,-2.0
2018-03-12,HOU,False,False,L,19,14.0,4.0,1.0,0.0,1.0,0.0,4.0,8.0,0.5,4.0,5.0,0.8,2.0,2.0,1.0,12.6,4.0
2018-11-07,MIA,False,False,L,16,0.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-9.0
2018-11-10,HOU,True,False,W,30,14.0,4.0,8.0,2.0,0.0,2.0,4.0,9.0,0.444,1.0,2.0,0.5,5.0,6.0,0.833,14.9,20.0
2018-11-12,SAC,False,False,L,26,11.0,0.0,5.0,1.0,0.0,1.0,4.0,10.0,0.4,1.0,3.0,0.333,2.0,2.0,1.0,9.1,-15.0
2018-11-14,PHX,False,False,L,29,16.0,4.0,3.0,0.0,0.0,5.0,6.0,12.0,0.5,1.0,5.0,0.2,3.0,4.0,0.75,8.3,-20.0
2018-11-15,LAC,False,True,L,17,0.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.0,-28.0
2018-11-18,GSW,True,False,W,18,2.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.1,-8.0
2018-11-19,NOP,False,True,L,13,2.0,2.0,3.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.9,7.0
2018-11-21,MEM,True,False,L,10,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,5.0
2018-11-23,IND,False,False,W,7,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.4,-5.0
2018-11-24,MIL,False,True,L,5,2.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.6,14.0
2018-11-26,CHI,False,False,W,24,8.0,6.0,1.0,2.0,0.0,1.0,3.0,8.0,0.375,2.0,4.0,0.5,0.0,0.0,0.0,6.3,6.0
2018-11-28,MIN,False,False,L,23,6.0,2.0,4.0,0.0,0.0,2.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-22.0
2018-11-30,HOU,True,False,L,33,11.0,5.0,9.0,0.0,0.0,2.0,5.0,8.0,0.625,1.0,3.0,0.333,0.0,0.0,0.0,13.2,-10.0
2018-12-02,POR,True,False,W,33,10.0,5.0,6.0,0.0,0.0,1.0,4.0,7.0,0.571,1.0,1.0,1.0,1.0,2.0,0.5,9.4,21.0
2018-12-04,UTA,False,False,L,21,10.0,5.0,2.0,1.0,0.0,3.0,5.0,11.0,0.455,0.0,1.0,0.0,0.0,0.0,0.0,4.8,-7.0
2018-12-05,LAL,False,True,L,19,2.0,4.0,5.0,0.0,0.0,1.0,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,1.8,4.0
