date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-01-03,MEM,True,False,W,11,0.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-8.0
2025-01-05,GSW,False,False,W,23,13.0,7.0,2.0,1.0,0.0,2.0,4.0,11.0,0.364,2.0,7.0,0.286,3.0,4.0,0.75,9.0,9.0
2025-01-06,MIA,True,True,W,9,5.0,4.0,3.0,0.0,2.0,0.0,2.0,4.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,7.7,-2.0
2025-01-10,BOS,False,False,W,17,11.0,4.0,1.0,0.0,0.0,1.0,4.0,8.0,0.5,3.0,5.0,0.6,0.0,0.0,0.0,6.7,6.0
2025-01-12,CHI,False,False,W,11,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.6,9.0
2025-01-14,MIL,False,False,L,14,3.0,2.0,1.0,0.0,0.0,0.0,1.0,6.0,0.167,0.0,4.0,0.0,1.0,2.0,0.5,0.1,-11.0
2025-01-16,HOU,True,False,W,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-7.0
2025-01-22,GSW,True,False,W,4,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,0.3,0.0
2025-01-23,DEN,False,True,L,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,-5.0
2025-01-25,NYK,False,False,L,8,4.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,4.0,-4.0
2025-01-27,BKN,False,False,W,10,2.0,2.0,1.0,0.0,0.0,2.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,-2.3,8.0
2025-01-29,PHI,False,False,L,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0
2025-02-01,OKC,False,False,L,10,5.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,0.2,1.0,4.0,0.25,2.0,2.0,1.0,3.8,-10.0
2025-02-03,MIN,False,False,W,8,2.0,5.0,1.0,0.0,0.0,1.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.2,2.0
2025-02-05,ORL,True,False,L,11,9.0,3.0,4.0,2.0,0.0,1.0,3.0,5.0,0.6,1.0,2.0,0.5,2.0,4.0,0.5,10.6,12.0
2025-02-06,POR,False,True,L,8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-10.0
2025-02-21,GSW,True,False,L,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2025-02-24,CHA,True,False,W,7,9.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,0.6,1.0,2.0,0.5,2.0,2.0,1.0,7.4,5.0
2025-03-07,SAS,True,False,W,14,8.0,2.0,2.0,0.0,0.0,1.0,3.0,5.0,0.6,1.0,3.0,0.333,1.0,2.0,0.5,6.3,0.0
2025-03-09,LAC,False,False,L,12,8.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,1.0,1.0,1.0,1.0,4.0,0.25,7.2,-4.0
