date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2020-12-23,MEM,False,False,W,20,3.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,2.2,13.0
2020-12-26,TOR,True,False,W,12,7.0,5.0,1.0,1.0,1.0,2.0,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,5.4,14.0
2020-12-27,NOP,False,True,L,12,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.9,6.0
2020-12-30,LAL,True,False,L,13,3.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,2.9,-10.0
2021-01-03,UTA,True,False,L,23,4.0,3.0,3.0,3.0,0.0,1.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,6.3,-2.0
2021-01-05,LAC,False,False,W,17,12.0,2.0,0.0,1.0,0.0,0.0,4.0,5.0,0.8,3.0,4.0,0.75,1.0,1.0,1.0,10.9,19.0
2021-01-07,LAL,False,False,W,14,6.0,1.0,2.0,1.0,1.0,0.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,7.0,7.0
2021-01-09,MIN,False,False,W,15,0.0,4.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.6,-5.0
2021-01-10,MIN,False,True,L,10,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-3.0
2021-01-12,OKC,False,False,W,22,2.0,7.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,3.4,20.0
2021-01-14,HOU,True,False,L,23,12.0,3.0,1.0,3.0,0.0,0.0,4.0,6.0,0.667,1.0,3.0,0.333,3.0,3.0,1.0,13.2,5.0
2021-01-16,HOU,True,False,W,20,9.0,7.0,0.0,2.0,0.0,0.0,3.0,7.0,0.429,0.0,3.0,0.0,3.0,3.0,1.0,9.8,-3.0
2021-01-18,POR,False,False,W,26,6.0,7.0,4.0,2.0,1.0,0.0,2.0,7.0,0.286,2.0,5.0,0.4,0.0,0.0,0.0,9.5,17.0
2021-01-20,GSW,False,False,L,27,8.0,3.0,2.0,2.0,1.0,0.0,2.0,8.0,0.25,1.0,4.0,0.25,3.0,4.0,0.75,7.4,-13.0
2021-01-22,DAL,True,False,L,21,5.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,6.9,-19.0
2021-01-24,WAS,True,False,W,24,14.0,4.0,1.0,2.0,1.0,0.0,5.0,11.0,0.455,4.0,6.0,0.667,0.0,0.0,0.0,12.9,19.0
2021-01-27,BOS,True,False,W,15,3.0,3.0,0.0,0.0,0.0,3.0,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,-2.2,-7.0
2021-01-29,DEN,True,False,W,18,9.0,2.0,0.0,1.0,0.0,0.0,3.0,4.0,0.75,1.0,2.0,0.5,2.0,3.0,0.667,8.2,2.0
2021-01-30,MEM,True,True,L,10,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.6,-5.0
2021-02-01,MEM,True,False,L,12,3.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.5,-14.0
2021-02-03,MIN,True,False,W,20,7.0,4.0,1.0,1.0,0.0,1.0,3.0,6.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,5.5,7.0
2021-02-06,HOU,False,False,W,15,9.0,2.0,1.0,3.0,1.0,2.0,4.0,7.0,0.571,1.0,3.0,0.333,0.0,0.0,0.0,7.5,-10.0
2021-02-08,GSW,True,False,W,21,10.0,2.0,0.0,1.0,0.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,8.6,1.0
2021-02-09,GSW,True,True,L,24,6.0,6.0,0.0,0.0,1.0,1.0,2.0,7.0,0.286,1.0,3.0,0.333,1.0,2.0,0.5,3.0,-14.0
2021-02-12,ATL,False,False,W,12,3.0,1.0,2.0,0.0,1.0,0.0,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,2.7,11.0
2021-02-14,CHA,False,False,W,7,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,-11.0
2021-03-12,ORL,True,False,W,18,8.0,3.0,2.0,0.0,0.0,0.0,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,5.7,7.0
2021-03-14,PHI,False,False,L,12,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,-12.0
2021-03-15,DET,False,True,W,21,13.0,3.0,3.0,0.0,0.0,1.0,5.0,7.0,0.714,3.0,4.0,0.75,0.0,0.0,0.0,10.1,9.0
2021-03-17,CHI,False,False,W,21,4.0,6.0,2.0,1.0,0.0,0.0,1.0,3.0,0.333,1.0,3.0,0.333,1.0,2.0,0.5,5.7,2.0
2021-03-19,CLE,False,False,W,12,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1,-2.0
2021-03-20,MIL,False,True,L,24,7.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,3.4,0.0
2021-03-22,CHA,True,False,L,10,2.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.1,7.0
2021-03-24,LAC,True,False,L,22,8.0,2.0,1.0,0.0,1.0,0.0,2.0,4.0,0.5,1.0,1.0,1.0,3.0,3.0,1.0,6.8,-8.0
2021-03-25,LAC,True,True,L,21,7.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,6.2,6.0
2021-03-27,CHI,True,False,W,6,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,5.0
2021-03-29,SAC,True,False,L,15,3.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,2.1,1.0
2021-03-31,SAC,True,False,W,16,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.8,-3.0
2021-04-01,ATL,True,True,L,12,6.0,1.0,0.0,1.0,1.0,0.0,2.0,6.0,0.333,1.0,3.0,0.333,1.0,1.0,1.0,3.4,-11.0
2021-04-03,IND,True,False,L,19,3.0,3.0,0.0,1.0,0.0,1.0,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,0.4,-23.0
2021-04-05,CLE,True,False,L,17,6.0,0.0,2.0,0.0,0.0,0.0,3.0,8.0,0.375,0.0,2.0,0.0,0.0,0.0,0.0,2.6,-8.0
2021-04-07,DEN,False,False,L,16,3.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,2.2,-9.0
2021-04-09,DEN,False,False,L,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,2.0
2021-04-12,ORL,False,False,W,10,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,1.0,0.0,2.0,2.0,1.0,0.8,-11.0
2021-04-17,PHX,False,False,W,25,18.0,3.0,2.0,0.0,2.0,1.0,7.0,9.0,0.778,4.0,6.0,0.667,0.0,0.0,0.0,16.4,17.0
2021-04-19,IND,False,False,W,4,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,-7.0
2021-04-21,MIA,True,False,L,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7,-4.0
2021-04-22,DET,True,True,W,24,2.0,2.0,1.0,2.0,0.0,0.0,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,1.8,-9.0
2021-04-24,NOP,False,False,W,6,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.5,5.0
2021-04-26,WAS,False,False,W,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2021-04-28,MIA,False,False,L,25,11.0,2.0,1.0,0.0,1.0,0.0,4.0,10.0,0.4,2.0,6.0,0.333,1.0,3.0,0.333,6.8,-5.0
2021-04-30,BOS,False,False,L,15,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,-1.5,3.0
2021-05-02,PHI,True,False,L,23,4.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,0.167,0.0,3.0,0.0,2.0,2.0,1.0,2.0,-8.0
2021-05-03,UTA,False,True,L,24,11.0,6.0,0.0,1.0,0.0,0.0,4.0,8.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,10.2,-9.0
2021-05-05,UTA,False,False,L,31,14.0,4.0,2.0,0.0,1.0,0.0,6.0,10.0,0.6,1.0,3.0,0.333,1.0,2.0,0.5,12.7,-8.0
