date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2017-10-18,NOP,True,False,W,29,19.0,5.0,2.0,4.0,2.0,2.0,7.0,13.0,0.538,0.0,2.0,0.0,5.0,7.0,0.714,18.2,17.0
2017-10-21,GSW,True,False,W,32,9.0,2.0,2.0,1.0,1.0,2.0,4.0,7.0,0.571,1.0,2.0,0.5,0.0,1.0,0.0,5.0,0.0
2017-10-23,HOU,False,False,W,21,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,1.2,5.0
2017-10-25,DAL,False,False,L,28,4.0,2.0,0.0,0.0,0.0,4.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,-3.7,-5.0
2017-10-26,DAL,True,True,W,25,7.0,5.0,0.0,2.0,0.0,1.0,3.0,7.0,0.429,1.0,2.0,0.5,0.0,1.0,0.0,4.2,13.0
2017-10-28,HOU,True,False,W,29,6.0,5.0,3.0,2.0,0.0,1.0,2.0,7.0,0.286,1.0,4.0,0.25,1.0,1.0,1.0,5.7,24.0
2017-10-30,CHA,True,False,L,31,11.0,8.0,3.0,0.0,0.0,4.0,4.0,7.0,0.571,1.0,2.0,0.5,2.0,3.0,0.667,6.6,-4.0
2017-11-01,ORL,True,False,L,38,12.0,4.0,0.0,0.0,0.0,1.0,5.0,13.0,0.385,2.0,6.0,0.333,0.0,0.0,0.0,3.9,12.0
2017-11-04,LAC,False,False,W,29,2.0,5.0,2.0,1.0,0.0,2.0,1.0,8.0,0.125,0.0,2.0,0.0,0.0,0.0,0.0,-3.3,-2.0
2017-11-05,LAL,False,True,L,26,13.0,3.0,1.0,0.0,0.0,3.0,4.0,6.0,0.667,1.0,3.0,0.333,4.0,4.0,1.0,7.0,19.0
2017-11-07,POR,False,False,W,38,7.0,8.0,1.0,3.0,2.0,0.0,3.0,8.0,0.375,0.0,1.0,0.0,1.0,1.0,1.0,9.3,-3.0
2017-11-11,HOU,False,False,L,28,9.0,6.0,0.0,1.0,1.0,0.0,4.0,8.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,7.3,-9.0
2017-11-13,MIL,False,False,L,28,19.0,4.0,0.0,1.0,0.0,0.0,6.0,9.0,0.667,2.0,4.0,0.5,5.0,5.0,1.0,16.1,-9.0
2017-11-15,IND,True,False,L,24,11.0,5.0,2.0,1.0,1.0,2.0,5.0,10.0,0.5,0.0,3.0,0.0,1.0,2.0,0.5,7.8,-11.0
2017-11-18,HOU,True,False,L,33,7.0,3.0,2.0,2.0,0.0,2.0,3.0,9.0,0.333,0.0,4.0,0.0,1.0,2.0,0.5,3.4,-14.0
2017-11-20,POR,True,False,L,30,4.0,2.0,2.0,0.0,1.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.2,-4.0
