date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2016-10-26,PHI,False,False,W,16,5.0,4.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,2.7,-10.0
2016-10-28,PHX,True,False,W,17,8.0,4.0,0.0,0.0,0.0,1.0,4.0,6.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.4,-6.0
2016-10-30,LAL,True,False,W,7,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-6.0
2016-11-02,LAC,False,False,W,17,6.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,5.0,6.0
2016-11-03,GSW,False,True,L,27,13.0,6.0,3.0,1.0,1.0,2.0,6.0,12.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,10.2,-6.0
2016-11-05,MIN,True,False,W,24,6.0,5.0,5.0,0.0,1.0,0.0,3.0,9.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,5.8,8.0
2016-11-07,MIA,True,False,W,30,15.0,10.0,1.0,0.0,0.0,1.0,5.0,13.0,0.385,4.0,7.0,0.571,1.0,2.0,0.5,8.6,14.0
2016-11-09,TOR,True,False,L,28,7.0,1.0,4.0,1.0,0.0,0.0,3.0,6.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,7.3,-1.0
2016-11-11,LAC,True,False,L,28,12.0,1.0,2.0,0.0,0.0,3.0,4.0,5.0,0.8,4.0,5.0,0.8,0.0,0.0,0.0,8.0,-3.0
2016-11-13,ORL,True,False,L,18,3.0,2.0,1.0,0.0,0.0,2.0,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,0.0,-2.7,-4.0
2016-11-14,DET,False,True,L,23,3.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,-3.8,-2.0
2016-11-16,HOU,True,False,W,28,8.0,3.0,3.0,0.0,0.0,2.0,4.0,5.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,7.1,11.0
2016-11-18,BKN,True,False,W,26,6.0,3.0,0.0,1.0,2.0,2.0,3.0,9.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,1.0,13.0
2016-11-20,IND,True,False,L,20,7.0,6.0,0.0,2.0,0.0,2.0,3.0,10.0,0.3,1.0,5.0,0.2,0.0,0.0,0.0,3.4,-19.0
2016-11-22,LAL,False,False,L,22,3.0,4.0,3.0,1.0,0.0,1.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,4.6,11.0
2016-11-23,SAC,False,True,L,15,4.0,0.0,3.0,1.0,0.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-9.0
2016-11-25,DEN,False,False,W,28,13.0,6.0,1.0,1.0,0.0,2.0,5.0,7.0,0.714,3.0,3.0,1.0,0.0,0.0,0.0,11.2,1.0
