date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-11-02,TOR,True,False,L,10,2.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.9,-6.0
2022-11-19,LAC,False,False,L,7,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,6.4,5.0
2022-11-20,LAL,False,True,L,6,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.1,-7.0
2022-12-14,POR,True,False,L,3,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0
2023-02-03,PHI,True,False,L,7,4.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,2.1,8.0
2023-02-06,CHI,False,False,L,6,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,3.3,-6.0
2023-02-10,DET,False,False,L,15,3.0,6.0,1.0,1.0,0.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,2.0,0.5,3.0,-1.0
2023-02-11,ATL,False,True,L,19,8.0,3.0,1.0,0.0,0.0,3.0,3.0,5.0,0.6,0.0,0.0,0.0,2.0,2.0,1.0,4.3,-21.0
2023-02-13,CLE,False,False,L,17,4.0,4.0,1.0,0.0,1.0,1.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0
2023-02-15,CHA,False,False,L,6,2.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-5.0
2023-02-23,DAL,False,False,L,16,2.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,-1.0
