date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2016-10-26,IND,False,False,L,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-2.0
2016-10-28,HOU,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2016-11-02,UTA,False,False,L,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2016-11-04,POR,True,False,L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2016-11-06,MIL,True,False,W,32,5.0,3.0,0.0,3.0,1.0,1.0,1.0,6.0,0.167,1.0,5.0,0.2,2.0,2.0,1.0,4.4,19.0
2016-11-08,LAL,False,False,W,20,5.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.6,-13.0
2016-11-09,GSW,False,True,L,35,7.0,3.0,0.0,1.0,0.0,1.0,2.0,5.0,0.4,1.0,4.0,0.25,2.0,4.0,0.5,3.6,-4.0
2016-11-14,NYK,False,False,L,21,4.0,3.0,2.0,2.0,0.0,2.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,3.1,0.0
2016-11-16,BOS,False,False,L,16,5.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,3.6,-3.0
2016-11-18,MEM,True,False,L,22,5.0,3.0,0.0,0.0,1.0,0.0,2.0,6.0,0.333,0.0,3.0,0.0,1.0,1.0,1.0,3.2,-6.0
2016-11-19,ORL,False,True,L,14,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.2,-7.0
2016-11-21,SAS,False,False,L,27,6.0,1.0,2.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,3.4,3.0
2016-11-23,LAC,True,False,L,25,8.0,2.0,3.0,1.0,1.0,0.0,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,8.3,-8.0
2016-11-25,CLE,False,False,L,22,8.0,0.0,1.0,0.0,0.0,0.0,3.0,9.0,0.333,2.0,5.0,0.4,0.0,0.0,0.0,2.8,-14.0
2016-11-27,NOP,True,False,W,25,5.0,4.0,0.0,0.0,1.0,0.0,2.0,7.0,0.286,1.0,5.0,0.2,0.0,0.0,0.0,2.8,8.0
2016-11-30,SAS,True,False,L,18,0.0,3.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.1,9.0
2016-12-01,CHA,False,True,L,25,4.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,0.25,1.0,2.0,0.5,1.0,2.0,0.5,0.7,-11.0
2016-12-03,CHI,True,False,W,35,11.0,2.0,2.0,1.0,0.0,0.0,3.0,5.0,0.6,2.0,4.0,0.5,3.0,4.0,0.75,11.3,24.0
2016-12-05,CHA,True,False,L,26,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,1.0,2.0,0.5,-2.7,-13.0
2016-12-07,SAC,True,False,L,23,8.0,3.0,2.0,1.0,1.0,4.0,3.0,5.0,0.6,2.0,3.0,0.667,0.0,0.0,0.0,4.1,-26.0
2016-12-09,IND,True,False,W,33,12.0,8.0,2.0,0.0,0.0,1.0,5.0,8.0,0.625,2.0,4.0,0.5,0.0,0.0,0.0,10.4,4.0
