date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-22,CHA,False,False,L,7,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-2.0
2025-11-02,PHI,True,False,L,4,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,1.0
2025-11-07,DET,True,False,L,27,6.0,4.0,2.0,0.0,0.0,3.0,3.0,7.0,0.429,0.0,3.0,0.0,0.0,0.0,0.0,1.9,-17.0
2025-11-09,NYK,False,False,L,23,15.0,2.0,3.0,1.0,1.0,3.0,5.0,8.0,0.625,3.0,3.0,1.0,2.0,2.0,1.0,11.6,-18.0
2025-11-11,TOR,True,False,L,22,6.0,1.0,3.0,2.0,0.0,1.0,2.0,6.0,0.333,2.0,4.0,0.5,0.0,0.0,0.0,5.2,-18.0
2025-11-14,ORL,False,False,L,22,6.0,3.0,3.0,1.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,8.1,6.0
2025-11-16,WAS,False,False,W,19,6.0,4.0,2.0,1.0,0.0,1.0,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,5.2,13.0
2025-11-18,BOS,True,False,L,24,3.0,1.0,1.0,1.0,0.0,2.0,1.0,5.0,0.2,0.0,2.0,0.0,1.0,1.0,1.0,-2.1,-2.0
2025-11-21,BOS,False,False,W,21,9.0,2.0,1.0,2.0,0.0,0.0,3.0,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,10.3,2.0
2025-11-23,TOR,False,False,L,14,6.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,4.0,4.0,1.0,4.5,-10.0
2025-11-24,NYK,True,True,L,24,15.0,2.0,4.0,1.0,0.0,1.0,5.0,10.0,0.5,2.0,6.0,0.333,3.0,4.0,0.75,13.0,-20.0
2025-11-28,PHI,True,False,L,21,4.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,2.2,-4.0
2025-11-29,MIL,False,True,L,21,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,2.9,7.0
