date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2022-10-26,POR,False,False,W,6,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.2,-5.0
2022-11-25,WAS,True,False,W,16,2.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.3,-2.0
2022-11-27,ATL,False,False,W,21,5.0,3.0,1.0,1.0,1.0,0.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,7.0,-2.0
2022-12-06,DET,True,False,L,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-1.0
2022-12-08,LAC,True,False,W,22,2.0,1.0,3.0,1.0,0.0,0.0,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.7,-7.0
2023-02-06,LAC,True,False,L,13,2.0,4.0,4.0,1.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,4.9,-13.0
2023-02-07,PHX,True,True,L,12,5.0,2.0,0.0,2.0,0.0,1.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,4.5,4.0
2023-02-13,NYK,False,False,L,4,4.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,4.4,1.0
2023-02-28,MIL,True,False,L,5,3.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,2.3,1.0
2023-03-09,MIL,False,False,L,22,17.0,3.0,5.0,0.0,1.0,0.0,7.0,13.0,0.538,2.0,6.0,0.333,1.0,1.0,1.0,15.4,15.0
2023-03-25,MIA,False,False,W,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,2.0
2023-03-26,ORL,False,True,L,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4,0.0
2023-04-05,DET,False,False,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-07,ORL,True,False,W,3,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0
2023-04-09,PHI,True,False,L,24,2.0,4.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.9,-22.0
2023-10-25,DET,True,False,W,9,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,-4.0
2023-10-27,BOS,False,False,L,23,9.0,2.0,3.0,3.0,1.0,1.0,3.0,6.0,0.5,3.0,4.0,0.75,0.0,0.0,0.0,11.0,-18.0
2023-10-28,MIN,False,True,L,22,5.0,1.0,4.0,1.0,0.0,1.0,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,5.7,-12.0
2023-11-08,MEM,False,False,W,15,2.0,4.0,1.0,1.0,1.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,4.7,-3.0
2023-11-11,ATL,False,False,W,28,9.0,2.0,2.0,3.0,1.0,2.0,4.0,8.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,7.9,-1.0
2023-11-12,SAS,False,True,W,27,12.0,4.0,3.0,0.0,0.0,1.0,4.0,9.0,0.444,2.0,5.0,0.4,2.0,2.0,1.0,9.6,5.0
