date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2025-10-22,DAL,False,False,W,23,15.0,4.0,2.0,0.0,0.0,4.0,7.0,14.0,0.5,1.0,2.0,0.5,0.0,2.0,0.0,4.2,5.0
2025-10-24,NOP,False,False,W,26,13.0,5.0,3.0,1.0,0.0,3.0,3.0,12.0,0.25,1.0,5.0,0.2,6.0,6.0,1.0,5.8,5.0
2025-10-26,BKN,True,False,W,29,20.0,6.0,8.0,2.0,0.0,0.0,8.0,11.0,0.727,0.0,0.0,0.0,4.0,4.0,1.0,23.7,33.0
2025-10-27,TOR,True,True,W,27,11.0,6.0,6.0,1.0,0.0,1.0,4.0,9.0,0.444,1.0,2.0,0.5,2.0,2.0,1.0,11.5,6.0
2025-10-30,MIA,True,False,W,25,13.0,2.0,4.0,0.0,0.0,2.0,5.0,10.0,0.5,2.0,5.0,0.4,1.0,2.0,0.5,8.6,6.0
2025-11-02,PHX,False,False,L,11,12.0,1.0,0.0,0.0,0.0,1.0,5.0,8.0,0.625,0.0,0.0,0.0,2.0,2.0,1.0,8.1,-7.0
2025-11-26,POR,False,False,W,17,7.0,3.0,2.0,2.0,0.0,0.0,2.0,8.0,0.25,1.0,2.0,0.5,2.0,2.0,1.0,6.5,-5.0
2025-11-28,DEN,False,False,W,15,11.0,0.0,3.0,3.0,0.0,0.0,4.0,7.0,0.571,0.0,1.0,0.0,3.0,4.0,0.75,12.4,9.0
2025-11-30,MIN,False,False,L,20,17.0,0.0,0.0,1.0,0.0,0.0,8.0,12.0,0.667,0.0,2.0,0.0,1.0,2.0,0.5,11.6,-15.0
2025-12-02,MEM,True,False,W,21,15.0,1.0,6.0,0.0,0.0,0.0,5.0,10.0,0.5,1.0,2.0,0.5,4.0,7.0,0.571,13.3,-1.0
2025-12-03,ORL,False,True,W,22,16.0,5.0,5.0,2.0,0.0,5.0,5.0,12.0,0.417,1.0,3.0,0.333,5.0,5.0,1.0,11.6,-5.0
2025-12-05,CLE,False,False,L,23,3.0,4.0,6.0,0.0,0.0,2.0,1.0,11.0,0.091,0.0,5.0,0.0,1.0,4.0,0.25,-2.5,2.0
2025-12-08,NOP,False,False,W,26,22.0,3.0,6.0,0.0,0.0,2.0,10.0,16.0,0.625,1.0,3.0,0.333,1.0,2.0,0.5,17.5,3.0
2025-12-10,LAL,False,False,W,20,13.0,3.0,3.0,1.0,0.0,2.0,6.0,12.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,7.0,-2.0
2025-12-13,OKC,False,False,W,25,8.0,4.0,1.0,1.0,1.0,3.0,3.0,13.0,0.231,1.0,5.0,0.2,1.0,2.0,0.5,-0.5,0.0
2025-12-18,WAS,True,False,W,23,24.0,5.0,3.0,0.0,0.0,1.0,9.0,13.0,0.692,3.0,5.0,0.6,3.0,3.0,1.0,21.5,13.0
2025-12-19,ATL,False,True,W,18,6.0,3.0,4.0,0.0,0.0,2.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.3,21.0
2025-12-21,WAS,False,False,W,18,1.0,2.0,3.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,4.0,0.0,1.0,2.0,0.5,-5.1,12.0
2025-12-23,OKC,True,False,W,20,4.0,3.0,10.0,5.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,15.2,8.0
2025-12-25,OKC,False,False,W,20,12.0,3.0,2.0,0.0,0.0,1.0,5.0,8.0,0.625,0.0,1.0,0.0,2.0,2.0,1.0,9.7,14.0
2025-12-27,UTA,True,False,L,27,7.0,7.0,12.0,3.0,0.0,2.0,3.0,10.0,0.3,0.0,4.0,0.0,1.0,1.0,1.0,11.9,-1.0
2025-12-29,CLE,True,False,L,17,11.0,4.0,1.0,1.0,0.0,4.0,5.0,11.0,0.455,1.0,2.0,0.5,0.0,2.0,0.0,3.0,-3.0
2025-12-31,NYK,True,False,W,16,2.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,-1.6,-17.0
